sample_id,pos_x,pos_y,pos_z,path_0_mag,path_0_delay,path_1_mag,path_1_delay,path_2_mag,path_2_delay,path_3_mag,path_3_delay,path_4_mag,path_4_delay,path_5_mag,path_5_delay,path_6_mag,path_6_delay,path_7_mag,path_7_delay,path_8_mag,path_8_delay,path_9_mag,path_9_delay
0,0.6834970646947234,4.581951707499556,1.0,5.341409e-05,6.319394e-08,4.4106953e-05,2.1033841e-11,4.13228e-05,0.0,1.9957712e-05,7.633556e-08,1.2308647e-05,5.560427e-09,8.443576e-06,7.651281e-08,7.868128e-06,4.8862123e-09,7.1743266e-06,4.869225e-09,6.5727445e-06,4.869225e-09,5.1626307e-06,4.90233e-08
1,-5.585168993849896,-10.340889993604838,1.0,3.1780015e-05,1.1128701e-07,2.2309252e-05,1.1517075e-07,2.1805785e-05,0.0,1.9203717e-05,1.1505931e-07,1.9189554e-05,7.34791e-08,9.37109e-06,1.15768785e-07,7.14804e-06,1.2589247e-08,5.2903756e-06,3.316605e-08,4.7706994e-06,6.8126994e-08,3.2520943e-06,8.36792e-08
2,4.670655300572726,0.5922714437746279,1.0,0.000799887,0.0,0.00016347514,4.8532712e-08,0.00013219296,4.8326854e-09,0.0001321905,4.8326854e-09,3.0393101e-05,1.0356182e-08,2.7914306e-05,1.6225269e-07,2.7188344e-05,8.618654e-08,2.255547e-05,5.895169e-09,2.2554848e-05,5.895169e-09,1.8048517e-05,6.335253e-08
3,-0.26541650591162735,4.315769256250908,1.0,5.210069e-05,6.6883786e-08,2.0616922e-05,7.38702e-08,2.0362162e-05,0.0,7.590838e-06,7.007504e-09,5.1237002e-06,5.0212687e-09,4.6992213e-06,5.0212687e-09,4.368353e-06,5.063089e-08,3.2528474e-06,7.90488e-08,2.2666204e-06,8.024624e-08,1.8752053e-06,9.111078e-08
4,-8.39227719109495,-3.871123072461213,1.0,1.13248625e-05,0.0,5.9161694e-06,7.9597925e-08,4.3053037e-06,1.15006706e-07,4.0133705e-06,2.8085196e-09,2.3095145e-06,3.1633292e-09,2.309409e-06,3.1633327e-09,1.9383647e-06,4.3407383e-08,1.5502252e-06,6.0973946e-09,1.5092616e-06,7.142205e-09,8.439024e-07,5.746653e-09
5,-5.0683040185070025,-7.0847005947333335,1.0,3.2803036e-05,1.2033962e-07,1.9181298e-05,1.2992751e-07,9.365136e-06,1.3061333e-07,6.022203e-06,3.154787e-08,5.3759145e-06,3.9836912e-08,5.0835347e-06,1.2165268e-07,3.4518198e-06,0.0,2.9981793e-06,1.3116346e-07,2.9350917e-06,1.3116346e-07,2.6195748e-06,9.639705e-08
6,-8.318217211633957,1.2555666871197761,1.0,3.619213e-05,1.0866547e-07,3.4711637e-05,8.193144e-08,3.4418048e-05,8.193144e-08,2.9062277e-05,0.0,1.5207855e-05,1.0945947e-07,6.4440824e-06,2.6303308e-08,5.2974106e-06,3.3954173e-09,5.297225e-06,3.3954137e-09,5.170677e-06,2.6062605e-07,4.542688e-06,5.3904955e-08
7,4.901928535600984,3.5463755348130857,1.0,0.000537085,0.0,0.00016084126,4.5177515e-08,8.761867e-05,4.2293244e-09,8.761774e-05,4.2293244e-09,2.2372264e-05,5.041526e-08,2.2093529e-05,9.3021484e-08,2.0423906e-05,4.6763304e-08,1.6344147e-05,4.6763304e-08,1.5845171e-05,5.1841234e-09,1.4809489e-05,7.333778e-08
8,-10.299622562796175,9.251850767542813,1.0,9.140897e-05,7.438285e-08,3.544813e-05,8.855748e-08,3.5331097e-05,7.5288135e-08,3.388477e-05,7.5288135e-08,2.1060241e-05,8.240702e-08,1.8785233e-05,0.0,1.4461472e-05,8.936943e-08,6.3702187e-06,1.6099662e-08,5.8636338e-06,7.654449e-08,3.113094e-06,9.147241e-08
9,-11.475964413615037,-5.966707820976612,1.0,9.400118e-05,7.884708e-08,4.413677e-05,9.272536e-08,3.807745e-05,8.5556636e-08,3.6165344e-05,7.97411e-08,1.8641887e-05,9.352995e-08,1.8389157e-05,9.8789485e-08,1.4846783e-05,8.6405066e-08,6.821035e-06,1.4603377e-07,5.312526e-06,3.0166106e-08,3.87957e-06,9.464861e-08
