sample_id,pos_x,pos_y,pos_z,path_0_mag,path_0_delay,path_1_mag,path_1_delay,path_2_mag,path_2_delay,path_3_mag,path_3_delay,path_4_mag,path_4_delay,path_5_mag,path_5_delay,path_6_mag,path_6_delay,path_7_mag,path_7_delay,path_8_mag,path_8_delay,path_9_mag,path_9_delay
0,0.868515765620872,4.328664288692053,1.0,1.5457786e-06,8.695352e-08,4.8192646e-07,8.799005e-08,4.194239e-07,5.041891e-08,2.4993543e-07,7.890602e-08,1.7588542e-07,8.796247e-08,1.51762e-07,1.2888022e-07,1.4506865e-07,1.5294506e-07,1.2918183e-07,2.3761658e-07,1.1872997e-07,8.781957e-08,9.038736e-08,8.002608e-08
1,-3.1718271393477444,-7.171766951893248,1.0,5.1209815e-07,1.2992155e-07,3.0657475e-07,1.3896937e-07,2.804372e-07,1.385981e-07,2.7720833e-07,1.3022787e-07,1.930166e-07,3.249449e-08,1.601511e-07,1.3925921e-07,1.5980366e-07,2.9932008e-07,1.5337994e-07,6.964814e-08,1.351969e-07,8.264092e-08,1.1905161e-07,1.398922e-07
2,4.428004098918738,-9.571455432831526,1.0,2.8946178e-07,2.8494433e-09,2.5232663e-07,3.6036276e-09,2.1132622e-07,7.2231217e-09,1.3465294e-07,5.078687e-08,1.2370002e-07,5.19838e-08,1.1795428e-07,1.5155335e-07,1.1036177e-07,4.7723862e-08,1.08494426e-07,5.0455736e-08,1.0831719e-07,6.530801e-09,1.0424025e-07,6.11152e-09
3,0.052394567464681074,9.397868947780662,1.0,1.2694925e-06,0.0,8.363723e-07,5.7079546e-08,5.5631034e-07,6.610004e-08,5.046081e-07,9.879723e-08,3.4925557e-07,1.419519e-07,2.092345e-07,1.6949883e-07,1.9683306e-07,3.1226968e-09,1.7358524e-07,9.9964495e-08,1.2329002e-07,5.8299293e-08,1.2028758e-07,2.2579684e-07
4,10.999714190315686,4.299736445111348,1.0,1.3187511e-05,0.0,1.4960019e-06,2.594195e-09,5.4982075e-07,1.1200537e-08,5.059047e-07,5.9890475e-09,3.5935528e-07,1.8317436e-07,2.8231878e-07,6.470207e-08,2.6563367e-07,3.2143177e-09,2.5252803e-07,3.911964e-08,2.4265194e-07,1.4072974e-08,2.2038786e-07,6.85582e-08
5,-0.2069875359794402,5.416346666536015,1.0,1.2784201e-06,0.0,9.574587e-07,6.582835e-08,4.5394845e-07,1.457955e-07,4.502563e-07,8.5869274e-08,2.4074689e-07,1.2531675e-07,2.276922e-07,4.500869e-09,1.9437441e-07,1.214678e-07,1.8120379e-07,1.4671869e-07,1.4575294e-07,9.7629975e-09,1.4355669e-07,4.2805084e-08
6,-6.448211812350289,-0.7459457208351488,1.0,2.8193508e-06,8.034113e-08,1.229239e-06,8.138785e-08,8.8762687e-07,0.0,6.3874535e-07,1.2047255e-07,4.958384e-07,1.4138277e-07,4.3706316e-07,8.166449e-08,2.8071676e-07,2.5835257e-07,2.7134246e-07,4.0520085e-09,2.2265071e-07,1.9802756e-07,1.9345707e-07,8.164586e-08
7,-2.074981736038202,-9.483446808806576,1.0,2.112773e-06,6.9920986e-08,6.445854e-07,0.0,5.94646e-07,7.097593e-08,5.641753e-07,1.1182732e-07,3.3969187e-07,1.2916196e-07,3.3236557e-07,2.275689e-07,2.750223e-07,1.3419546e-07,2.6199532e-07,1.8873209e-08,2.1271435e-07,1.1258305e-07,1.8294493e-07,6.27399e-08
8,-6.521978350118893,-2.460490097428636,1.0,1.2106174e-06,8.0540126e-08,8.421114e-07,0.0,4.30045e-07,1.1982348e-07,3.7151455e-07,1.1406967e-07,2.4725884e-07,1.2808326e-07,2.2004949e-07,5.0887614e-09,2.151583e-07,3.87098e-09,1.852402e-07,1.2088202e-07,1.8053738e-07,8.0796866e-08,1.719109e-07,8.184735e-08
9,-4.28819246249582,-8.135159297102621,1.0,3.4995792e-06,6.881643e-08,1.0659979e-06,6.989869e-08,6.748698e-07,0.0,6.2898835e-07,8.1045386e-08,4.582248e-07,7.009179e-08,4.3240294e-07,1.2271056e-07,2.9655644e-07,8.3959875e-08,2.4528066e-07,1.3030095e-07,2.4167892e-07,8.121971e-08,1.7294045e-07,2.61076e-08
10,5.400410403832499,-5.152312353413166,1.0,1.0452291e-05,0.0,1.7441325e-06,3.6970658e-09,7.1839685e-07,4.2251983e-08,5.944203e-07,8.2491045e-09,4.0294677e-07,6.692554e-08,3.900677e-07,4.5495074e-09,3.190604e-07,1.6850318e-07,2.8686915e-07,9.336935e-08,2.2748291e-07,1.629376e-08,1.6927456e-07,3.6751914e-08
11,2.448980115309121,5.503339524032789,1.0,4.9233868e-06,0.0,4.4186763e-06,5.4451526e-08,8.2920184e-07,4.2403645e-09,4.984343e-07,5.5855097e-08,4.425197e-07,4.2769848e-08,4.2930014e-07,7.7312066e-08,3.6360086e-07,9.284484e-09,3.0773717e-07,7.8824606e-08,2.2132916e-07,1.6359802e-07,1.9192528e-07,8.553734e-08
12,-10.126330898549822,0.6046401087526547,1.0,1.1618822e-06,8.2509445e-08,6.206501e-07,0.0,4.6456526e-07,9.814322e-08,4.1921936e-07,1.099945e-07,3.5473923e-07,1.0767802e-07,2.3920455e-07,1.2295378e-07,1.9033094e-07,8.274131e-08,1.645531e-07,8.382467e-08,1.5544444e-07,9.929627e-08,1.4607457e-07,8.381258e-08
