stage,method,metric,ebno_db,value
estimators,ls,bler,0.0,0.6228125
estimators,ls,bler,2.0,0.4896875
estimators,ls,bler,4.0,0.370625
estimators,ls,bler,6.0,0.230625
estimators,ls,bler,8.0,0.148125
estimators,ls,bler,10.0,0.0790625
estimators,ls,bler,12.0,0.0425
estimators,ls,bler,14.0,0.0171875
estimators,ls,bler,16.0,0.00625
estimators,ls,bler,18.0,0.001875
estimators,ls,bler,20.0,0.0
estimators,ls,bler_upper_confidence,0.0,0.6369747773990871
estimators,ls,bler_upper_confidence,2.0,0.5043819139589556
estimators,ls,bler_upper_confidence,4.0,0.3849082949652658
estimators,ls,bler_upper_confidence,6.0,0.24320940596029475
estimators,ls,bler_upper_confidence,8.0,0.1588481045529586
estimators,ls,bler_upper_confidence,10.0,0.08735362534070337
estimators,ls,bler_upper_confidence,12.0,0.048840659065311445
estimators,ls,bler_upper_confidence,14.0,0.021469165161290393
estimators,ls,bler_upper_confidence,16.0,0.00906901497615327
estimators,ls,bler_upper_confidence,18.0,0.003697370975423395
estimators,ls,bler_upper_confidence,20.0,0.0009357282684936278
estimators,ls,worst_user_bler,0.0,0.63875
estimators,ls,worst_user_bler,2.0,0.5225
estimators,ls,worst_user_bler,4.0,0.38875
estimators,ls,worst_user_bler,6.0,0.24875
estimators,ls,worst_user_bler,8.0,0.1675
estimators,ls,worst_user_bler,10.0,0.08875
estimators,ls,worst_user_bler,12.0,0.04625
estimators,ls,worst_user_bler,14.0,0.0225
estimators,ls,worst_user_bler,16.0,0.00875
estimators,ls,worst_user_bler,18.0,0.005
estimators,ls,worst_user_bler,20.0,0.0
estimators,ls,ber,0.0,0.1957830810546875
estimators,ls,ber,2.0,0.14371805826822917
estimators,ls,ber,4.0,0.10192484537760417
estimators,ls,ber,6.0,0.0594647216796875
estimators,ls,ber,8.0,0.035659383138020834
estimators,ls,ber,10.0,0.017254435221354166
estimators,ls,ber,12.0,0.0093585205078125
estimators,ls,ber,14.0,0.0035176595052083333
estimators,ls,ber,16.0,0.0011676025390625
estimators,ls,ber,18.0,0.0003310139973958333
estimators,ls,ber,20.0,0.0
estimators,ls,ber_upper_confidence,0.0,0.1960776437550696
estimators,ls,ber_upper_confidence,2.0,0.14397852235258818
estimators,ls,ber_upper_confidence,4.0,0.10214953181425943
estimators,ls,ber_upper_confidence,6.0,0.05964042258201042
estimators,ls,ber_upper_confidence,8.0,0.03579722003895674
estimators,ls,ber_upper_confidence,10.0,0.01735131250763285
estimators,ls,ber_upper_confidence,12.0,0.009430227296873702
estimators,ls,ber_upper_confidence,14.0,0.003561859295710323
estimators,ls,ber_upper_confidence,16.0,0.0011932153245891297
estimators,ls,ber_upper_confidence,18.0,0.00034478792516209433
estimators,ls,ber_upper_confidence,20.0,6.09483291331785e-07
estimators,ls,latency_ms,0.0,0.5395833333333332
estimators,ls,latency_ms,2.0,0.5395833333333332
estimators,ls,latency_ms,4.0,0.5395833333333332
estimators,ls,latency_ms,6.0,0.5395833333333332
estimators,ls,latency_ms,8.0,0.5395833333333332
estimators,ls,latency_ms,10.0,0.5395833333333332
estimators,ls,latency_ms,12.0,0.5395833333333332
estimators,ls,latency_ms,14.0,0.5395833333333332
estimators,ls,latency_ms,16.0,0.5395833333333332
estimators,ls,latency_ms,18.0,0.5395833333333332
estimators,ls,latency_ms,20.0,0.5395833333333332
estimators,ls,latency_p99_ms,0.0,0.5395833333333334
estimators,ls,latency_p99_ms,2.0,0.5395833333333334
estimators,ls,latency_p99_ms,4.0,0.5395833333333334
estimators,ls,latency_p99_ms,6.0,0.5395833333333334
estimators,ls,latency_p99_ms,8.0,0.5395833333333334
estimators,ls,latency_p99_ms,10.0,0.5395833333333334
estimators,ls,latency_p99_ms,12.0,0.5395833333333334
estimators,ls,latency_p99_ms,14.0,0.5395833333333334
estimators,ls,latency_p99_ms,16.0,0.5395833333333334
estimators,ls,latency_p99_ms,18.0,0.5395833333333334
estimators,ls,latency_p99_ms,20.0,0.5395833333333334
estimators,ls,latency_p999_ms,0.0,0.5395833333333334
estimators,ls,latency_p999_ms,2.0,0.5395833333333334
estimators,ls,latency_p999_ms,4.0,0.5395833333333334
estimators,ls,latency_p999_ms,6.0,0.5395833333333334
estimators,ls,latency_p999_ms,8.0,0.5395833333333334
estimators,ls,latency_p999_ms,10.0,0.5395833333333334
estimators,ls,latency_p999_ms,12.0,0.5395833333333334
estimators,ls,latency_p999_ms,14.0,0.5395833333333334
estimators,ls,latency_p999_ms,16.0,0.5395833333333334
estimators,ls,latency_p999_ms,18.0,0.5395833333333334
estimators,ls,latency_p999_ms,20.0,0.5395833333333334
estimators,ls,harq_rounds_mean,0.0,1.0
estimators,ls,harq_rounds_mean,2.0,1.0
estimators,ls,harq_rounds_mean,4.0,1.0
estimators,ls,harq_rounds_mean,6.0,1.0
estimators,ls,harq_rounds_mean,8.0,1.0
estimators,ls,harq_rounds_mean,10.0,1.0
estimators,ls,harq_rounds_mean,12.0,1.0
estimators,ls,harq_rounds_mean,14.0,1.0
estimators,ls,harq_rounds_mean,16.0,1.0
estimators,ls,harq_rounds_mean,18.0,1.0
estimators,ls,harq_rounds_mean,20.0,1.0
estimators,ls,throughput_bits_per_batch,0.0,98822.175
estimators,ls,throughput_bits_per_batch,2.0,105219.925
estimators,ls,throughput_bits_per_batch,4.0,110355.475
estimators,ls,throughput_bits_per_batch,6.0,115572.975
estimators,ls,throughput_bits_per_batch,8.0,118498.175
estimators,ls,throughput_bits_per_batch,10.0,120759.775
estimators,ls,throughput_bits_per_batch,12.0,121730.025
estimators,ls,throughput_bits_per_batch,14.0,122447.75
estimators,ls,throughput_bits_per_batch,16.0,122736.525
estimators,ls,throughput_bits_per_batch,18.0,122839.325
estimators,ls,throughput_bits_per_batch,20.0,122880.0
estimators,ls,energy_joules_per_batch,0.0,0.0019887499999999988
estimators,ls,energy_joules_per_batch,2.0,0.0019887499999999988
estimators,ls,energy_joules_per_batch,4.0,0.0019887499999999988
estimators,ls,energy_joules_per_batch,6.0,0.0019887499999999988
estimators,ls,energy_joules_per_batch,8.0,0.0019887499999999988
estimators,ls,energy_joules_per_batch,10.0,0.0019887499999999988
estimators,ls,energy_joules_per_batch,12.0,0.0019887499999999988
estimators,ls,energy_joules_per_batch,14.0,0.0019887499999999988
estimators,ls,energy_joules_per_batch,16.0,0.0019887499999999988
estimators,ls,energy_joules_per_batch,18.0,0.0019887499999999988
estimators,ls,energy_joules_per_batch,20.0,0.0019887499999999988
estimators,ls,avg_power_w,0.0,3.685714285714283
estimators,ls,avg_power_w,2.0,3.685714285714283
estimators,ls,avg_power_w,4.0,3.685714285714283
estimators,ls,avg_power_w,6.0,3.685714285714283
estimators,ls,avg_power_w,8.0,3.685714285714283
estimators,ls,avg_power_w,10.0,3.685714285714283
estimators,ls,avg_power_w,12.0,3.685714285714283
estimators,ls,avg_power_w,14.0,3.685714285714283
estimators,ls,avg_power_w,16.0,3.685714285714283
estimators,ls,avg_power_w,18.0,3.685714285714283
estimators,ls,avg_power_w,20.0,3.685714285714283
estimators,ls,radiated_power_w,0.0,0.8000000000000004
estimators,ls,radiated_power_w,2.0,0.8000000000000004
estimators,ls,radiated_power_w,4.0,0.8000000000000004
estimators,ls,radiated_power_w,6.0,0.8000000000000004
estimators,ls,radiated_power_w,8.0,0.8000000000000004
estimators,ls,radiated_power_w,10.0,0.8000000000000004
estimators,ls,radiated_power_w,12.0,0.8000000000000004
