stage,method,metric,ebno_db,value
estimators,ls,bler,0.0,0.7409375
estimators,ls,bler,2.0,0.63625
estimators,ls,bler,4.0,0.5140625
estimators,ls,bler,6.0,0.4009375
estimators,ls,bler,8.0,0.2509375
estimators,ls,bler,10.0,0.1675
estimators,ls,bler,12.0,0.1003125
estimators,ls,bler,14.0,0.05125
estimators,ls,bler,16.0,0.015625
estimators,ls,bler,18.0,0.0075
estimators,ls,bler,20.0,0.0028125
estimators,ls,bler_upper_confidence,0.0,0.7536665444500767
estimators,ls,bler_upper_confidence,2.0,0.6502984266885276
estimators,ls,bler_upper_confidence,4.0,0.5287377637120991
estimators,ls,bler_upper_confidence,6.0,0.4154070513494288
estimators,ls,bler_upper_confidence,8.0,0.26386603359993743
estimators,ls,bler_upper_confidence,10.0,0.17873845717535491
estimators,ls,bler_upper_confidence,12.0,0.10947673471253487
estimators,ls,bler_upper_confidence,14.0,0.058129106733531444
estimators,ls,bler_upper_confidence,16.0,0.01973605472328544
estimators,ls,bler_upper_confidence,18.0,0.010531541602222938
estimators,ls,bler_upper_confidence,20.0,0.004902738527962879
estimators,ls,worst_user_bler,0.0,0.75625
estimators,ls,worst_user_bler,2.0,0.64625
estimators,ls,worst_user_bler,4.0,0.52375
estimators,ls,worst_user_bler,6.0,0.41625
estimators,ls,worst_user_bler,8.0,0.2675
estimators,ls,worst_user_bler,10.0,0.2
estimators,ls,worst_user_bler,12.0,0.105
estimators,ls,worst_user_bler,14.0,0.07
estimators,ls,worst_user_bler,16.0,0.02125
estimators,ls,worst_user_bler,18.0,0.01
estimators,ls,worst_user_bler,20.0,0.005
estimators,ls,ber,0.0,0.25495880126953124
estimators,ls,ber,2.0,0.20410186767578126
estimators,ls,ber,4.0,0.1566070556640625
estimators,ls,ber,6.0,0.11235931396484375
estimators,ls,ber,8.0,0.0655108642578125
estimators,ls,ber,10.0,0.04032867431640625
estimators,ls,ber,12.0,0.0232275390625
estimators,ls,ber,14.0,0.0109271240234375
estimators,ls,ber,16.0,0.0033563232421875
estimators,ls,ber,18.0,0.001214599609375
