run_id,channel_label,method,rank_by_ber,source_type,ber,ber_upper_confidence,throughput_bits_per_batch,latency_ms,runtime_total_sec,avg_power_w,num_batches,bit_errors,total_bits,stage_json
20260523_173452,Rayleigh,queue_aware,1,baseline,0.0,2.4379331653271397e-06,61440.0,277.2060603650306,65.88685115699445,0.0006726302320063288,20.0,0.0,1228800.0,results/20260523_173452_static_round_robin_max_throughput_pf_wmmse_queue_aware_drl_ber_drl_rayleigh_rician_umi_qpsk_s/rayleigh/resource_managers/stage_results_v2.json
20260523_173452,Rayleigh,drl,2,baseline,0.0,2.4379331653271397e-06,61440.0,277.23881621958805,66.87411207500008,0.0006725457647748222,20.0,0.0,1228800.0,results/20260523_173452_static_round_robin_max_throughput_pf_wmmse_queue_aware_drl_ber_drl_rayleigh_rician_umi_qpsk_s/rayleigh/resource_managers/stage_results_v2.json
20260523_173452,Rayleigh,pf,3,baseline,0.0,2.4379331653271397e-06,61440.0,277.3478828742634,65.88094070801708,0.0006722890202202125,20.0,0.0,1228800.0,results/20260523_173452_static_round_robin_max_throughput_pf_wmmse_queue_aware_drl_ber_drl_rayleigh_rician_umi_qpsk_s/rayleigh/resource_managers/stage_results_v2.json
20260523_173452,Rayleigh,ber_drl,4,trained,0.0,2.4379331653271397e-06,61440.0,277.56271455606407,66.94670774001315,0.0006717583714671446,20.0,0.0,1228800.0,results/20260523_173452_static_round_robin_max_throughput_pf_wmmse_queue_aware_drl_ber_drl_rayleigh_rician_umi_qpsk_s/rayleigh/resource_managers/stage_results_v2.json
20260523_173452,Rayleigh,round_robin,5,baseline,0.0,2.4379331653271397e-06,61440.0,278.06556433783504,65.79091244399933,0.0006705537901939546,20.0,0.0,1228800.0,results/20260523_173452_static_round_robin_max_throughput_pf_wmmse_queue_aware_drl_ber_drl_rayleigh_rician_umi_qpsk_s/rayleigh/resource_managers/stage_results_v2.json
20260523_173452,Rayleigh,max_throughput,6,baseline,0.0,2.4379331653271397e-06,61440.0,278.2490365014627,66.1102174900152,0.000670138621090717,20.0,0.0,1228800.0,results/20260523_173452_static_round_robin_max_throughput_pf_wmmse_queue_aware_drl_ber_drl_rayleigh_rician_umi_qpsk_s/rayleigh/resource_managers/stage_results_v2.json
20260523_173452,Rayleigh,wmmse,7,baseline,0.0,2.4379331653271397e-06,61440.0,279.7679933196374,66.80280137300178,0.0006664661410764846,20.0,0.0,1228800.0,results/20260523_173452_static_round_robin_max_throughput_pf_wmmse_queue_aware_drl_ber_drl_rayleigh_rician_umi_qpsk_s/rayleigh/resource_managers/stage_results_v2.json
20260523_173452,Rayleigh,static,8,baseline,8.396957859848485e-06,1.0473180989789119e-05,122878.96818181817,279.74617281967153,66.05633800400028,0.0006666864481634217,20.0,20.636363636363637,2457600.0,results/20260523_173452_static_round_robin_max_throughput_pf_wmmse_queue_aware_drl_ber_drl_rayleigh_rician_umi_qpsk_s/rayleigh/resource_managers/stage_results_v2.json
20260523_173452,Rician,max_throughput,1,baseline,0.0,2.4379331653271397e-06,61440.0,276.1140028151944,65.60885870500351,0.0006753034509413082,20.0,0.0,1228800.0,results/20260523_173452_static_round_robin_max_throughput_pf_wmmse_queue_aware_drl_ber_drl_rayleigh_rician_umi_qpsk_s/rician/resource_managers/stage_results_v2.json
20260523_173452,Rician,ber_drl,2,trained,1.8199573863636362e-05,2.2426970712564907e-05,61438.88181818181,275.60429976973086,66.52671106700109,0.0006765360033990764,20.0,22.363636363636363,1228800.0,results/20260523_173452_static_round_robin_max_throughput_pf_wmmse_queue_aware_drl_ber_drl_rayleigh_rician_umi_qpsk_s/rician/resource_managers/stage_results_v2.json
20260523_173452,Rician,wmmse,3,baseline,2.5005918560606062e-05,2.9561407573917613e-05,61438.46363636363,278.3305743469345,66.5694001130123,0.0006699128608726909,20.0,30.727272727272727,1228800.0,results/20260523_173452_static_round_robin_max_throughput_pf_wmmse_queue_aware_drl_ber_drl_rayleigh_rician_umi_qpsk_s/rician/resource_managers/stage_results_v2.json
20260523_173452,Rician,drl,4,baseline,3.839666193181818e-05,4.355864508137333e-05,61437.640909090915,275.5685522697766,66.49737052598539,0.0006766257828850486,20.0,47.18181818181818,1228800.0,results/20260523_173452_static_round_robin_max_throughput_pf_wmmse_queue_aware_drl_ber_drl_rayleigh_rician_umi_qpsk_s/rician/resource_managers/stage_results_v2.json
20260523_173452,Rician,round_robin,5,baseline,4.727450284090909e-05,5.266772723534858e-05,61437.09545454546,275.99410693793175,65.28259995499684,0.0006755845383415951,20.0,58.09090909090909,1228800.0,results/20260523_173452_static_round_robin_max_throughput_pf_wmmse_queue_aware_drl_ber_drl_rayleigh_rician_umi_qpsk_s/rician/resource_managers/stage_results_v2.json
20260523_173452,Rician,pf,6,baseline,4.823626893939394e-05,5.3660583540576426e-05,61437.03636363637,275.884148410618,65.5379079879931,0.0006758454243247078,20.0,59.27272727272727,1228800.0,results/20260523_173452_static_round_robin_max_throughput_pf_wmmse_queue_aware_drl_ber_drl_rayleigh_rician_umi_qpsk_s/rician/resource_managers/stage_results_v2.json
20260523_173452,Rician,queue_aware,7,baseline,5.126953125e-05,5.6789919701294656e-05,61436.85,275.0138796243677,65.41561674400873,0.0006779856455458254,20.0,63.0,1228800.0,results/20260523_173452_static_round_robin_max_throughput_pf_wmmse_queue_aware_drl_ber_drl_rayleigh_rician_umi_qpsk_s/rician/resource_managers/stage_results_v2.json
20260523_173452,Rician,static,8,baseline,0.0005890077533143939,0.0006013692820269656,122807.62272727274,277.4926906925013,65.55411986900617,0.0006720285907937019,20.0,1447.5454545454545,2457600.0,results/20260523_173452_static_round_robin_max_throughput_pf_wmmse_queue_aware_drl_ber_drl_rayleigh_rician_umi_qpsk_s/rician/resource_managers/stage_results_v2.json
20260523_173452,UMI/TR38901,max_throughput,1,baseline,0.0,2.4379331653271397e-06,61440.0,276.07340201963166,65.5900542039999,0.0006755621647189573,20.0,0.0,1228800.0,results/20260523_173452_static_round_robin_max_throughput_pf_wmmse_queue_aware_drl_ber_drl_rayleigh_rician_umi_qpsk_s/tr38901/resource_managers/stage_results_v2.json
20260523_173452,UMI/TR38901,ber_drl,2,trained,2.604166666666667e-05,3.106409651168764e-05,61438.4,275.90258593328855,66.56231173200831,0.0006760098319718218,20.0,32.0,1228800.0,results/20260523_173452_static_round_robin_max_throughput_pf_wmmse_queue_aware_drl_ber_drl_rayleigh_rician_umi_qpsk_s/tr38901/resource_managers/stage_results_v2.json
20260523_173452,UMI/TR38901,queue_aware,3,baseline,2.6189630681818184e-05,3.127283144373151e-05,61438.390909090915,275.1021421515027,65.4129863999915,0.0006779037340293477,20.0,32.18181818181818,1228800.0,results/20260523_173452_static_round_robin_max_throughput_pf_wmmse_queue_aware_drl_ber_drl_rayleigh_rician_umi_qpsk_s/tr38901/resource_managers/stage_results_v2.json
20260523_173452,UMI/TR38901,wmmse,4,baseline,2.781723484848485e-05,3.2494960917663186e-05,61438.2909090909,279.16333743785106,66.6757319130229,0.000668086218232317,20.0,34.18181818181818,1228800.0,results/20260523_173452_static_round_robin_max_throughput_pf_wmmse_queue_aware_drl_ber_drl_rayleigh_rician_umi_qpsk_s/tr38901/resource_managers/stage_results_v2.json
20260523_173452,UMI/TR38901,round_robin,5,baseline,2.8852982954545454e-05,3.3607105067807914e-05,61438.22727272727,276.00893120607793,65.29335074499431,0.0006757181315474412,20.0,35.45454545454545,1228800.0,results/20260523_173452_static_round_robin_max_throughput_pf_wmmse_queue_aware_drl_ber_drl_rayleigh_rician_umi_qpsk_s/tr38901/resource_managers/stage_results_v2.json
20260523_173452,UMI/TR38901,drl,6,baseline,5.888967803030303e-05,6.650415881106728e-05,61436.38181818181,275.4244760923853,66.44461798999328,0.0006771182808715301,20.0,72.36363636363636,1228800.0,results/20260523_173452_static_round_robin_max_throughput_pf_wmmse_queue_aware_drl_ber_drl_rayleigh_rician_umi_qpsk_s/tr38901/resource_managers/stage_results_v2.json
20260523_173452,UMI/TR38901,pf,7,baseline,7.124467329545454e-05,7.870375252105001e-05,61435.62272727273,276.71411637418845,65.73215249301211,0.0006740184887630429,20.0,87.54545454545455,1228800.0,results/20260523_173452_static_round_robin_max_throughput_pf_wmmse_queue_aware_drl_ber_drl_rayleigh_rician_umi_qpsk_s/tr38901/resource_managers/stage_results_v2.json
20260523_173452,UMI/TR38901,static,8,baseline,0.0002961499763257576,0.000305197707347196,122843.60909090909,276.0841129833101,65.20609703599803,0.0006755099208542072,20.0,727.8181818181819,2457600.0,results/20260523_173452_static_round_robin_max_throughput_pf_wmmse_queue_aware_drl_ber_drl_rayleigh_rician_umi_qpsk_s/tr38901/resource_managers/stage_results_v2.json
