stage,method,metric,value
estimators,__stage__,stage_dir,results/20260317_083505_ls_pso_umi_qpsk/estimators
estimators,__stage__,stage_json,results/20260317_083505_ls_pso_umi_qpsk/estimators/stage_results_v2.json
estimators,__stage__,stage_csv,results/20260317_083505_ls_pso_umi_qpsk/estimators/stage_results_v2.csv
estimators,ls,mean_ber,0.0029293405281634057
estimators,ls,mean_ber_upper_confidence,0.002948882836669023
estimators,ls,mean_latency_ms,467.6101897030851
estimators,ls,mean_throughput_bits_per_batch,392064.1364348777
estimators,ls,mean_energy_joules_per_batch,0.00018645100000000005
estimators,ls,mean_avg_power_w,0.00039879023671208894
estimators,ls,mean_runtime_sec,73.04591909872543
estimators,ls,mean_bit_errors,31459.363636363636
estimators,ls,mean_total_bits,58446196.36363637
estimators,ls,mean_block_errors,133.8181818181818
estimators,ls,mean_total_blocks,38050.90909090909
estimators,ls,mean_num_batches,148.63636363636363
estimators,pso,mean_ber,0.0005580624733705552
estimators,pso,mean_ber_upper_confidence,0.0005641183221096753
estimators,pso,mean_latency_ms,469.4497808373754
estimators,pso,mean_throughput_bits_per_batch,392996.56090647116
estimators,pso,mean_energy_joules_per_batch,0.00018645099999999764
estimators,pso,mean_avg_power_w,0.00039721847122068635
estimators,pso,mean_runtime_sec,7518.436971015294
estimators,pso,mean_bit_errors,28348.090909090908
estimators,pso,mean_total_bits,499098344.72727275
estimators,pso,mean_block_errors,98.54545454545455
estimators,pso,mean_total_blocks,324933.8181818182
estimators,pso,mean_num_batches,1269.2727272727273
estimators,ls,runtime_total_sec,803.5051100859798
estimators,pso,runtime_total_sec,82702.80668116824
