stage,method,metric,ebno_db,value
estimators,adaptive,ber,0.0,0.004840850830078125
estimators,adaptive,ber,2.0,0.0008442459475015096
estimators,adaptive,ber,4.0,0.0004013536613939446
estimators,adaptive,ber,6.0,7.745866666907126e-05
estimators,adaptive,ber,8.0,5.1285798498559335e-05
estimators,adaptive,ber,10.0,4.38690185546875e-05
estimators,adaptive,ber,12.0,2.9427846272786458e-05
estimators,adaptive,ber,14.0,3.7797061869102476e-05
estimators,adaptive,ber,16.0,2.9580420949698575e-05
estimators,adaptive,ber,18.0,4.001412340389785e-05
estimators,adaptive,ber,20.0,4.013135475565428e-05
estimators,adaptive,ber_upper_confidence,0.0,0.004893692204839403
estimators,adaptive,ber_upper_confidence,2.0,0.0008534673113772279
estimators,adaptive,ber_upper_confidence,4.0,0.0004052671009160744
estimators,adaptive,ber_upper_confidence,6.0,7.816333051939494e-05
estimators,adaptive,ber_upper_confidence,8.0,5.172427308061048e-05
estimators,adaptive,ber_upper_confidence,10.0,4.4259220055706944e-05
estimators,adaptive,ber_upper_confidence,12.0,2.9747748496707887e-05
estimators,adaptive,ber_upper_confidence,14.0,3.821309757287886e-05
estimators,adaptive,ber_upper_confidence,16.0,2.998652711738465e-05
estimators,adaptive,ber_upper_confidence,18.0,4.06145958218531e-05
estimators,adaptive,ber_upper_confidence,20.0,4.080481691380449e-05
estimators,adaptive,latency_ms,0.0,475.7793370000028
estimators,adaptive,latency_ms,2.0,485.6164652318858
estimators,adaptive,latency_ms,4.0,474.78081865751443
estimators,adaptive,latency_ms,6.0,464.5177847525308
estimators,adaptive,latency_ms,8.0,464.61468359047245
estimators,adaptive,latency_ms,10.0,462.45540457881475
estimators,adaptive,latency_ms,12.0,463.25582178781195
estimators,adaptive,latency_ms,14.0,463.72849655780715
estimators,adaptive,latency_ms,16.0,464.20455298079344
estimators,adaptive,latency_ms,18.0,465.09411461978016
estimators,adaptive,latency_ms,20.0,465.07572199731027
estimators,adaptive,throughput_bits_per_batch,0.0,391312.5
estimators,adaptive,throughput_bits_per_batch,2.0,392884.02898550726
estimators,adaptive,throughput_bits_per_batch,4.0,393058.18131868134
estimators,adaptive,throughput_bits_per_batch,6.0,393185.54201292706
estimators,adaptive,throughput_bits_per_batch,8.0,393195.8336034576
estimators,adaptive,throughput_bits_per_batch,10.0,393198.75
estimators,adaptive,throughput_bits_per_batch,12.0,393204.4285
estimators,adaptive,throughput_bits_per_batch,14.0,393201.1375905201
estimators,adaptive,throughput_bits_per_batch,16.0,393204.36850519583
estimators,adaptive,throughput_bits_per_batch,18.0,393200.2658064516
estimators,adaptive,throughput_bits_per_batch,20.0,393200.2197092084
estimators,adaptive,energy_joules_per_batch,0.0,0.00018645100000000005
estimators,adaptive,energy_joules_per_batch,2.0,0.0001864510000000002
estimators,adaptive,energy_joules_per_batch,4.0,0.0001864510000000002
estimators,adaptive,energy_joules_per_batch,6.0,0.0001864510000000025
estimators,adaptive,energy_joules_per_batch,8.0,0.00018645099999999552
estimators,adaptive,energy_joules_per_batch,10.0,0.00018645099999999409
estimators,adaptive,energy_joules_per_batch,12.0,0.00018645099999999409
estimators,adaptive,energy_joules_per_batch,14.0,0.0001864509999999997
estimators,adaptive,energy_joules_per_batch,16.0,0.00018645100000000273
estimators,adaptive,energy_joules_per_batch,18.0,0.00018645100000000184
estimators,adaptive,energy_joules_per_batch,20.0,0.00018645100000000127
estimators,adaptive,avg_power_w,0.0,0.0003918854508807703
estimators,adaptive,avg_power_w,2.0,0.0003839470309371993
estimators,adaptive,avg_power_w,4.0,0.00039270963078754366
estimators,adaptive,avg_power_w,6.0,0.00040138613874457615
estimators,adaptive,avg_power_w,8.0,0.0004013024266885631
estimators,adaptive,avg_power_w,10.0,0.0004031761725648032
estimators,adaptive,avg_power_w,12.0,0.0004024795614665701
estimators,adaptive,avg_power_w,14.0,0.00040206931724920907
estimators,adaptive,avg_power_w,16.0,0.0004016569824719431
estimators,adaptive,avg_power_w,18.0,0.0004008887537792812
estimators,adaptive,avg_power_w,20.0,0.0004009046079620548
estimators,adaptive,runtime_sec,0.0,6.387015793999986
estimators,adaptive,runtime_sec,2.0,37.46780272000035
estimators,adaptive,runtime_sec,4.0,96.6976198750007
estimators,adaptive,runtime_sec,6.0,570.5933894220123
estimators,adaptive,runtime_sec,8.0,976.1716671070114
estimators,adaptive,runtime_sec,10.0,1049.7628559759833
estimators,adaptive,runtime_sec,12.0,1027.1509539919693
estimators,adaptive,runtime_sec,14.0,755.6827414540044
estimators,adaptive,runtime_sec,16.0,622.8106786749944
estimators,adaptive,runtime_sec,18.0,386.5502414289912
estimators,adaptive,runtime_sec,20.0,308.7892110449952
estimators,adaptive,bit_errors,0.0,22842.0
estimators,adaptive,bit_errors,2.0,22906.0
estimators,adaptive,bit_errors,4.0,28723.0
estimators,adaptive,bit_errors,6.0,32986.0
estimators,adaptive,bit_errors,8.0,37328.0
estimators,adaptive,bit_errors,10.0,34500.0
estimators,adaptive,bit_errors,12.0,23143.0
estimators,adaptive,bit_errors,14.0,22576.0
estimators,adaptive,bit_errors,16.0,14551.0
estimators,adaptive,bit_errors,18.0,12194.0
estimators,adaptive,bit_errors,20.0,9768.0
estimators,adaptive,total_bits,0.0,4718592.0
estimators,adaptive,total_bits,2.0,27131904.0
estimators,adaptive,total_bits,4.0,71565312.0
estimators,adaptive,total_bits,6.0,425852928.0
estimators,adaptive,total_bits,8.0,727842816.0
estimators,adaptive,total_bits,10.0,786432000.0
estimators,adaptive,total_bits,12.0,786432000.0
estimators,adaptive,total_bits,14.0,597295104.0
estimators,adaptive,total_bits,16.0,491913216.0
estimators,adaptive,total_bits,18.0,304742400.0
estimators,adaptive,total_bits,20.0,243400704.0
estimators,adaptive,block_errors,0.0,100.0
estimators,adaptive,block_errors,2.0,100.0
estimators,adaptive,block_errors,4.0,100.0
estimators,adaptive,block_errors,6.0,100.0
estimators,adaptive,block_errors,8.0,100.0
estimators,adaptive,block_errors,10.0,84.0
estimators,adaptive,block_errors,12.0,81.0
estimators,adaptive,block_errors,14.0,100.0
estimators,adaptive,block_errors,16.0,100.0
estimators,adaptive,block_errors,18.0,100.0
estimators,adaptive,block_errors,20.0,100.0
estimators,adaptive,total_blocks,0.0,3072.0
estimators,adaptive,total_blocks,2.0,17664.0
estimators,adaptive,total_blocks,4.0,46592.0
estimators,adaptive,total_blocks,6.0,277248.0
estimators,adaptive,total_blocks,8.0,473856.0
estimators,adaptive,total_blocks,10.0,512000.0
estimators,adaptive,total_blocks,12.0,512000.0
estimators,adaptive,total_blocks,14.0,388864.0
estimators,adaptive,total_blocks,16.0,320256.0
estimators,adaptive,total_blocks,18.0,198400.0
estimators,adaptive,total_blocks,20.0,158464.0
estimators,adaptive,num_batches,0.0,12.0
estimators,adaptive,num_batches,2.0,69.0
estimators,adaptive,num_batches,4.0,182.0
estimators,adaptive,num_batches,6.0,1083.0
estimators,adaptive,num_batches,8.0,1851.0
estimators,adaptive,num_batches,10.0,2000.0
estimators,adaptive,num_batches,12.0,2000.0
estimators,adaptive,num_batches,14.0,1519.0
estimators,adaptive,num_batches,16.0,1251.0
estimators,adaptive,num_batches,18.0,775.0
estimators,adaptive,num_batches,20.0,619.0
estimators,adaptive,stop_reason,0.0,target_block_errors
estimators,adaptive,stop_reason,2.0,target_block_errors
estimators,adaptive,stop_reason,4.0,target_block_errors
estimators,adaptive,stop_reason,6.0,target_block_errors
estimators,adaptive,stop_reason,8.0,target_block_errors
estimators,adaptive,stop_reason,10.0,max_batches
estimators,adaptive,stop_reason,12.0,max_batches
estimators,adaptive,stop_reason,14.0,target_block_errors
estimators,adaptive,stop_reason,16.0,target_block_errors
estimators,adaptive,stop_reason,18.0,target_block_errors
estimators,adaptive,stop_reason,20.0,target_block_errors
estimators,adaptive,point_status,0.0,resolved
estimators,adaptive,point_status,2.0,resolved
estimators,adaptive,point_status,4.0,resolved
estimators,adaptive,point_status,6.0,resolved
estimators,adaptive,point_status,8.0,resolved
estimators,adaptive,point_status,10.0,resolved
estimators,adaptive,point_status,12.0,resolved
estimators,adaptive,point_status,14.0,resolved
estimators,adaptive,point_status,16.0,resolved
estimators,adaptive,point_status,18.0,resolved
estimators,adaptive,point_status,20.0,resolved
estimators,adaptive,runtime_total_sec,,5838.064177488962
