stage,method,metric,value
estimators,__stage__,stage_dir,results/20260318_094228_adaptive_umi_qpsk/estimators
estimators,__stage__,stage_json,results/20260318_094228_adaptive_umi_qpsk/estimators/stage_results_v2.json
estimators,__stage__,stage_csv,results/20260318_094228_adaptive_umi_qpsk/estimators/stage_results_v2.csv
estimators,adaptive,mean_ber,0.0005850922481770034
estimators,adaptive,mean_ber_upper_confidence,0.0005914491115191861
estimators,adaptive,mean_latency_ms,468.1021092504295
estimators,adaptive,mean_throughput_bits_per_batch,392985.93236654083
estimators,adaptive,mean_energy_joules_per_batch,0.0001864509999999993
estimators,adaptive,mean_avg_power_w,0.00039840055213931943
estimators,adaptive,mean_runtime_sec,530.7331070444511
estimators,adaptive,mean_bit_errors,23774.272727272728
estimators,adaptive,mean_total_bits,406120634.1818182
estimators,adaptive,mean_block_errors,96.81818181818181
estimators,adaptive,mean_total_blocks,264401.45454545453
estimators,adaptive,mean_num_batches,1032.8181818181818
estimators,adaptive,runtime_total_sec,5838.064177488962
