stage,method,metric,ebno_db,value
estimators,ls,ber,0.0,0.23076146443684895
estimators,ls,ber,2.0,0.15874176025390624
estimators,ls,ber,4.0,0.06828689575195312
estimators,ls,ber,6.0,0.02942937215169271
estimators,ls,ber,8.0,0.014292738172743055
estimators,ls,ber,10.0,0.00893096923828125
estimators,ls,ber,12.0,0.00813386705186632
estimators,ls,ber,14.0,0.008631134033203125
estimators,ls,ber,16.0,0.008849080403645833
estimators,ls,ber,18.0,0.009443749321831597
estimators,ls,ber,20.0,0.011103651258680555
estimators,ls,ber_upper_confidence,0.0,0.23096329924182074
estimators,ls,ber_upper_confidence,2.0,0.1589168478890483
estimators,ls,ber_upper_confidence,4.0,0.06840779309382608
estimators,ls,ber_upper_confidence,6.0,0.029510418632712903
estimators,ls,ber_upper_confidence,8.0,0.014349693425159684
estimators,ls,ber_upper_confidence,10.0,0.008976137965636549
estimators,ls,ber_upper_confidence,12.0,0.008176995617034697
estimators,ls,ber_upper_confidence,14.0,0.00867554675361348
estimators,ls,ber_upper_confidence,16.0,0.008894043966612933
estimators,ls,ber_upper_confidence,18.0,0.009490181353530336
estimators,ls,ber_upper_confidence,20.0,0.011153946820754691
estimators,ls,latency_ms,0.0,1704.1100633333408
estimators,ls,latency_ms,2.0,1686.4191964333065
estimators,ls,latency_ms,4.0,1683.9100344333283
estimators,ls,latency_ms,6.0,1690.1773632332868
estimators,ls,latency_ms,8.0,1689.3822675332822
estimators,ls,latency_ms,10.0,1686.307992233359
estimators,ls,latency_ms,12.0,1688.8635257332942
estimators,ls,latency_ms,14.0,1687.358975533383
estimators,ls,latency_ms,16.0,1691.2078759333133
estimators,ls,latency_ms,18.0,1689.692029933284
estimators,ls,latency_ms,20.0,1689.2069256333607
estimators,ls,throughput_bits_per_batch,0.0,907430.7
estimators,ls,throughput_bits_per_batch,2.0,992388.6
estimators,ls,throughput_bits_per_batch,4.0,1099093.5
estimators,ls,throughput_bits_per_batch,6.0,1144931.7
estimators,ls,throughput_bits_per_batch,8.0,1162787.6
estimators,ls,throughput_bits_per_batch,10.0,1169112.6
estimators,ls,throughput_bits_per_batch,12.0,1170052.9
estimators,ls,throughput_bits_per_batch,14.0,1169466.3
estimators,ls,throughput_bits_per_batch,16.0,1169209.2
estimators,ls,throughput_bits_per_batch,18.0,1168507.7
estimators,ls,throughput_bits_per_batch,20.0,1166549.6
estimators,ls,energy_joules_per_batch,0.0,0.00023560300000000003
estimators,ls,energy_joules_per_batch,2.0,0.00023560300000000003
estimators,ls,energy_joules_per_batch,4.0,0.00023560300000000003
estimators,ls,energy_joules_per_batch,6.0,0.00023560300000000003
estimators,ls,energy_joules_per_batch,8.0,0.00023560300000000003
estimators,ls,energy_joules_per_batch,10.0,0.00023560300000000003
estimators,ls,energy_joules_per_batch,12.0,0.00023560300000000003
estimators,ls,energy_joules_per_batch,14.0,0.00023560300000000003
estimators,ls,energy_joules_per_batch,16.0,0.00023560300000000003
estimators,ls,energy_joules_per_batch,18.0,0.00023560300000000003
estimators,ls,energy_joules_per_batch,20.0,0.00023560300000000003
estimators,ls,avg_power_w,0.0,0.0001382557412630652
estimators,ls,avg_power_w,2.0,0.00013970607100434384
estimators,ls,avg_power_w,4.0,0.00013991424433745683
estimators,ls,avg_power_w,6.0,0.00013939542980820346
estimators,ls,avg_power_w,8.0,0.0001394610352717926
estimators,ls,avg_power_w,10.0,0.00013971528397251182
estimators,ls,avg_power_w,12.0,0.00013950387133720746
estimators,ls,avg_power_w,14.0,0.00013962826133397292
estimators,ls,avg_power_w,16.0,0.0001393104912487353
estimators,ls,avg_power_w,18.0,0.00013943546860980494
estimators,ls,avg_power_w,20.0,0.0001394755115106231
estimators,ls,runtime_sec,0.0,17.44660904999978
estimators,ls,runtime_sec,2.0,17.281165132000524
estimators,ls,runtime_sec,4.0,17.248739631999797
estimators,ls,runtime_sec,6.0,17.319984591000548
estimators,ls,runtime_sec,8.0,17.32779509000011
estimators,ls,runtime_sec,10.0,17.272436007000124
estimators,ls,runtime_sec,12.0,17.302810257000147
estimators,ls,runtime_sec,14.0,17.281420214999798
estimators,ls,runtime_sec,16.0,17.32331205000014
estimators,ls,runtime_sec,18.0,17.3076352999999
estimators,ls,runtime_sec,20.0,17.298877922999964
estimators,ls,bit_errors,0.0,2722173.0
estimators,ls,bit_errors,2.0,1872594.0
estimators,ls,bit_errors,4.0,805545.0
estimators,ls,bit_errors,6.0,347163.0
estimators,ls,bit_errors,8.0,168604.0
estimators,ls,bit_errors,10.0,105354.0
estimators,ls,bit_errors,12.0,95951.0
estimators,ls,bit_errors,14.0,101817.0
estimators,ls,bit_errors,16.0,104388.0
estimators,ls,bit_errors,18.0,111403.0
estimators,ls,bit_errors,20.0,130984.0
estimators,ls,total_bits,0.0,11796480.0
estimators,ls,total_bits,2.0,11796480.0
estimators,ls,total_bits,4.0,11796480.0
estimators,ls,total_bits,6.0,11796480.0
estimators,ls,total_bits,8.0,11796480.0
estimators,ls,total_bits,10.0,11796480.0
estimators,ls,total_bits,12.0,11796480.0
estimators,ls,total_bits,14.0,11796480.0
estimators,ls,total_bits,16.0,11796480.0
estimators,ls,total_bits,18.0,11796480.0
estimators,ls,total_bits,20.0,11796480.0
estimators,ls,block_errors,0.0,2560.0
estimators,ls,block_errors,2.0,2431.0
estimators,ls,block_errors,4.0,1397.0
estimators,ls,block_errors,6.0,595.0
estimators,ls,block_errors,8.0,247.0
estimators,ls,block_errors,10.0,133.0
estimators,ls,block_errors,12.0,118.0
estimators,ls,block_errors,14.0,120.0
estimators,ls,block_errors,16.0,138.0
estimators,ls,block_errors,18.0,135.0
estimators,ls,block_errors,20.0,179.0
estimators,ls,total_blocks,0.0,2560.0
estimators,ls,total_blocks,2.0,2560.0
estimators,ls,total_blocks,4.0,2560.0
estimators,ls,total_blocks,6.0,2560.0
estimators,ls,total_blocks,8.0,2560.0
estimators,ls,total_blocks,10.0,2560.0
estimators,ls,total_blocks,12.0,2560.0
estimators,ls,total_blocks,14.0,2560.0
estimators,ls,total_blocks,16.0,2560.0
estimators,ls,total_blocks,18.0,2560.0
estimators,ls,total_blocks,20.0,2560.0
estimators,ls,num_batches,0.0,10.0
estimators,ls,num_batches,2.0,10.0
estimators,ls,num_batches,4.0,10.0
estimators,ls,num_batches,6.0,10.0
estimators,ls,num_batches,8.0,10.0
estimators,ls,num_batches,10.0,10.0
estimators,ls,num_batches,12.0,10.0
estimators,ls,num_batches,14.0,10.0
estimators,ls,num_batches,16.0,10.0
estimators,ls,num_batches,18.0,10.0
estimators,ls,num_batches,20.0,10.0
estimators,ls,stop_reason,0.0,target_block_errors
estimators,ls,stop_reason,2.0,target_block_errors
estimators,ls,stop_reason,4.0,target_block_errors
estimators,ls,stop_reason,6.0,target_block_errors
estimators,ls,stop_reason,8.0,target_block_errors
estimators,ls,stop_reason,10.0,target_block_errors
estimators,ls,stop_reason,12.0,target_block_errors
estimators,ls,stop_reason,14.0,target_block_errors
estimators,ls,stop_reason,16.0,target_block_errors
estimators,ls,stop_reason,18.0,target_block_errors
estimators,ls,stop_reason,20.0,target_block_errors
estimators,ls,point_status,0.0,resolved
estimators,ls,point_status,2.0,resolved
estimators,ls,point_status,4.0,resolved
estimators,ls,point_status,6.0,resolved
estimators,ls,point_status,8.0,resolved
estimators,ls,point_status,10.0,resolved
estimators,ls,point_status,12.0,resolved
estimators,ls,point_status,14.0,resolved
estimators,ls,point_status,16.0,resolved
estimators,ls,point_status,18.0,resolved
estimators,ls,point_status,20.0,resolved
estimators,ls,runtime_total_sec,,190.41078524700083
