stage,method,metric,ebno_db,value
estimators,ls,ber,0.0,0.13923187255859376
estimators,ls,ber,2.0,0.04422454833984375
estimators,ls,ber,4.0,0.011425272623697916
estimators,ls,ber,6.0,0.004306597587389824
estimators,ls,ber,8.0,0.00248511043595679
estimators,ls,ber,10.0,0.0017275224652206688
estimators,ls,ber,12.0,0.0017151605515252975
estimators,ls,ber,14.0,0.0013524947627898186
estimators,ls,ber,16.0,0.0016629430982801649
estimators,ls,ber,18.0,0.001713505497685185
estimators,ls,ber,20.0,0.001446264761465567
estimators,ls,ber_upper_confidence,0.0,0.13943504952564967
estimators,ls,ber_upper_confidence,2.0,0.04434529383542378
estimators,ls,ber_upper_confidence,4.0,0.0114877763163562
estimators,ls,ber_upper_confidence,6.0,0.00434041544426375
estimators,ls,ber_upper_confidence,8.0,0.002502946391084909
estimators,ls,ber_upper_confidence,10.0,0.0017400628006315974
estimators,ls,ber_upper_confidence,12.0,0.0017297262195207564
estimators,ls,ber_upper_confidence,14.0,0.0013647932783654071
estimators,ls,ber_upper_confidence,16.0,0.0016784412298001753
estimators,ls,ber_upper_confidence,18.0,0.0017316823288159593
estimators,ls,ber_upper_confidence,20.0,0.0014629741604927108
estimators,ls,latency_ms,0.0,770.0576544333481
estimators,ls,latency_ms,2.0,775.817737933293
estimators,ls,latency_ms,4.0,771.7994543332944
estimators,ls,latency_ms,6.0,772.395272948713
estimators,ls,latency_ms,8.0,778.9788074814877
estimators,ls,latency_ms,10.0,777.7003117543874
estimators,ls,latency_ms,12.0,773.1168527975993
estimators,ls,latency_ms,14.0,773.0530017849652
estimators,ls,latency_ms,16.0,772.2038893333525
estimators,ls,latency_ms,18.0,772.0399077222244
estimators,ls,latency_ms,20.0,772.9860582777784
estimators,ls,throughput_bits_per_batch,0.0,676935.6
estimators,ls,throughput_bits_per_batch,2.0,751652.4
estimators,ls,throughput_bits_per_batch,4.0,777446.8
estimators,ls,throughput_bits_per_batch,6.0,783045.1538461539
estimators,ls,throughput_bits_per_batch,8.0,784477.6296296297
estimators,ls,throughput_bits_per_batch,10.0,785073.4210526316
estimators,ls,throughput_bits_per_batch,12.0,785083.1428571428
estimators,ls,throughput_bits_per_batch,14.0,785368.3548387097
estimators,ls,throughput_bits_per_batch,16.0,785124.2083333334
estimators,ls,throughput_bits_per_batch,18.0,785084.4444444445
estimators,ls,throughput_bits_per_batch,20.0,785294.6111111111
estimators,ls,energy_joules_per_batch,0.0,0.00021102699999999997
estimators,ls,energy_joules_per_batch,2.0,0.00021102699999999997
estimators,ls,energy_joules_per_batch,4.0,0.00021102699999999997
estimators,ls,energy_joules_per_batch,6.0,0.00021102699999999994
estimators,ls,energy_joules_per_batch,8.0,0.00021102699999999994
estimators,ls,energy_joules_per_batch,10.0,0.00021102699999999997
estimators,ls,energy_joules_per_batch,12.0,0.00021102699999999994
estimators,ls,energy_joules_per_batch,14.0,0.00021102699999999994
estimators,ls,energy_joules_per_batch,16.0,0.00021102699999999994
estimators,ls,energy_joules_per_batch,18.0,0.00021102699999999994
estimators,ls,energy_joules_per_batch,20.0,0.00021102699999999994
estimators,ls,avg_power_w,0.0,0.0002740405199339075
