stage,method,metric,ebno_db,value
estimators,ls,ber,0.0,0.007466379801432292
estimators,ls,ber,2.0,0.0005630681544174383
estimators,ls,ber,4.0,5.3016844643946584e-05
estimators,ls,ber,6.0,3.6570231119791667e-06
estimators,ls,ber,8.0,0.0
estimators,ls,ber,10.0,0.0
estimators,ls,ber,12.0,0.0
estimators,ls,ber,14.0,0.0
estimators,ls,ber,16.0,0.0
estimators,ls,ber,18.0,0.0
estimators,ls,ber,20.0,0.0
estimators,ls,ber_upper_confidence,0.0,0.007538126229620687
estimators,ls,ber_upper_confidence,2.0,0.0005700246765417037
estimators,ls,ber_upper_confidence,4.0,5.364957357513234e-05
estimators,ls,ber_upper_confidence,6.0,3.7709220373101216e-06
estimators,ls,ber_upper_confidence,8.0,3.809270570823656e-09
estimators,ls,ber_upper_confidence,10.0,3.809270570823656e-09
estimators,ls,ber_upper_confidence,12.0,3.809270570823656e-09
estimators,ls,ber_upper_confidence,14.0,3.809270570823656e-09
estimators,ls,ber_upper_confidence,16.0,3.809270570823656e-09
estimators,ls,ber_upper_confidence,18.0,3.809270570823656e-09
estimators,ls,ber_upper_confidence,20.0,3.809270570823656e-09
estimators,ls,latency_ms,0.0,507.0775709333314
estimators,ls,latency_ms,2.0,501.1835202098745
estimators,ls,latency_ms,4.0,482.1559689005742
estimators,ls,latency_ms,6.0,478.9178747257972
estimators,ls,latency_ms,8.0,479.6900347098229
estimators,ls,latency_ms,10.0,479.1865852423079
estimators,ls,latency_ms,12.0,479.30452653532126
estimators,ls,latency_ms,14.0,479.01820742081765
estimators,ls,latency_ms,16.0,478.9183425698329
estimators,ls,latency_ms,18.0,479.24527599981803
estimators,ls,latency_ms,20.0,479.7075583328128
estimators,ls,throughput_bits_per_batch,0.0,390280.1
estimators,ls,throughput_bits_per_batch,2.0,392994.5925925926
estimators,ls,throughput_bits_per_batch,4.0,393195.1529284165
estimators,ls,throughput_bits_per_batch,6.0,393214.562
estimators,ls,throughput_bits_per_batch,8.0,393216.0
estimators,ls,throughput_bits_per_batch,10.0,393216.0
estimators,ls,throughput_bits_per_batch,12.0,393216.0
estimators,ls,throughput_bits_per_batch,14.0,393216.0
estimators,ls,throughput_bits_per_batch,16.0,393216.0
estimators,ls,throughput_bits_per_batch,18.0,393216.0
estimators,ls,throughput_bits_per_batch,20.0,393216.0
estimators,ls,energy_joules_per_batch,0.0,0.00018645100000000002
estimators,ls,energy_joules_per_batch,2.0,0.00018645100000000032
estimators,ls,energy_joules_per_batch,4.0,0.00018645100000000222
estimators,ls,energy_joules_per_batch,6.0,0.00018645099999999409
estimators,ls,energy_joules_per_batch,8.0,0.00018645099999999409
estimators,ls,energy_joules_per_batch,10.0,0.00018645099999999409
estimators,ls,energy_joules_per_batch,12.0,0.00018645099999999409
estimators,ls,energy_joules_per_batch,14.0,0.00018645099999999409
estimators,ls,energy_joules_per_batch,16.0,0.00018645099999999409
estimators,ls,energy_joules_per_batch,18.0,0.00018645099999999409
estimators,ls,energy_joules_per_batch,20.0,0.00018645099999999409
estimators,ls,avg_power_w,0.0,0.00036769719405418917
estimators,ls,avg_power_w,2.0,0.00037202141028484445
estimators,ls,avg_power_w,4.0,0.00038670266890017586
estimators,ls,avg_power_w,6.0,0.000389317270955372
estimators,ls,avg_power_w,8.0,0.00038869058456213955
estimators,ls,avg_power_w,10.0,0.0003890989559019319
estimators,ls,avg_power_w,12.0,0.00038900321127314456
estimators,ls,avg_power_w,14.0,0.0003892357265580864
estimators,ls,avg_power_w,16.0,0.0003893168906405103
estimators,ls,avg_power_w,18.0,0.00038905130491065056
estimators,ls,avg_power_w,20.0,0.00038867638577134446
estimators,ls,runtime_sec,0.0,5.365564836999994
estimators,ls,runtime_sec,2.0,42.966023599000266
estimators,ls,runtime_sec,4.0,469.8967303759975
estimators,ls,runtime_sec,6.0,1012.5243996020138
estimators,ls,runtime_sec,8.0,1013.7712167870134
estimators,ls,runtime_sec,10.0,1012.6328145340282
estimators,ls,runtime_sec,12.0,1012.8670898399856
estimators,ls,runtime_sec,14.0,1012.3524061360083
estimators,ls,runtime_sec,16.0,1012.2420505979904
estimators,ls,runtime_sec,18.0,1012.8513933599904
estimators,ls,runtime_sec,20.0,1014.0415841889803
estimators,ls,bit_errors,0.0,29359.0
estimators,ls,bit_errors,2.0,17934.0
estimators,ls,bit_errors,4.0,19221.0
