stage,method,metric,ebno_db,value
estimators,ls,ber,0.0,0.09170786539713542
estimators,ls,ber,2.0,0.018429056803385416
estimators,ls,ber,4.0,0.0023778279622395835
estimators,ls,ber,6.0,0.0002618684737813511
estimators,ls,ber,8.0,2.6699625442695e-05
estimators,ls,ber,10.0,3.429412841796875e-06
estimators,ls,ber,12.0,0.0
estimators,ls,ber,14.0,0.0
estimators,ls,ber,16.0,0.0
estimators,ls,ber,18.0,0.0
estimators,ls,ber,20.0,0.0
estimators,ls,ber_upper_confidence,0.0,0.09194754838557277
estimators,ls,ber_upper_confidence,2.0,0.0185409526018188
estimators,ls,ber_upper_confidence,4.0,0.0024058703552630235
estimators,ls,ber_upper_confidence,6.0,0.00026484229055252583
estimators,ls,ber_upper_confidence,8.0,2.7008087389280335e-05
estimators,ls,ber_upper_confidence,10.0,3.539765589529057e-06
estimators,ls,ber_upper_confidence,12.0,3.809270570823656e-09
estimators,ls,ber_upper_confidence,14.0,3.809270570823656e-09
estimators,ls,ber_upper_confidence,16.0,3.809270570823656e-09
estimators,ls,ber_upper_confidence,18.0,3.809270570823656e-09
estimators,ls,ber_upper_confidence,20.0,3.809270570823656e-09
estimators,ls,latency_ms,0.0,475.0972210332786
estimators,ls,latency_ms,2.0,473.58733753331234
estimators,ls,latency_ms,4.0,485.02371047627605
estimators,ls,latency_ms,6.0,484.02081069247436
estimators,ls,latency_ms,8.0,488.8532520732021
estimators,ls,latency_ms,10.0,488.829559091292
estimators,ls,latency_ms,12.0,487.5280804363377
estimators,ls,latency_ms,14.0,487.6424004298117
estimators,ls,latency_ms,16.0,487.74720525928973
estimators,ls,latency_ms,18.0,487.6844634008261
estimators,ls,latency_ms,20.0,487.3470106258253
estimators,ls,throughput_bits_per_batch,0.0,357155.0
estimators,ls,throughput_bits_per_batch,2.0,385969.4
estimators,ls,throughput_bits_per_batch,4.0,392281.0
estimators,ls,throughput_bits_per_batch,6.0,393113.0291262136
estimators,ls,throughput_bits_per_batch,8.0,393205.5012800819
estimators,ls,throughput_bits_per_batch,10.0,393214.6515
estimators,ls,throughput_bits_per_batch,12.0,393216.0
estimators,ls,throughput_bits_per_batch,14.0,393216.0
estimators,ls,throughput_bits_per_batch,16.0,393216.0
estimators,ls,throughput_bits_per_batch,18.0,393216.0
estimators,ls,throughput_bits_per_batch,20.0,393216.0
estimators,ls,energy_joules_per_batch,0.0,0.00018645100000000002
estimators,ls,energy_joules_per_batch,2.0,0.00018645100000000002
estimators,ls,energy_joules_per_batch,4.0,0.00018645100000000005
estimators,ls,energy_joules_per_batch,6.0,0.00018645099999999986
estimators,ls,energy_joules_per_batch,8.0,0.00018645099999999452
estimators,ls,energy_joules_per_batch,10.0,0.00018645099999999409
estimators,ls,energy_joules_per_batch,12.0,0.00018645099999999409
estimators,ls,energy_joules_per_batch,14.0,0.00018645099999999409
estimators,ls,energy_joules_per_batch,16.0,0.00018645099999999409
estimators,ls,energy_joules_per_batch,18.0,0.00018645099999999409
estimators,ls,energy_joules_per_batch,20.0,0.00018645099999999409
estimators,ls,avg_power_w,0.0,0.0003924480964011783
estimators,ls,avg_power_w,2.0,0.000393699293083158
estimators,ls,avg_power_w,4.0,0.00038441625836582667
estimators,ls,avg_power_w,6.0,0.00038521277573427034
estimators,ls,avg_power_w,8.0,0.00038140484738367837
estimators,ls,avg_power_w,10.0,0.00038142333361876996
estimators,ls,avg_power_w,12.0,0.0003824415607673725
