stage,method,metric,value
rayleigh/estimators,__stage__,stage_dir,results/20260318_200508_ls_rayleigh_rician_umi_qpsk/rayleigh/estimators
rayleigh/estimators,__stage__,stage_json,results/20260318_200508_ls_rayleigh_rician_umi_qpsk/rayleigh/estimators/stage_results_v2.json
rayleigh/estimators,__stage__,stage_csv,results/20260318_200508_ls_rayleigh_rician_umi_qpsk/rayleigh/estimators/stage_results_v2.csv
rayleigh/estimators,ls,mean_ber,0.0007351019839641505
rayleigh/estimators,ls,mean_ber_upper_confidence,0.0007423270969698936
rayleigh/estimators,ls,mean_latency_ms,484.0368605073009
rayleigh/estimators,ls,mean_throughput_bits_per_batch,392926.9461382736
rayleigh/estimators,ls,mean_energy_joules_per_batch,0.00018645099999999593
rayleigh/estimators,ls,mean_avg_power_w,0.0003853465094374899
rayleigh/estimators,ls,mean_runtime_sec,783.7737521689098
rayleigh/estimators,ls,mean_bit_errors,6308.181818181818
rayleigh/estimators,ls,mean_total_bits,608162164.3636364
rayleigh/estimators,ls,mean_block_errors,35.63636363636363
rayleigh/estimators,ls,mean_total_blocks,395938.9090909091
rayleigh/estimators,ls,mean_num_batches,1546.6363636363637
rayleigh/estimators,ls,runtime_total_sec,8621.511273858008
rician/estimators,__stage__,stage_dir,results/20260318_200508_ls_rayleigh_rician_umi_qpsk/rician/estimators
rician/estimators,__stage__,stage_json,results/20260318_200508_ls_rayleigh_rician_umi_qpsk/rician/estimators/stage_results_v2.json
rician/estimators,__stage__,stage_csv,results/20260318_200508_ls_rayleigh_rician_umi_qpsk/rician/estimators/stage_results_v2.csv
rician/estimators,ls,mean_ber,0.01025515887952966
rician/estimators,ls,mean_ber_upper_confidence,0.010289980048412615
rician/estimators,ls,mean_latency_ms,484.85100464108416
rician/estimators,ls,mean_throughput_bits_per_batch,389183.50744602684
rician/estimators,ls,mean_energy_joules_per_batch,0.0001864509999999963
rician/estimators,ls,mean_avg_power_w,0.000384597308499361
rician/estimators,ls,mean_runtime_sec,664.87242606055
rician/estimators,ls,mean_bit_errors,45193.09090909091
rician/estimators,ls,mean_total_bits,507606109.09090906
rician/estimators,ls,mean_block_errors,186.8181818181818
rician/estimators,ls,mean_total_blocks,330472.7272727273
rician/estimators,ls,mean_num_batches,1290.909090909091
rician/estimators,ls,runtime_total_sec,7313.596686666032
tr38901/estimators,__stage__,stage_dir,results/20260318_200508_ls_rayleigh_rician_umi_qpsk/tr38901/estimators
tr38901/estimators,__stage__,stage_json,results/20260318_200508_ls_rayleigh_rician_umi_qpsk/tr38901/estimators/stage_results_v2.json
tr38901/estimators,__stage__,stage_csv,results/20260318_200508_ls_rayleigh_rician_umi_qpsk/tr38901/estimators/stage_results_v2.csv
tr38901/estimators,ls,mean_ber,0.003037880808929809
tr38901/estimators,ls,mean_ber_upper_confidence,0.0030577707113244802
tr38901/estimators,ls,mean_latency_ms,472.794197773948
tr38901/estimators,ls,mean_throughput_bits_per_batch,392021.4566598358
tr38901/estimators,ls,mean_energy_joules_per_batch,0.00018645100000000013
tr38901/estimators,ls,mean_avg_power_w,0.0003943788116826542
tr38901/estimators,ls,mean_runtime_sec,68.89339384236403
tr38901/estimators,ls,mean_bit_errors,33413.454545454544
tr38901/estimators,ls,mean_total_bits,54299554.90909091
tr38901/estimators,ls,mean_block_errors,134.27272727272728
tr38901/estimators,ls,mean_total_blocks,35351.27272727273
tr38901/estimators,ls,mean_num_batches,138.0909090909091
tr38901/estimators,ls,runtime_total_sec,757.8273322660043
