stage,method,metric,ebno_db,value
estimators,ls,ber,0.0,0.024874369303385418
estimators,ls,ber,2.0,0.004174550374348958
estimators,ls,ber,4.0,0.0011843977303340517
estimators,ls,ber,6.0,0.0004985374316834567
estimators,ls,ber,8.0,0.0003696623302641369
estimators,ls,ber,10.0,0.00033896739088644194
estimators,ls,ber,12.0,0.00045329438158746304
estimators,ls,ber,14.0,0.00026995209893819803
estimators,ls,ber,16.0,0.0003944283584627123
estimators,ls,ber,18.0,0.0004410591299675371
estimators,ls,ber,20.0,0.0004174703683695331
estimators,ls,ber_upper_confidence,0.0,0.025003883340545652
estimators,ls,ber_upper_confidence,2.0,0.004219995293217403
estimators,ls,ber_upper_confidence,4.0,0.0011963035261848792
estimators,ls,ber_upper_confidence,6.0,0.0005033094057608345
estimators,ls,ber_upper_confidence,8.0,0.00037304678168475553
estimators,ls,ber_upper_confidence,10.0,0.0003420106599408108
estimators,ls,ber_upper_confidence,12.0,0.00045760973680966237
estimators,ls,ber_upper_confidence,14.0,0.00027306369691940715
estimators,ls,ber_upper_confidence,16.0,0.00039860712197008674
estimators,ls,ber_upper_confidence,18.0,0.0004456408754095553
estimators,ls,ber_upper_confidence,20.0,0.00042200738612623815
estimators,ls,latency_ms,0.0,477.5104544333355
estimators,ls,latency_ms,2.0,479.6215121190347
estimators,ls,latency_ms,4.0,473.3642667126301
estimators,ls,latency_ms,6.0,471.92867294517214
estimators,ls,latency_ms,8.0,471.4479232128001
estimators,ls,latency_ms,10.0,475.7124022782177
estimators,ls,latency_ms,12.0,470.0494363333292
estimators,ls,latency_ms,14.0,469.28077083331505
estimators,ls,latency_ms,16.0,469.90284870913024
estimators,ls,latency_ms,18.0,469.49162352509705
estimators,ls,latency_ms,20.0,472.42626441136673
estimators,ls,throughput_bits_per_batch,0.0,383435.0
estimators,ls,throughput_bits_per_batch,2.0,391574.5
estimators,ls,throughput_bits_per_batch,4.0,392750.275862069
estimators,ls,throughput_bits_per_batch,6.0,393019.96710526315
estimators,ls,throughput_bits_per_batch,8.0,393070.64285714284
estimators,ls,throughput_bits_per_batch,10.0,393082.7125984252
estimators,ls,throughput_bits_per_batch,12.0,393037.7573964497
estimators,ls,throughput_bits_per_batch,14.0,393109.8505154639
estimators,ls,throughput_bits_per_batch,16.0,393060.9044585987
estimators,ls,throughput_bits_per_batch,18.0,393042.5684931507
estimators,ls,throughput_bits_per_batch,20.0,393051.8439716312
estimators,ls,energy_joules_per_batch,0.0,0.00018645100000000002
estimators,ls,energy_joules_per_batch,2.0,0.00018645100000000002
estimators,ls,energy_joules_per_batch,4.0,0.0001864510000000001
estimators,ls,energy_joules_per_batch,6.0,0.00018645100000000045
estimators,ls,energy_joules_per_batch,8.0,0.00018645099999999964
estimators,ls,energy_joules_per_batch,10.0,0.00018645099999999937
estimators,ls,energy_joules_per_batch,12.0,0.00018645100000000045
estimators,ls,energy_joules_per_batch,14.0,0.00018645100000000002
estimators,ls,energy_joules_per_batch,16.0,0.00018645100000000048
estimators,ls,energy_joules_per_batch,18.0,0.00018645100000000045
estimators,ls,energy_joules_per_batch,20.0,0.00018645100000000045
estimators,ls,avg_power_w,0.0,0.00039046474955456743
estimators,ls,avg_power_w,2.0,0.0003887461160285191
estimators,ls,avg_power_w,4.0,0.0003938848221367557
estimators,ls,avg_power_w,6.0,0.0003950830087021689
estimators,ls,avg_power_w,8.0,0.0003954858868173234
estimators,ls,avg_power_w,10.0,0.00039194059080039403
estimators,ls,avg_power_w,12.0,0.000396662532891075
estimators,ls,avg_power_w,14.0,0.00039731225225553935
estimators,ls,avg_power_w,16.0,0.0003967862729757861
estimators,ls,avg_power_w,18.0,0.0003971338159349153
estimators,ls,avg_power_w,20.0,0.00039466688041215177
estimators,ls,runtime_sec,0.0,5.048093962000166
estimators,ls,runtime_sec,2.0,7.097268629000382
estimators,ls,runtime_sec,4.0,29.043369719001248
estimators,ls,runtime_sec,6.0,75.8687071289994
estimators,ls,runtime_sec,8.0,111.66642245999697
estimators,ls,runtime_sec,10.0,127.78510768300657
estimators,ls,runtime_sec,12.0,84.06110758300224
estimators,ls,runtime_sec,14.0,96.2894765409992
estimators,ls,runtime_sec,16.0,78.02358290899838
estimators,ls,runtime_sec,18.0,72.4715691200015
