stage,method,metric,ebno_db,value
estimators,ls,ber,0.0,0.1175347646077474
estimators,ls,ber,2.0,0.058896509806315105
estimators,ls,ber,4.0,0.026239903767903645
estimators,ls,ber,6.0,0.013493728637695313
estimators,ls,ber,8.0,0.009658050537109376
estimators,ls,ber,10.0,0.008219528198242187
estimators,ls,ber,12.0,0.006345240275065104
estimators,ls,ber,14.0,0.005490620930989583
estimators,ls,ber,16.0,0.0070912679036458336
estimators,ls,ber,18.0,0.0077648162841796875
estimators,ls,ber,20.0,0.011089452107747396
estimators,ls,ber_upper_confidence,0.0,0.11772379475741143
estimators,ls,ber_upper_confidence,2.0,0.0590347509533171
estimators,ls,ber_upper_confidence,4.0,0.026333823895441602
estimators,ls,ber_upper_confidence,6.0,0.01356156876051789
estimators,ls,ber_upper_confidence,8.0,0.009715582748642716
estimators,ls,ber_upper_confidence,10.0,0.008272655195983797
estimators,ls,ber_upper_confidence,12.0,0.006391983863203902
estimators,ls,ber_upper_confidence,14.0,0.005534133670964687
estimators,ls,ber_upper_confidence,16.0,0.007140654550928613
estimators,ls,ber_upper_confidence,18.0,0.007816469575080798
estimators,ls,ber_upper_confidence,20.0,0.011151043412110165
estimators,ls,latency_ms,0.0,807.7337921333348
estimators,ls,latency_ms,2.0,818.4112505333397
estimators,ls,latency_ms,4.0,814.6829627333583
estimators,ls,latency_ms,6.0,812.5630629332856
estimators,ls,latency_ms,8.0,806.8976170332727
estimators,ls,latency_ms,10.0,811.0134046333352
estimators,ls,latency_ms,12.0,806.615563133304
estimators,ls,latency_ms,14.0,808.2937338333105
estimators,ls,latency_ms,16.0,804.3438294333365
estimators,ls,latency_ms,18.0,805.9967838333288
estimators,ls,latency_ms,20.0,806.2414797333114
estimators,ls,throughput_bits_per_batch,0.0,693998.9
estimators,ls,throughput_bits_per_batch,2.0,740113.9
estimators,ls,throughput_bits_per_batch,4.0,765796.1
estimators,ls,throughput_bits_per_batch,6.0,775820.1
estimators,ls,throughput_bits_per_batch,8.0,778836.6
estimators,ls,throughput_bits_per_batch,10.0,779967.9
estimators,ls,throughput_bits_per_batch,12.0,781441.9
estimators,ls,throughput_bits_per_batch,14.0,782114.0
estimators,ls,throughput_bits_per_batch,16.0,780855.2
estimators,ls,throughput_bits_per_batch,18.0,780325.5
