stage,method,metric,ebno_db,value
estimators,ls,ber,0.0,0.024200439453125
estimators,ls,ber,2.0,0.004001072474888393
estimators,ls,ber,4.0,0.0009654362996419271
estimators,ls,ber,6.0,0.00046115950042126226
estimators,ls,ber,8.0,0.00034565875253346533
estimators,ls,ber,10.0,0.00030181884765625
estimators,ls,ber,12.0,0.00028226164733471514
estimators,ls,ber,14.0,0.00034129087048297895
estimators,ls,ber,16.0,0.0003224690755208333
estimators,ls,ber,18.0,0.0002735942399420706
estimators,ls,ber,20.0,0.00039979722764756944
estimators,ls,ber_upper_confidence,0.0,0.02432823591902913
estimators,ls,ber_upper_confidence,2.0,0.004045572203270118
estimators,ls,ber_upper_confidence,4.0,0.000975673044155854
estimators,ls,ber_upper_confidence,6.0,0.0004654990584854115
estimators,ls,ber_upper_confidence,8.0,0.0003489542729160059
estimators,ls,ber_upper_confidence,10.0,0.00030471433671406693
estimators,ls,ber_upper_confidence,12.0,0.0002854266120559616
estimators,ls,ber_upper_confidence,14.0,0.00034478719295585945
estimators,ls,ber_upper_confidence,16.0,0.0003261564038811537
estimators,ls,ber_upper_confidence,18.0,0.0002767105192070808
estimators,ls,ber_upper_confidence,20.0,0.0004041017367241298
estimators,ls,latency_ms,0.0,476.51852933332844
estimators,ls,latency_ms,2.0,486.40398219047313
estimators,ls,latency_ms,4.0,492.29140645832905
estimators,ls,latency_ms,6.0,487.28464189215924
estimators,ls,latency_ms,8.0,481.6078424012014
estimators,ls,latency_ms,10.0,481.6988915373335
estimators,ls,latency_ms,12.0,480.483082756805
estimators,ls,latency_ms,14.0,482.0397225137445
estimators,ls,latency_ms,16.0,486.8880860787786
estimators,ls,latency_ms,18.0,484.74875165986424
estimators,ls,latency_ms,20.0,485.4605788000031
estimators,ls,throughput_bits_per_batch,0.0,383700.0
estimators,ls,throughput_bits_per_batch,2.0,391642.71428571426
estimators,ls,throughput_bits_per_batch,4.0,392836.375
estimators,ls,throughput_bits_per_batch,6.0,393034.6647058824
estimators,ls,throughput_bits_per_batch,8.0,393080.0814479638
estimators,ls,throughput_bits_per_batch,10.0,393097.32
estimators,ls,throughput_bits_per_batch,12.0,393105.01020408166
estimators,ls,throughput_bits_per_batch,14.0,393081.7989690722
estimators,ls,throughput_bits_per_batch,16.0,393089.2
estimators,ls,throughput_bits_per_batch,18.0,393108.4183673469
estimators,ls,throughput_bits_per_batch,20.0,393058.79333333333
estimators,ls,energy_joules_per_batch,0.0,0.00018645100000000002
estimators,ls,energy_joules_per_batch,2.0,0.00018645100000000008
estimators,ls,energy_joules_per_batch,4.0,0.00018645100000000018
estimators,ls,energy_joules_per_batch,6.0,0.00018645100000000043
estimators,ls,energy_joules_per_batch,8.0,0.0001864509999999997
estimators,ls,energy_joules_per_batch,10.0,0.0001864509999999994
estimators,ls,energy_joules_per_batch,12.0,0.000186451
estimators,ls,energy_joules_per_batch,14.0,0.00018645100000000002
estimators,ls,energy_joules_per_batch,16.0,0.00018645100000000048
estimators,ls,energy_joules_per_batch,18.0,0.000186451
estimators,ls,energy_joules_per_batch,20.0,0.00018645100000000045
estimators,ls,avg_power_w,0.0,0.00039127754436087434
estimators,ls,avg_power_w,2.0,0.00038332539787264093
estimators,ls,avg_power_w,4.0,0.0003787411227455231
estimators,ls,avg_power_w,6.0,0.00038263262161515816
estimators,ls,avg_power_w,8.0,0.000387142782124128
estimators,ls,avg_power_w,10.0,0.0003870696056720087
estimators,ls,avg_power_w,12.0,0.0003880490420811997
estimators,ls,avg_power_w,14.0,0.00038679592426054413
estimators,ls,avg_power_w,16.0,0.00038294426446457077
estimators,ls,avg_power_w,18.0,0.00038463430666207856
estimators,ls,avg_power_w,20.0,0.0003840703203149546
estimators,ls,runtime_sec,0.0,5.043503504
estimators,ls,runtime_sec,2.0,7.2094598349999615
estimators,ls,runtime_sec,4.0,33.3151677660006
estimators,ls,runtime_sec,6.0,87.55778708600053
estimators,ls,runtime_sec,8.0,112.5602765949991
estimators,ls,runtime_sec,10.0,127.3309580060004
estimators,ls,runtime_sec,12.0,99.6581230509999
estimators,ls,runtime_sec,14.0,98.93109933199861
estimators,ls,runtime_sec,16.0,84.98384546000068
estimators,ls,runtime_sec,18.0,100.4502044250014
estimators,ls,runtime_sec,20.0,77.00500594900103
estimators,ls,bit_errors,0.0,95160.0
estimators,ls,bit_errors,2.0,22026.0
estimators,ls,bit_errors,4.0,24296.0
estimators,ls,bit_errors,6.0,30827.0
estimators,ls,bit_errors,8.0,30038.0
estimators,ls,bit_errors,10.0,29670.0
estimators,ls,bit_errors,12.0,21754.0
estimators,ls,bit_errors,14.0,26035.0
estimators,ls,bit_errors,16.0,20922.0
estimators,ls,bit_errors,18.0,21086.0
estimators,ls,bit_errors,20.0,23581.0
estimators,ls,total_bits,0.0,3932160.0
estimators,ls,total_bits,2.0,5505024.0
estimators,ls,total_bits,4.0,25165824.0
estimators,ls,total_bits,6.0,66846720.0
estimators,ls,total_bits,8.0,86900736.0
estimators,ls,total_bits,10.0,98304000.0
estimators,ls,total_bits,12.0,77070336.0
estimators,ls,total_bits,14.0,76283904.0
estimators,ls,total_bits,16.0,64880640.0
estimators,ls,total_bits,18.0,77070336.0
estimators,ls,total_bits,20.0,58982400.0
estimators,ls,block_errors,0.0,467.0
estimators,ls,block_errors,2.0,107.0
estimators,ls,block_errors,4.0,102.0
estimators,ls,block_errors,6.0,100.0
estimators,ls,block_errors,8.0,100.0
estimators,ls,block_errors,10.0,100.0
estimators,ls,block_errors,12.0,100.0
estimators,ls,block_errors,14.0,100.0
estimators,ls,block_errors,16.0,101.0
estimators,ls,block_errors,18.0,100.0
estimators,ls,block_errors,20.0,100.0
estimators,ls,total_blocks,0.0,2560.0
estimators,ls,total_blocks,2.0,3584.0
estimators,ls,total_blocks,4.0,16384.0
estimators,ls,total_blocks,6.0,43520.0
estimators,ls,total_blocks,8.0,56576.0
estimators,ls,total_blocks,10.0,64000.0
estimators,ls,total_blocks,12.0,50176.0
estimators,ls,total_blocks,14.0,49664.0
estimators,ls,total_blocks,16.0,42240.0
estimators,ls,total_blocks,18.0,50176.0
estimators,ls,total_blocks,20.0,38400.0
estimators,ls,num_batches,0.0,10.0
estimators,ls,num_batches,2.0,14.0
estimators,ls,num_batches,4.0,64.0
estimators,ls,num_batches,6.0,170.0
estimators,ls,num_batches,8.0,221.0
estimators,ls,num_batches,10.0,250.0
estimators,ls,num_batches,12.0,196.0
estimators,ls,num_batches,14.0,194.0
estimators,ls,num_batches,16.0,165.0
estimators,ls,num_batches,18.0,196.0
estimators,ls,num_batches,20.0,150.0
estimators,ls,stop_reason,0.0,target_block_errors
estimators,ls,stop_reason,2.0,target_block_errors
estimators,ls,stop_reason,4.0,target_block_errors
estimators,ls,stop_reason,6.0,target_block_errors
estimators,ls,stop_reason,8.0,target_block_errors
estimators,ls,stop_reason,10.0,target_block_errors
estimators,ls,stop_reason,12.0,target_block_errors
estimators,ls,stop_reason,14.0,target_block_errors
estimators,ls,stop_reason,16.0,target_block_errors
estimators,ls,stop_reason,18.0,target_block_errors
estimators,ls,stop_reason,20.0,target_block_errors
estimators,ls,point_status,0.0,resolved
estimators,ls,point_status,2.0,resolved
estimators,ls,point_status,4.0,resolved
estimators,ls,point_status,6.0,resolved
estimators,ls,point_status,8.0,resolved
estimators,ls,point_status,10.0,resolved
estimators,ls,point_status,12.0,resolved
estimators,ls,point_status,14.0,resolved
estimators,ls,point_status,16.0,resolved
estimators,ls,point_status,18.0,resolved
estimators,ls,point_status,20.0,resolved
estimators,ls,runtime_total_sec,,834.0454310090022
