stage,method,metric,value
s/estimators,__stage__,stage_dir,results/20260319_072409_ls_umi_qpsk_s_m_l/s/estimators
s/estimators,__stage__,stage_json,results/20260319_072409_ls_umi_qpsk_s_m_l/s/estimators/stage_results_v2.json
s/estimators,__stage__,stage_csv,results/20260319_072409_ls_umi_qpsk_s_m_l/s/estimators/stage_results_v2.csv
s/estimators,ls,mean_ber,0.0028995453081085876
s/estimators,ls,mean_ber_upper_confidence,0.0029187119363086153
s/estimators,ls,mean_latency_ms,484.1295923292746
s/estimators,ls,mean_throughput_bits_per_batch,392075.85239212675
s/estimators,ls,mean_energy_joules_per_batch,0.00018645100000000005
s/estimators,ls,mean_avg_power_w,0.00038515299383397094
s/estimators,ls,mean_runtime_sec,75.82231190990929
s/estimators,ls,mean_bit_errors,31399.545454545456
s/estimators,ls,mean_total_bits,58267461.81818182
s/estimators,ls,mean_block_errors,134.27272727272728
s/estimators,ls,mean_total_blocks,37934.545454545456
s/estimators,ls,mean_num_batches,148.1818181818182
s/estimators,ls,runtime_total_sec,834.0454310090022
m/estimators,__stage__,stage_dir,results/20260319_072409_ls_umi_qpsk_s_m_l/m/estimators
m/estimators,__stage__,stage_json,results/20260319_072409_ls_umi_qpsk_s_m_l/m/estimators/stage_results_v2.json
m/estimators,__stage__,stage_csv,results/20260319_072409_ls_umi_qpsk_s_m_l/m/estimators/stage_results_v2.csv
m/estimators,ls,mean_ber,0.02471126209605824
m/estimators,ls,mean_ber_upper_confidence,0.024788769216691153
m/estimators,ls,mean_latency_ms,809.344861815138
m/estimators,ls,mean_throughput_bits_per_batch,766998.2727272727
m/estimators,ls,mean_energy_joules_per_batch,0.00018645100000000005
m/estimators,ls,mean_avg_power_w,0.00023037869398217722
m/estimators,ls,mean_runtime_sec,8.589814943454547
m/estimators,ls,mean_bit_errors,194337.27272727274
m/estimators,ls,mean_total_bits,7864320.0
m/estimators,ls,mean_block_errors,756.8181818181819
m/estimators,ls,mean_total_blocks,5120.0
m/estimators,ls,mean_num_batches,10.0
m/estimators,ls,runtime_total_sec,94.48796437800002
l/estimators,__stage__,stage_dir,results/20260319_072409_ls_umi_qpsk_s_m_l/l/estimators
l/estimators,__stage__,stage_json,results/20260319_072409_ls_umi_qpsk_s_m_l/l/estimators/stage_results_v2.json
l/estimators,__stage__,stage_csv,results/20260319_072409_ls_umi_qpsk_s_m_l/l/estimators/stage_results_v2.csv
l/estimators,ls,mean_ber,0.22969501957748875
l/estimators,ls,mean_ber_upper_confidence,0.22986920945266015
l/estimators,ls,mean_latency_ms,1726.5372648242437
l/estimators,ls,mean_throughput_bits_per_batch,1211584.972727273
l/estimators,ls,mean_energy_joules_per_batch,0.00018645100000000005
l/estimators,ls,mean_avg_power_w,0.00010799205740998347
l/estimators,ls,mean_runtime_sec,18.148270459636457
l/estimators,ls,mean_bit_errors,3612790.272727273
l/estimators,ls,mean_total_bits,15728640.0
l/estimators,ls,mean_block_errors,9430.545454545454
l/estimators,ls,mean_total_blocks,10240.0
l/estimators,ls,mean_num_batches,10.0
l/estimators,ls,runtime_total_sec,199.63097505600103
