stage,method,metric,ebno_db,value
estimators,ista,ber,0.0,0.3954002380371094
estimators,ista,ber,2.0,0.27264251708984377
estimators,ista,ber,4.0,0.17556889851888022
estimators,ista,ber,6.0,0.08574676513671875
estimators,ista,ber,8.0,0.0422088623046875
estimators,ista,ber,10.0,0.01235198974609375
estimators,ista,ber,12.0,0.004370625813802083
estimators,ista,ber,14.0,0.00135040283203125
estimators,ista,ber,16.0,0.0006344265407986111
estimators,ista,ber,18.0,0.0004228232563405797
estimators,ista,ber,20.0,0.00032561165945870537
estimators,ista,ber_upper_confidence,0.0,0.39580587827993247
estimators,ista,ber_upper_confidence,2.0,0.27301206111592147
estimators,ista,ber_upper_confidence,4.0,0.17588470401929635
estimators,ista,ber_upper_confidence,6.0,0.08597929922795679
estimators,ista,ber_upper_confidence,8.0,0.042375959422285954
estimators,ista,ber_upper_confidence,10.0,0.012443943945514919
estimators,ista,ber_upper_confidence,12.0,0.004425686144287247
estimators,ista,ber_upper_confidence,14.0,0.0013784975383898826
estimators,ista,ber_upper_confidence,16.0,0.0006517108468642252
estimators,ista,ber_upper_confidence,18.0,0.00043421807418397157
estimators,ista,ber_upper_confidence,20.0,0.00033467887869131804
estimators,ista,latency_ms,0.0,476.43207103333606
estimators,ista,latency_ms,2.0,487.6644960333446
estimators,ista,latency_ms,4.0,478.4252375333362
estimators,ista,latency_ms,6.0,477.9197587333196
estimators,ista,latency_ms,8.0,476.1003668333255
estimators,ista,latency_ms,10.0,478.3636751333499
estimators,ista,latency_ms,12.0,479.1961670333346
estimators,ista,latency_ms,14.0,482.44993775000756
estimators,ista,latency_ms,16.0,477.7614945333237
estimators,ista,latency_ms,18.0,479.3988787246476
estimators,ista,latency_ms,20.0,478.08875919048046
estimators,ista,throughput_bits_per_batch,0.0,237738.3
estimators,ista,throughput_bits_per_batch,2.0,286008.6
estimators,ista,throughput_bits_per_batch,4.0,324179.5
estimators,ista,throughput_bits_per_batch,6.0,359499.0
estimators,ista,throughput_bits_per_batch,8.0,376618.8
estimators,ista,throughput_bits_per_batch,10.0,388359.0
estimators,ista,throughput_bits_per_batch,12.0,391497.4
estimators,ista,throughput_bits_per_batch,14.0,392685.0
estimators,ista,throughput_bits_per_batch,16.0,392966.5333333333
estimators,ista,throughput_bits_per_batch,18.0,393049.73913043475
estimators,ista,throughput_bits_per_batch,20.0,393087.96428571426
estimators,ista,energy_joules_per_batch,0.0,0.00018645100000000002
estimators,ista,energy_joules_per_batch,2.0,0.00018645100000000002
estimators,ista,energy_joules_per_batch,4.0,0.00018645100000000002
estimators,ista,energy_joules_per_batch,6.0,0.00018645100000000002
estimators,ista,energy_joules_per_batch,8.0,0.00018645100000000002
estimators,ista,energy_joules_per_batch,10.0,0.00018645100000000002
estimators,ista,energy_joules_per_batch,12.0,0.00018645100000000002
estimators,ista,energy_joules_per_batch,14.0,0.00018645100000000002
estimators,ista,energy_joules_per_batch,16.0,0.00018645100000000005
estimators,ista,energy_joules_per_batch,18.0,0.00018645100000000008
estimators,ista,energy_joules_per_batch,20.0,0.00018645099999999997
estimators,ista,avg_power_w,0.0,0.0003913485496381582
estimators,ista,avg_power_w,2.0,0.0003823345794426077
estimators,ista,avg_power_w,4.0,0.0003897181531670521
estimators,ista,avg_power_w,6.0,0.00039013034425312414
estimators,ista,avg_power_w,8.0,0.0003916212063438155
estimators,ista,avg_power_w,10.0,0.00038976830744521824
estimators,ista,avg_power_w,12.0,0.00038909117565422813
estimators,ista,avg_power_w,14.0,0.0003864670412634893
estimators,ista,avg_power_w,16.0,0.0003902595795881896
estimators,ista,avg_power_w,18.0,0.0003889266501749412
estimators,ista,avg_power_w,20.0,0.00038999243637458965
estimators,ista,runtime_sec,0.0,6.183620168000061
estimators,ista,runtime_sec,2.0,6.362917129000152
estimators,ista,runtime_sec,4.0,6.1729672940000455
estimators,ista,runtime_sec,6.0,6.177012670000124
estimators,ista,runtime_sec,8.0,6.133249753999962
estimators,ista,runtime_sec,10.0,6.165637127000025
estimators,ista,runtime_sec,12.0,6.175437042999988
estimators,ista,runtime_sec,14.0,7.481870629000014
estimators,ista,runtime_sec,16.0,9.29288521400008
estimators,ista,runtime_sec,18.0,14.232429462000198
estimators,ista,runtime_sec,20.0,17.34565946499987
estimators,ista,bit_errors,0.0,1554777.0
estimators,ista,bit_errors,2.0,1072074.0
estimators,ista,bit_errors,4.0,690365.0
estimators,ista,bit_errors,6.0,337170.0
estimators,ista,bit_errors,8.0,165972.0
estimators,ista,bit_errors,10.0,48570.0
estimators,ista,bit_errors,12.0,17186.0
estimators,ista,bit_errors,14.0,6372.0
estimators,ista,bit_errors,16.0,3742.0
estimators,ista,bit_errors,18.0,3824.0
estimators,ista,bit_errors,20.0,3585.0
estimators,ista,total_bits,0.0,3932160.0
estimators,ista,total_bits,2.0,3932160.0
estimators,ista,total_bits,4.0,3932160.0
