stage,method,metric,value
estimators,__stage__,stage_dir,results/20260319_102908_ista_umi_qpsk_s/estimators
estimators,__stage__,stage_json,results/20260319_102908_ista_umi_qpsk_s/estimators/stage_results_v2.json
estimators,__stage__,stage_csv,results/20260319_102908_ista_umi_qpsk_s/estimators/stage_results_v2.csv
estimators,ista,mean_ber,0.09009301463052405
estimators,ista,mean_ber_upper_confidence,0.09024787613575679
estimators,ista,mean_latency_ms,479.2546220483459
estimators,ista,mean_throughput_bits_per_batch,357789.9851590438
estimators,ista,mean_energy_joules_per_batch,0.000186451
estimators,ista,mean_avg_power_w,0.00038905982030412853
estimators,ista,mean_runtime_sec,8.338516905000047
estimators,ista,mean_bit_errors,354876.0909090909
estimators,ista,mean_total_bits,5290542.545454546
estimators,ista,mean_block_errors,804.0909090909091
estimators,ista,mean_total_blocks,3444.3636363636365
estimators,ista,mean_num_batches,13.454545454545455
estimators,ista,runtime_total_sec,91.72368595500052
