stage,method,metric,value
estimators,__stage__,stage_dir,results/20260319_110248_neural_umi_qpsk_s/estimators
estimators,__stage__,stage_json,results/20260319_110248_neural_umi_qpsk_s/estimators/stage_results_v2.json
estimators,__stage__,stage_csv,results/20260319_110248_neural_umi_qpsk_s/estimators/stage_results_v2.csv
estimators,neural,mean_ber,0.0028995453081085876
estimators,neural,mean_ber_upper_confidence,0.0029187119363086153
estimators,neural,mean_latency_ms,475.0438217162975
estimators,neural,mean_throughput_bits_per_batch,392075.85239212675
estimators,neural,mean_energy_joules_per_batch,0.00018645100000000005
estimators,neural,mean_avg_power_w,0.0003925107303557744
estimators,neural,mean_runtime_sec,74.30495213272661
estimators,neural,mean_bit_errors,31399.545454545456
estimators,neural,mean_total_bits,58267461.81818182
estimators,neural,mean_block_errors,134.27272727272728
estimators,neural,mean_total_blocks,37934.545454545456
estimators,neural,mean_num_batches,148.1818181818182
estimators,neural,runtime_total_sec,817.3544734599927
