stage,method,metric,ebno_db,value
estimators,ls,ber,0.0,0.11747881571451822
estimators,ls,ber,2.0,0.059397379557291664
estimators,ls,ber,4.0,0.026825332641601564
estimators,ls,ber,6.0,0.013574981689453125
estimators,ls,ber,8.0,0.008882776896158854
estimators,ls,ber,10.0,0.006962203979492187
estimators,ls,ber,12.0,0.0077190399169921875
estimators,ls,ber,14.0,0.006360244750976562
estimators,ls,ber,16.0,0.007633336385091146
estimators,ls,ber,18.0,0.008993911743164062
estimators,ls,ber,20.0,0.010741424560546876
estimators,ls,ber_upper_confidence,0.0,0.11766780690499463
estimators,ls,ber_upper_confidence,2.0,0.0595361695528897
estimators,ls,ber_upper_confidence,4.0,0.026920264184961566
estimators,ls,ber_upper_confidence,6.0,0.013643022429031664
estimators,ls,ber_upper_confidence,8.0,0.008937980417861247
estimators,ls,ber_upper_confidence,10.0,0.0070111439041386486
estimators,ls,ber_upper_confidence,12.0,0.007770542426936265
estimators,ls,ber_upper_confidence,14.0,0.006407043014701896
estimators,ls,ber_upper_confidence,16.0,0.007684555363953572
estimators,ls,ber_upper_confidence,18.0,0.009049455324532475
estimators,ls,ber_upper_confidence,20.0,0.010802055104613054
estimators,ls,latency_ms,0.0,820.91265023334
estimators,ls,latency_ms,2.0,811.058271133343
estimators,ls,latency_ms,4.0,810.7152752333358
estimators,ls,latency_ms,6.0,811.4641337333419
estimators,ls,latency_ms,8.0,822.1962630333346
estimators,ls,latency_ms,10.0,806.1337546333315
estimators,ls,latency_ms,12.0,815.9258791333294
estimators,ls,latency_ms,14.0,806.5038086333298
estimators,ls,latency_ms,16.0,809.1031212333328
estimators,ls,latency_ms,18.0,817.6019711333377
estimators,ls,latency_ms,20.0,814.0061002333263
estimators,ls,throughput_bits_per_batch,0.0,694042.9
estimators,ls,throughput_bits_per_batch,2.0,739720.0
estimators,ls,throughput_bits_per_batch,4.0,765335.7
estimators,ls,throughput_bits_per_batch,6.0,775756.2
estimators,ls,throughput_bits_per_batch,8.0,779446.3
estimators,ls,throughput_bits_per_batch,10.0,780956.7
estimators,ls,throughput_bits_per_batch,12.0,780361.5
