stage,method,metric,value
estimators,__stage__,stage_dir,results/20260319_135513_ls_umi_qpsk_apple/estimators
estimators,__stage__,stage_json,results/20260319_135513_ls_umi_qpsk_apple/estimators/stage_results_v2.json
estimators,__stage__,stage_csv,results/20260319_135513_ls_umi_qpsk_apple/estimators/stage_results_v2.csv
estimators,ls,mean_ber,0.024960858894116953
estimators,ls,mean_ber_upper_confidence,0.02503909442078316
estimators,ls,mean_latency_ms,813.2382934878802
estimators,ls,mean_throughput_bits_per_batch,766801.9818181819
estimators,ls,mean_energy_joules_per_batch,0.00018645100000000005
estimators,ls,mean_avg_power_w,0.00022927904442411574
estimators,ls,mean_runtime_sec,8.654238204818181
estimators,ls,mean_bit_errors,196300.18181818182
estimators,ls,mean_total_bits,7864320.0
estimators,ls,mean_block_errors,759.8181818181819
estimators,ls,mean_total_blocks,5120.0
estimators,ls,mean_num_batches,10.0
estimators,ls,runtime_total_sec,95.19662025299999
