stage,method,metric,ebno_db,value
jidd_scma,jidd_scma,ber,1.0,0.47385969065656564
jidd_scma,jidd_scma,ber,2.0,0.46296953914141414
jidd_scma,jidd_scma,ber,3.0,0.4401041666666667
jidd_scma,jidd_scma,ber,4.0,0.3461568813131313
jidd_scma,jidd_scma,ber,5.0,0.0901791351010101
jidd_scma,jidd_scma,ber,6.0,0.0032552083333333335
jidd_scma,jidd_scma,ber,7.0,0.00013120060683036974
jidd_scma,jidd_scma,ber,8.0,6.103671969056584e-06
jidd_scma,jidd_scma,ber,9.0,0.0
jidd_scma,jidd_scma,ber,10.0,0.0026187968164794006
jidd_scma,jidd_scma,ber,11.0,0.007043087121212121
jidd_scma,jidd_scma,ber,12.0,0.08400410353535354
jidd_scma,jidd_scma,ber,13.0,0.4856770833333333
jidd_scma,jidd_scma,ber,14.0,0.5000394570707071
jidd_scma,jidd_scma,ber,15.0,0.4982638888888889
jidd_scma,jidd_scma,ber,16.0,0.4956399936868687
jidd_scma,jidd_scma,ber,17.0,0.5022095959595959
jidd_scma,jidd_scma,ber,18.0,0.49846117424242425
jidd_scma,jidd_scma,ber,19.0,0.49958570075757575
jidd_scma,jidd_scma,ber,20.0,0.5001775568181818
jidd_scma,jidd_scma,ber_upper_confidence,1.0,0.47385969065656564
jidd_scma,jidd_scma,ber_upper_confidence,2.0,0.46296953914141414
jidd_scma,jidd_scma,ber_upper_confidence,3.0,0.4401041666666667
jidd_scma,jidd_scma,ber_upper_confidence,4.0,0.3461568813131313
jidd_scma,jidd_scma,ber_upper_confidence,5.0,0.0901791351010101
jidd_scma,jidd_scma,ber_upper_confidence,6.0,0.0032552083333333335
jidd_scma,jidd_scma,ber_upper_confidence,7.0,0.00013120060683036974
jidd_scma,jidd_scma,ber_upper_confidence,8.0,6.103671969056584e-06
jidd_scma,jidd_scma,ber_upper_confidence,9.0,0.0
jidd_scma,jidd_scma,ber_upper_confidence,10.0,0.0026187968164794006
jidd_scma,jidd_scma,ber_upper_confidence,11.0,0.007043087121212121
jidd_scma,jidd_scma,ber_upper_confidence,12.0,0.08400410353535354
jidd_scma,jidd_scma,ber_upper_confidence,13.0,0.4856770833333333
jidd_scma,jidd_scma,ber_upper_confidence,14.0,0.5000394570707071
jidd_scma,jidd_scma,ber_upper_confidence,15.0,0.4982638888888889
jidd_scma,jidd_scma,ber_upper_confidence,16.0,0.4956399936868687
jidd_scma,jidd_scma,ber_upper_confidence,17.0,0.5022095959595959
jidd_scma,jidd_scma,ber_upper_confidence,18.0,0.49846117424242425
jidd_scma,jidd_scma,ber_upper_confidence,19.0,0.49958570075757575
jidd_scma,jidd_scma,ber_upper_confidence,20.0,0.5001775568181818
jidd_scma,jidd_scma,bit_errors,1.0,24019.0
jidd_scma,jidd_scma,bit_errors,2.0,23467.0
jidd_scma,jidd_scma,bit_errors,3.0,22308.0
jidd_scma,jidd_scma,bit_errors,4.0,17546.0
jidd_scma,jidd_scma,bit_errors,5.0,4571.0
jidd_scma,jidd_scma,bit_errors,6.0,165.0
jidd_scma,jidd_scma,bit_errors,7.0,119.0
jidd_scma,jidd_scma,bit_errors,8.0,122.0
jidd_scma,jidd_scma,bit_errors,9.0,0.0
jidd_scma,jidd_scma,bit_errors,10.0,358.0
jidd_scma,jidd_scma,bit_errors,11.0,357.0
jidd_scma,jidd_scma,bit_errors,12.0,4258.0
jidd_scma,jidd_scma,bit_errors,13.0,24618.0
jidd_scma,jidd_scma,bit_errors,14.0,25346.0
jidd_scma,jidd_scma,bit_errors,15.0,25256.0
jidd_scma,jidd_scma,bit_errors,16.0,25123.0
jidd_scma,jidd_scma,bit_errors,17.0,25456.0
jidd_scma,jidd_scma,bit_errors,18.0,25266.0
jidd_scma,jidd_scma,bit_errors,19.0,25323.0
jidd_scma,jidd_scma,bit_errors,20.0,25353.0
jidd_scma,jidd_scma,total_bits,1.0,50688.0
jidd_scma,jidd_scma,total_bits,2.0,50688.0
jidd_scma,jidd_scma,total_bits,3.0,50688.0
jidd_scma,jidd_scma,total_bits,4.0,50688.0
jidd_scma,jidd_scma,total_bits,5.0,50688.0
jidd_scma,jidd_scma,total_bits,6.0,50688.0
jidd_scma,jidd_scma,total_bits,7.0,907008.0
jidd_scma,jidd_scma,total_bits,8.0,19987968.0
jidd_scma,jidd_scma,total_bits,9.0,50000640.0
jidd_scma,jidd_scma,total_bits,10.0,136704.0
jidd_scma,jidd_scma,total_bits,11.0,50688.0
jidd_scma,jidd_scma,total_bits,12.0,50688.0
jidd_scma,jidd_scma,total_bits,13.0,50688.0
jidd_scma,jidd_scma,total_bits,14.0,50688.0
jidd_scma,jidd_scma,total_bits,15.0,50688.0
jidd_scma,jidd_scma,total_bits,16.0,50688.0
jidd_scma,jidd_scma,total_bits,17.0,50688.0
jidd_scma,jidd_scma,total_bits,18.0,50688.0
jidd_scma,jidd_scma,total_bits,19.0,50688.0
jidd_scma,jidd_scma,total_bits,20.0,50688.0
jidd_scma,jidd_scma,runtime_sec,1.0,11.037113428115845
