stage,method,metric,ebno_db,value
estimators,neural,ber,0.0,5.9528437923623e-05
estimators,neural,ber,2.0,1.986821492513021e-06
estimators,neural,ber,4.0,3.814697265625e-08
estimators,neural,ber,6.0,0.0
estimators,neural,ber,8.0,0.0
estimators,neural,ber,10.0,0.0
estimators,neural,ber,12.0,0.0
estimators,neural,ber,14.0,0.0
estimators,neural,ber,16.0,0.0
estimators,neural,ber,18.0,0.0
estimators,neural,ber,20.0,0.0
estimators,neural,ber_upper_confidence,0.0,6.037179047050441e-05
estimators,neural,ber_upper_confidence,2.0,2.121913626764697e-06
estimators,neural,ber_upper_confidence,4.0,6.106406504134459e-08
estimators,neural,ber_upper_confidence,6.0,9.523176427059141e-09
estimators,neural,ber_upper_confidence,8.0,9.523176427059141e-09
estimators,neural,ber_upper_confidence,10.0,9.523176427059141e-09
estimators,neural,ber_upper_confidence,12.0,9.523176427059141e-09
estimators,neural,ber_upper_confidence,14.0,9.523176427059141e-09
estimators,neural,ber_upper_confidence,16.0,9.523176427059141e-09
estimators,neural,ber_upper_confidence,18.0,9.523176427059141e-09
estimators,neural,ber_upper_confidence,20.0,9.523176427059141e-09
estimators,neural,latency_ms,0.0,310.0842553598966
estimators,neural,latency_ms,2.0,309.8776680783007
estimators,neural,latency_ms,4.0,310.1063583734535
estimators,neural,latency_ms,6.0,309.9720140627218
estimators,neural,latency_ms,8.0,310.6561455825576
estimators,neural,latency_ms,10.0,310.25219265325035
estimators,neural,latency_ms,12.0,310.788972877734
estimators,neural,latency_ms,14.0,309.84998045831475
estimators,neural,latency_ms,16.0,310.38402340840634
estimators,neural,latency_ms,18.0,309.84063791701004
estimators,neural,latency_ms,20.0,309.7238615458477
estimators,neural,throughput_bits_per_batch,0.0,196596.29623287672
estimators,neural,throughput_bits_per_batch,2.0,196607.609375
estimators,neural,throughput_bits_per_batch,4.0,196607.9925
estimators,neural,throughput_bits_per_batch,6.0,196608.0
estimators,neural,throughput_bits_per_batch,8.0,196608.0
estimators,neural,throughput_bits_per_batch,10.0,196608.0
estimators,neural,throughput_bits_per_batch,12.0,196608.0
estimators,neural,throughput_bits_per_batch,14.0,196608.0
estimators,neural,throughput_bits_per_batch,16.0,196608.0
estimators,neural,throughput_bits_per_batch,18.0,196608.0
estimators,neural,throughput_bits_per_batch,20.0,196608.0
estimators,neural,energy_joules_per_batch,0.0,0.00018645100000000262
estimators,neural,energy_joules_per_batch,2.0,0.00018645099999999853
estimators,neural,energy_joules_per_batch,4.0,0.00018645099999999853
estimators,neural,energy_joules_per_batch,6.0,0.00018645099999999853
estimators,neural,energy_joules_per_batch,8.0,0.00018645099999999853
estimators,neural,energy_joules_per_batch,10.0,0.00018645099999999853
estimators,neural,energy_joules_per_batch,12.0,0.00018645099999999853
estimators,neural,energy_joules_per_batch,14.0,0.00018645099999999853
estimators,neural,energy_joules_per_batch,16.0,0.00018645099999999853
estimators,neural,energy_joules_per_batch,18.0,0.00018645099999999853
estimators,neural,energy_joules_per_batch,20.0,0.00018645099999999853
estimators,neural,avg_power_w,0.0,0.000601291412824556
estimators,neural,avg_power_w,2.0,0.0006016922779762419
estimators,neural,avg_power_w,4.0,0.0006012485554245236
estimators,neural,avg_power_w,6.0,0.0006015091412809635
estimators,neural,avg_power_w,8.0,0.0006001844890283966
estimators,neural,avg_power_w,10.0,0.000600965938082453
estimators,neural,avg_power_w,12.0,0.0005999279777321743
estimators,neural,avg_power_w,14.0,0.0006017460440830413
estimators,neural,avg_power_w,16.0,0.0006007106872078415
estimators,neural,avg_power_w,18.0,0.0006017641883694382
estimators,neural,avg_power_w,20.0,0.000601991073821087
estimators,neural,runtime_sec,0.0,1041.551537214982
estimators,neural,runtime_sec,2.0,1430.4924081229874
estimators,neural,runtime_sec,4.0,1432.1414863260434
estimators,neural,runtime_sec,6.0,1429.9452300521698
estimators,neural,runtime_sec,8.0,1430.6647253190386
estimators,neural,runtime_sec,10.0,1428.6628375639884
estimators,neural,runtime_sec,12.0,1431.7649902671183
estimators,neural,runtime_sec,14.0,1427.5707852680425
estimators,neural,runtime_sec,16.0,1429.1708774359395
estimators,neural,runtime_sec,18.0,1427.0767600271538
estimators,neural,runtime_sec,20.0,1427.3300081079178
estimators,neural,bit_errors,0.0,13670.0
estimators,neural,bit_errors,2.0,625.0
estimators,neural,bit_errors,4.0,12.0
estimators,neural,bit_errors,6.0,0.0
estimators,neural,bit_errors,8.0,0.0
estimators,neural,bit_errors,10.0,0.0
estimators,neural,bit_errors,12.0,0.0
estimators,neural,bit_errors,14.0,0.0
estimators,neural,bit_errors,16.0,0.0
estimators,neural,bit_errors,18.0,0.0
estimators,neural,bit_errors,20.0,0.0
estimators,neural,total_bits,0.0,229638144.0
estimators,neural,total_bits,2.0,314572800.0
estimators,neural,total_bits,4.0,314572800.0
estimators,neural,total_bits,6.0,314572800.0
estimators,neural,total_bits,8.0,314572800.0
estimators,neural,total_bits,10.0,314572800.0
estimators,neural,total_bits,12.0,314572800.0
estimators,neural,total_bits,14.0,314572800.0
estimators,neural,total_bits,16.0,314572800.0
estimators,neural,total_bits,18.0,314572800.0
estimators,neural,total_bits,20.0,314572800.0
estimators,neural,block_errors,0.0,100.0
estimators,neural,block_errors,2.0,4.0
estimators,neural,block_errors,4.0,1.0
estimators,neural,block_errors,6.0,0.0
estimators,neural,block_errors,8.0,0.0
estimators,neural,block_errors,10.0,0.0
estimators,neural,block_errors,12.0,0.0
estimators,neural,block_errors,14.0,0.0
estimators,neural,block_errors,16.0,0.0
estimators,neural,block_errors,18.0,0.0
estimators,neural,block_errors,20.0,0.0
estimators,neural,total_blocks,0.0,149504.0
estimators,neural,total_blocks,2.0,204800.0
estimators,neural,total_blocks,4.0,204800.0
estimators,neural,total_blocks,6.0,204800.0
estimators,neural,total_blocks,8.0,204800.0
estimators,neural,total_blocks,10.0,204800.0
estimators,neural,total_blocks,12.0,204800.0
estimators,neural,total_blocks,14.0,204800.0
estimators,neural,total_blocks,16.0,204800.0
estimators,neural,total_blocks,18.0,204800.0
estimators,neural,total_blocks,20.0,204800.0
estimators,neural,num_batches,0.0,1168.0
estimators,neural,num_batches,2.0,1600.0
estimators,neural,num_batches,4.0,1600.0
estimators,neural,num_batches,6.0,1600.0
estimators,neural,num_batches,8.0,1600.0
estimators,neural,num_batches,10.0,1600.0
estimators,neural,num_batches,12.0,1600.0
estimators,neural,num_batches,14.0,1600.0
estimators,neural,num_batches,16.0,1600.0
estimators,neural,num_batches,18.0,1600.0
estimators,neural,num_batches,20.0,1600.0
estimators,neural,stop_reason,0.0,target_block_errors
estimators,neural,stop_reason,2.0,max_batches
estimators,neural,stop_reason,4.0,max_batches
estimators,neural,stop_reason,6.0,max_batches
estimators,neural,stop_reason,8.0,max_batches
estimators,neural,stop_reason,10.0,max_batches
estimators,neural,stop_reason,12.0,max_batches
estimators,neural,stop_reason,14.0,max_batches
estimators,neural,stop_reason,16.0,max_batches
estimators,neural,stop_reason,18.0,max_batches
estimators,neural,stop_reason,20.0,max_batches
estimators,neural,point_status,0.0,resolved
estimators,neural,point_status,2.0,resolved
