stage,method,metric,ebno_db,value
resource_managers,max_throughput,ber,0.0,0.0
resource_managers,max_throughput,ber,2.0,0.0
resource_managers,max_throughput,ber,4.0,0.0
resource_managers,max_throughput,ber,6.0,0.0
resource_managers,max_throughput,ber,8.0,0.0
resource_managers,max_throughput,ber,10.0,0.0
resource_managers,max_throughput,ber,12.0,0.0
resource_managers,max_throughput,ber,14.0,0.0
resource_managers,max_throughput,ber,16.0,0.0
resource_managers,max_throughput,ber,18.0,0.0
resource_managers,max_throughput,ber,20.0,0.0
resource_managers,max_throughput,ber_upper_confidence,0.0,1.9046352854118282e-08
resource_managers,max_throughput,ber_upper_confidence,2.0,1.9046352854118282e-08
resource_managers,max_throughput,ber_upper_confidence,4.0,1.9046352854118282e-08
resource_managers,max_throughput,ber_upper_confidence,6.0,1.9046352854118282e-08
resource_managers,max_throughput,ber_upper_confidence,8.0,1.9046352854118282e-08
resource_managers,max_throughput,ber_upper_confidence,10.0,1.9046352854118282e-08
resource_managers,max_throughput,ber_upper_confidence,12.0,1.9046352854118282e-08
resource_managers,max_throughput,ber_upper_confidence,14.0,1.9046352854118282e-08
resource_managers,max_throughput,ber_upper_confidence,16.0,1.9046352854118282e-08
resource_managers,max_throughput,ber_upper_confidence,18.0,1.9046352854118282e-08
resource_managers,max_throughput,ber_upper_confidence,20.0,1.9046352854118282e-08
resource_managers,max_throughput,latency_ms,0.0,313.05263200817154
resource_managers,max_throughput,latency_ms,2.0,313.09554734155955
resource_managers,max_throughput,latency_ms,4.0,312.7831673376029
resource_managers,max_throughput,latency_ms,6.0,312.883567704567
resource_managers,max_throughput,latency_ms,8.0,312.4354313902821
resource_managers,max_throughput,latency_ms,10.0,312.77908001762694
resource_managers,max_throughput,latency_ms,12.0,312.8289137344707
resource_managers,max_throughput,latency_ms,14.0,312.9706587625658
resource_managers,max_throughput,latency_ms,16.0,311.70882246330245
resource_managers,max_throughput,latency_ms,18.0,311.8121589471465
resource_managers,max_throughput,latency_ms,20.0,311.76398520205186
resource_managers,max_throughput,throughput_bits_per_batch,0.0,98304.0
resource_managers,max_throughput,throughput_bits_per_batch,2.0,98304.0
resource_managers,max_throughput,throughput_bits_per_batch,4.0,98304.0
resource_managers,max_throughput,throughput_bits_per_batch,6.0,98304.0
resource_managers,max_throughput,throughput_bits_per_batch,8.0,98304.0
resource_managers,max_throughput,throughput_bits_per_batch,10.0,98304.0
resource_managers,max_throughput,throughput_bits_per_batch,12.0,98304.0
