stage,method,metric,value
estimators,__stage__,stage_dir,results/20260411_211535_neural_ls_rayleigh_qpsk_s/estimators
estimators,__stage__,stage_json,results/20260411_211535_neural_ls_rayleigh_qpsk_s/estimators/stage_results_v2.json
estimators,__stage__,stage_csv,results/20260411_211535_neural_ls_rayleigh_qpsk_s/estimators/stage_results_v2.csv
estimators,neural,mean_ber,5.5957642171629335e-06
estimators,neural,mean_ber_upper_confidence,5.693723052156994e-06
estimators,neural,mean_latency_ms,310.1396463924994
estimators,neural,mean_throughput_bits_per_batch,196606.89982798882
estimators,neural,mean_energy_joules_per_batch,0.0001864509999999989
estimators,neural,mean_avg_power_w,0.0006011847078027924
estimators,neural,mean_runtime_sec,1394.2156041550347
estimators,neural,mean_bit_errors,1300.6363636363637
estimators,neural,mean_total_bits,306851467.6363636
estimators,neural,mean_block_errors,9.545454545454545
estimators,neural,mean_total_blocks,199773.0909090909
estimators,neural,mean_num_batches,1560.7272727272727
estimators,ls,mean_ber,0.0009461352628180784
estimators,ls,mean_ber_upper_confidence,0.000957542926567536
estimators,ls,mean_latency_ms,309.56259883072045
estimators,ls,mean_throughput_bits_per_batch,196421.98223824787
estimators,ls,mean_energy_joules_per_batch,0.00018645099999999883
estimators,ls,mean_avg_power_w,0.0006023114759603088
estimators,ls,mean_runtime_sec,429.68504591508
estimators,ls,mean_bit_errors,4988.454545454545
estimators,ls,mean_total_bits,259647674.1818182
estimators,ls,mean_block_errors,27.818181818181817
estimators,ls,mean_total_blocks,169041.45454545456
estimators,ls,mean_num_batches,1320.6363636363637
estimators,neural,runtime_total_sec,15336.371645705382
estimators,ls,runtime_total_sec,4726.53550506588
resource_managers,__stage__,stage_dir,results/20260411_211535_neural_ls_rayleigh_qpsk_s/resource_managers
resource_managers,__stage__,stage_json,results/20260411_211535_neural_ls_rayleigh_qpsk_s/resource_managers/stage_results_v2.json
resource_managers,__stage__,stage_csv,results/20260411_211535_neural_ls_rayleigh_qpsk_s/resource_managers/stage_results_v2.csv
resource_managers,max_throughput,mean_ber,0.0
resource_managers,max_throughput,mean_ber_upper_confidence,1.904635285411828e-08
resource_managers,max_throughput,mean_latency_ms,312.55581499175884
resource_managers,max_throughput,mean_throughput_bits_per_batch,98304.0
resource_managers,max_throughput,mean_energy_joules_per_batch,0.00018645099999999853
resource_managers,max_throughput,mean_avg_power_w,0.000596538268747496
resource_managers,max_throughput,mean_runtime_sec,548.8496774736705
resource_managers,max_throughput,mean_bit_errors,0.0
resource_managers,max_throughput,mean_total_bits,157286400.0
resource_managers,max_throughput,mean_block_errors,0.0
resource_managers,max_throughput,mean_total_blocks,102400.0
resource_managers,max_throughput,mean_num_batches,1600.0
resource_managers,max_throughput,runtime_total_sec,6037.346452210375
