stage,method,metric,ebno_db,value
estimators,neural,ber,0.0,0.006616973876953125
estimators,neural,ber,2.0,0.0008845712946749281
estimators,neural,ber,4.0,7.322579977904982e-05
estimators,neural,ber,6.0,9.239514668782551e-06
estimators,neural,ber,8.0,1.2350082397460937e-06
estimators,neural,ber,10.0,0.0
estimators,neural,ber,12.0,0.0
estimators,neural,ber,14.0,0.0
estimators,neural,ber,16.0,0.0
estimators,neural,ber,18.0,0.0
estimators,neural,ber,20.0,0.0
estimators,neural,ber_upper_confidence,0.0,0.0066845653396159
estimators,neural,ber_upper_confidence,2.0,0.0008929712462909016
estimators,neural,ber_upper_confidence,4.0,7.400527971096897e-05
estimators,neural,ber_upper_confidence,6.0,9.44100712338535e-06
estimators,neural,ber_upper_confidence,8.0,1.3100664230125855e-06
estimators,neural,ber_upper_confidence,10.0,4.7615882135295706e-09
estimators,neural,ber_upper_confidence,12.0,4.7615882135295706e-09
estimators,neural,ber_upper_confidence,14.0,4.7615882135295706e-09
estimators,neural,ber_upper_confidence,16.0,4.7615882135295706e-09
estimators,neural,ber_upper_confidence,18.0,4.7615882135295706e-09
estimators,neural,ber_upper_confidence,20.0,4.7615882135295706e-09
estimators,neural,latency_ms,0.0,487.1333541333322
estimators,neural,latency_ms,2.0,431.4789192758567
estimators,neural,latency_ms,4.0,433.91743653498645
estimators,neural,latency_ms,6.0,433.64723578769815
estimators,neural,latency_ms,8.0,432.9588247608271
estimators,neural,latency_ms,10.0,432.7555583195526
estimators,neural,latency_ms,12.0,432.55703996835103
estimators,neural,latency_ms,14.0,432.3467146083194
estimators,neural,latency_ms,16.0,432.1624618714236
estimators,neural,latency_ms,18.0,432.7203334614434
estimators,neural,latency_ms,20.0,432.6456408476567
estimators,neural,throughput_bits_per_batch,0.0,390614.1
estimators,neural,throughput_bits_per_batch,2.0,392868.1724137931
estimators,neural,throughput_bits_per_batch,4.0,393187.2064439141
estimators,neural,throughput_bits_per_batch,6.0,393212.366875
estimators,neural,throughput_bits_per_batch,8.0,393215.514375
estimators,neural,throughput_bits_per_batch,10.0,393216.0
estimators,neural,throughput_bits_per_batch,12.0,393216.0
estimators,neural,throughput_bits_per_batch,14.0,393216.0
estimators,neural,throughput_bits_per_batch,16.0,393216.0
estimators,neural,throughput_bits_per_batch,18.0,393216.0
estimators,neural,throughput_bits_per_batch,20.0,393216.0
estimators,neural,energy_joules_per_batch,0.0,0.00021102699999999997
estimators,neural,energy_joules_per_batch,2.0,0.00021102700000000016
estimators,neural,energy_joules_per_batch,4.0,0.00021102700000000203
estimators,neural,energy_joules_per_batch,6.0,0.00021102699999999506
estimators,neural,energy_joules_per_batch,8.0,0.00021102699999999506
estimators,neural,energy_joules_per_batch,10.0,0.00021102699999999506
estimators,neural,energy_joules_per_batch,12.0,0.00021102699999999506
estimators,neural,energy_joules_per_batch,14.0,0.00021102699999999506
estimators,neural,energy_joules_per_batch,16.0,0.00021102699999999506
estimators,neural,energy_joules_per_batch,18.0,0.00021102699999999506
estimators,neural,energy_joules_per_batch,20.0,0.00021102699999999506
estimators,neural,avg_power_w,0.0,0.0004332017058767038
estimators,neural,avg_power_w,2.0,0.0004890783548687917
estimators,neural,avg_power_w,4.0,0.0004863298458000249
estimators,neural,avg_power_w,6.0,0.0004866328724929498
estimators,neural,avg_power_w,8.0,0.0004874066260609644
estimators,neural,avg_power_w,10.0,0.00048763556225468475
estimators,neural,avg_power_w,12.0,0.000487859358422268
estimators,neural,avg_power_w,14.0,0.00048809668923047807
estimators,neural,avg_power_w,16.0,0.0004883047895603194
estimators,neural,avg_power_w,18.0,0.000487675257393002
estimators,neural,avg_power_w,20.0,0.0004877594504050532
estimators,neural,runtime_sec,0.0,10.870874838000047
estimators,neural,runtime_sec,2.0,88.77325120500029
estimators,neural,runtime_sec,4.0,857.0477045860218
estimators,neural,runtime_sec,6.0,1640.0881009449577
estimators,neural,runtime_sec,8.0,1635.5776623980169
estimators,neural,runtime_sec,10.0,1632.3848457230024
estimators,neural,runtime_sec,12.0,1634.4813582969796
estimators,neural,runtime_sec,14.0,1632.4149483890067
estimators,neural,runtime_sec,16.0,1632.2808560389942
estimators,neural,runtime_sec,18.0,1631.6596834219745
estimators,neural,runtime_sec,20.0,1631.4585561020162
estimators,neural,bit_errors,0.0,26019.0
estimators,neural,bit_errors,2.0,30261.0
estimators,neural,bit_errors,4.0,24129.0
estimators,neural,bit_errors,6.0,5813.0
estimators,neural,bit_errors,8.0,777.0
estimators,neural,bit_errors,10.0,0.0
estimators,neural,bit_errors,12.0,0.0
estimators,neural,bit_errors,14.0,0.0
estimators,neural,bit_errors,16.0,0.0
estimators,neural,bit_errors,18.0,0.0
estimators,neural,bit_errors,20.0,0.0
estimators,neural,total_bits,0.0,3932160.0
estimators,neural,total_bits,2.0,34209792.0
estimators,neural,total_bits,4.0,329515008.0
estimators,neural,total_bits,6.0,629145600.0
estimators,neural,total_bits,8.0,629145600.0
estimators,neural,total_bits,10.0,629145600.0
estimators,neural,total_bits,12.0,629145600.0
estimators,neural,total_bits,14.0,629145600.0
estimators,neural,total_bits,16.0,629145600.0
estimators,neural,total_bits,18.0,629145600.0
estimators,neural,total_bits,20.0,629145600.0
estimators,neural,block_errors,0.0,106.0
estimators,neural,block_errors,2.0,100.0
estimators,neural,block_errors,4.0,100.0
estimators,neural,block_errors,6.0,22.0
estimators,neural,block_errors,8.0,3.0
estimators,neural,block_errors,10.0,0.0
estimators,neural,block_errors,12.0,0.0
estimators,neural,block_errors,14.0,0.0
estimators,neural,block_errors,16.0,0.0
estimators,neural,block_errors,18.0,0.0
estimators,neural,block_errors,20.0,0.0
estimators,neural,total_blocks,0.0,1280.0
estimators,neural,total_blocks,2.0,11136.0
estimators,neural,total_blocks,4.0,107264.0
estimators,neural,total_blocks,6.0,204800.0
estimators,neural,total_blocks,8.0,204800.0
estimators,neural,total_blocks,10.0,204800.0
estimators,neural,total_blocks,12.0,204800.0
estimators,neural,total_blocks,14.0,204800.0
estimators,neural,total_blocks,16.0,204800.0
estimators,neural,total_blocks,18.0,204800.0
estimators,neural,total_blocks,20.0,204800.0
estimators,neural,num_batches,0.0,10.0
estimators,neural,num_batches,2.0,87.0
estimators,neural,num_batches,4.0,838.0
estimators,neural,num_batches,6.0,1600.0
estimators,neural,num_batches,8.0,1600.0
estimators,neural,num_batches,10.0,1600.0
estimators,neural,num_batches,12.0,1600.0
estimators,neural,num_batches,14.0,1600.0
estimators,neural,num_batches,16.0,1600.0
estimators,neural,num_batches,18.0,1600.0
estimators,neural,num_batches,20.0,1600.0
estimators,neural,stop_reason,0.0,target_block_errors
estimators,neural,stop_reason,2.0,target_block_errors
estimators,neural,stop_reason,4.0,target_block_errors
estimators,neural,stop_reason,6.0,max_batches
estimators,neural,stop_reason,8.0,max_batches
estimators,neural,stop_reason,10.0,max_batches
estimators,neural,stop_reason,12.0,max_batches
estimators,neural,stop_reason,14.0,max_batches
estimators,neural,stop_reason,16.0,max_batches
estimators,neural,stop_reason,18.0,max_batches
estimators,neural,stop_reason,20.0,max_batches
estimators,neural,point_status,0.0,resolved
estimators,neural,point_status,2.0,resolved
estimators,neural,point_status,4.0,resolved
estimators,neural,point_status,6.0,resolved
estimators,neural,point_status,8.0,resolved
estimators,neural,point_status,10.0,upper_bound_only
estimators,neural,point_status,12.0,upper_bound_only
estimators,neural,point_status,14.0,upper_bound_only
estimators,neural,point_status,16.0,upper_bound_only
estimators,neural,point_status,18.0,upper_bound_only
estimators,neural,point_status,20.0,upper_bound_only
estimators,neural,runtime_total_sec,,14027.037841943971
estimators,ls,ber,0.0,0.09154586791992188
estimators,ls,ber,2.0,0.014237467447916667
estimators,ls,ber,4.0,0.002443178735598169
estimators,ls,ber,6.0,0.0002780520944572467
estimators,ls,ber,8.0,1.8364588419596355e-05
estimators,ls,ber,10.0,2.474784851074219e-06
estimators,ls,ber,12.0,0.0
estimators,ls,ber,14.0,0.0
estimators,ls,ber,16.0,0.0
estimators,ls,ber,18.0,0.0
estimators,ls,ber,20.0,0.0
estimators,ls,ber_upper_confidence,0.0,0.09178536081005004
estimators,ls,ber_upper_confidence,2.0,0.014336070683215405
estimators,ls,ber_upper_confidence,4.0,0.002465825164498946
estimators,ls,ber_upper_confidence,6.0,0.0002806874536060954
estimators,ls,ber_upper_confidence,8.0,1.8647767422078748e-05
estimators,ls,ber_upper_confidence,10.0,2.58011944382436e-06
estimators,ls,ber_upper_confidence,12.0,4.7615882135295706e-09
estimators,ls,ber_upper_confidence,14.0,4.7615882135295706e-09
estimators,ls,ber_upper_confidence,16.0,4.7615882135295706e-09
estimators,ls,ber_upper_confidence,18.0,4.7615882135295706e-09
estimators,ls,ber_upper_confidence,20.0,4.7615882135295706e-09
estimators,ls,latency_ms,0.0,446.0241960333314
estimators,ls,latency_ms,2.0,440.0643000333303
estimators,ls,latency_ms,4.0,434.88295606060154
estimators,ls,latency_ms,6.0,437.2202523225403
estimators,ls,latency_ms,8.0,433.98759463207983
estimators,ls,latency_ms,10.0,434.1477020364358
estimators,ls,latency_ms,12.0,433.76141018833226
estimators,ls,latency_ms,14.0,433.9549732495842
estimators,ls,latency_ms,16.0,434.610454997686
estimators,ls,latency_ms,18.0,434.320560838337
estimators,ls,latency_ms,20.0,433.2982632689077
estimators,ls,throughput_bits_per_batch,0.0,357218.7
estimators,ls,throughput_bits_per_batch,2.0,387617.6
estimators,ls,throughput_bits_per_batch,4.0,392255.30303030304
estimators,ls,throughput_bits_per_batch,6.0,393106.6654676259
estimators,ls,throughput_bits_per_batch,8.0,393208.77875
estimators,ls,throughput_bits_per_batch,10.0,393215.026875
estimators,ls,throughput_bits_per_batch,12.0,393216.0
estimators,ls,throughput_bits_per_batch,14.0,393216.0
estimators,ls,throughput_bits_per_batch,16.0,393216.0
estimators,ls,throughput_bits_per_batch,18.0,393216.0
estimators,ls,throughput_bits_per_batch,20.0,393216.0
estimators,ls,energy_joules_per_batch,0.0,0.000211027
estimators,ls,energy_joules_per_batch,2.0,0.00021102699999999997
estimators,ls,energy_joules_per_batch,4.0,0.00021102699999999994
estimators,ls,energy_joules_per_batch,6.0,0.00021102700000000103
estimators,ls,energy_joules_per_batch,8.0,0.00021102699999999506
estimators,ls,energy_joules_per_batch,10.0,0.00021102699999999506
estimators,ls,energy_joules_per_batch,12.0,0.00021102699999999506
estimators,ls,energy_joules_per_batch,14.0,0.00021102699999999506
estimators,ls,energy_joules_per_batch,16.0,0.00021102699999999506
estimators,ls,energy_joules_per_batch,18.0,0.00021102699999999506
estimators,ls,energy_joules_per_batch,20.0,0.00021102699999999506
estimators,ls,avg_power_w,0.0,0.00047312904070394854
estimators,ls,avg_power_w,2.0,0.00047953674039002227
estimators,ls,avg_power_w,4.0,0.00048525010479047844
estimators,ls,avg_power_w,6.0,0.00048265605007776494
estimators,ls,avg_power_w,8.0,0.0004862512260952913
estimators,ls,avg_power_w,10.0,0.00048607190366352474
estimators,ls,avg_power_w,12.0,0.00048650478129986374
estimators,ls,avg_power_w,14.0,0.0004862877787060763
estimators,ls,avg_power_w,16.0,0.0004855543569496473
estimators,ls,avg_power_w,18.0,0.0004858784479202762
estimators,ls,avg_power_w,20.0,0.00048702479997947824
estimators,ls,runtime_sec,0.0,4.681864001999976
estimators,ls,runtime_sec,2.0,4.597938793999999
estimators,ls,runtime_sec,4.0,14.994092964000197
estimators,ls,runtime_sec,6.0,126.97643036399943
estimators,ls,runtime_sec,8.0,725.455330378993
estimators,ls,runtime_sec,10.0,725.7287179170502
estimators,ls,runtime_sec,12.0,725.0284099780035
estimators,ls,runtime_sec,14.0,725.4474715379835
estimators,ls,runtime_sec,16.0,726.3318335339629
estimators,ls,runtime_sec,18.0,725.9439215229891
estimators,ls,runtime_sec,20.0,724.2511421380465
estimators,ls,bit_errors,0.0,359973.0
estimators,ls,bit_errors,2.0,55984.0
estimators,ls,bit_errors,4.0,31703.0
estimators,ls,bit_errors,6.0,30395.0
estimators,ls,bit_errors,8.0,11554.0
estimators,ls,bit_errors,10.0,1557.0
estimators,ls,bit_errors,12.0,0.0
estimators,ls,bit_errors,14.0,0.0
estimators,ls,bit_errors,16.0,0.0
estimators,ls,bit_errors,18.0,0.0
estimators,ls,bit_errors,20.0,0.0
estimators,ls,total_bits,0.0,3932160.0
estimators,ls,total_bits,2.0,3932160.0
estimators,ls,total_bits,4.0,12976128.0
estimators,ls,total_bits,6.0,109314048.0
estimators,ls,total_bits,8.0,629145600.0
estimators,ls,total_bits,10.0,629145600.0
estimators,ls,total_bits,12.0,629145600.0
estimators,ls,total_bits,14.0,629145600.0
estimators,ls,total_bits,16.0,629145600.0
estimators,ls,total_bits,18.0,629145600.0
estimators,ls,total_bits,20.0,629145600.0
estimators,ls,block_errors,0.0,913.0
estimators,ls,block_errors,2.0,187.0
estimators,ls,block_errors,4.0,100.0
estimators,ls,block_errors,6.0,101.0
estimators,ls,block_errors,8.0,49.0
estimators,ls,block_errors,10.0,8.0
estimators,ls,block_errors,12.0,0.0
estimators,ls,block_errors,14.0,0.0
estimators,ls,block_errors,16.0,0.0
estimators,ls,block_errors,18.0,0.0
estimators,ls,block_errors,20.0,0.0
estimators,ls,total_blocks,0.0,1280.0
estimators,ls,total_blocks,2.0,1280.0
estimators,ls,total_blocks,4.0,4224.0
estimators,ls,total_blocks,6.0,35584.0
estimators,ls,total_blocks,8.0,204800.0
estimators,ls,total_blocks,10.0,204800.0
estimators,ls,total_blocks,12.0,204800.0
estimators,ls,total_blocks,14.0,204800.0
estimators,ls,total_blocks,16.0,204800.0
estimators,ls,total_blocks,18.0,204800.0
estimators,ls,total_blocks,20.0,204800.0
estimators,ls,num_batches,0.0,10.0
estimators,ls,num_batches,2.0,10.0
estimators,ls,num_batches,4.0,33.0
estimators,ls,num_batches,6.0,278.0
estimators,ls,num_batches,8.0,1600.0
estimators,ls,num_batches,10.0,1600.0
estimators,ls,num_batches,12.0,1600.0
estimators,ls,num_batches,14.0,1600.0
estimators,ls,num_batches,16.0,1600.0
estimators,ls,num_batches,18.0,1600.0
estimators,ls,num_batches,20.0,1600.0
estimators,ls,stop_reason,0.0,target_block_errors
estimators,ls,stop_reason,2.0,target_block_errors
estimators,ls,stop_reason,4.0,target_block_errors
estimators,ls,stop_reason,6.0,target_block_errors
estimators,ls,stop_reason,8.0,max_batches
estimators,ls,stop_reason,10.0,max_batches
estimators,ls,stop_reason,12.0,max_batches
estimators,ls,stop_reason,14.0,max_batches
estimators,ls,stop_reason,16.0,max_batches
estimators,ls,stop_reason,18.0,max_batches
estimators,ls,stop_reason,20.0,max_batches
estimators,ls,point_status,0.0,resolved
estimators,ls,point_status,2.0,resolved
estimators,ls,point_status,4.0,resolved
estimators,ls,point_status,6.0,resolved
estimators,ls,point_status,8.0,resolved
estimators,ls,point_status,10.0,resolved
estimators,ls,point_status,12.0,upper_bound_only
estimators,ls,point_status,14.0,upper_bound_only
estimators,ls,point_status,16.0,upper_bound_only
estimators,ls,point_status,18.0,upper_bound_only
estimators,ls,point_status,20.0,upper_bound_only
estimators,ls,runtime_total_sec,,5229.437153131028
