stage,method,metric,value
estimators,__stage__,stage_dir,results/20260412_091944_neural_ls_rayleigh_16qam_s/estimators
estimators,__stage__,stage_json,results/20260412_091944_neural_ls_rayleigh_16qam_s/estimators/stage_results_v2.json
estimators,__stage__,stage_csv,results/20260412_091944_neural_ls_rayleigh_16qam_s/estimators/stage_results_v2.csv
estimators,neural,mean_ber,0.000689567772210512
estimators,neural,mean_ber_upper_confidence,0.0006965746826084953
estimators,neural,mean_latency_ms,437.6657745063134
estimators,neural,mean_throughput_bits_per_batch,392944.85091888247
estimators,neural,mean_energy_joules_per_batch,0.00021102699999999664
estimators,neural,mean_avg_power_w,0.00048272550112411273
estimators,neural,mean_runtime_sec,1275.1852583585426
estimators,neural,mean_bit_errors,7909.0
estimators,neural,mean_total_bits,490983796.3636364
estimators,neural,mean_block_errors,30.09090909090909
estimators,neural,mean_total_blocks,159825.45454545456
estimators,neural,mean_num_batches,1248.6363636363637
estimators,ls,mean_ber,0.009865945961014966
estimators,ls,mean_ber_upper_confidence,0.009899017800561585
estimators,ls,mean_latency_ms,436.02478760556056
estimators,ls,mean_throughput_bits_per_batch,389336.5521929935
estimators,ls,mean_energy_joules_per_batch,0.00021102699999999696
estimators,ls,mean_avg_power_w,0.00048401320277967016
estimators,ls,mean_runtime_sec,475.40337755736624
estimators,ls,mean_bit_errors,44651.454545454544
estimators,ls,mean_total_bits,412197608.72727275
estimators,ls,mean_block_errors,123.45454545454545
estimators,ls,mean_total_blocks,134178.9090909091
estimators,ls,mean_num_batches,1048.2727272727273
estimators,neural,runtime_total_sec,14027.037841943971
estimators,ls,runtime_total_sec,5229.437153131028
