stage,method,metric,ebno_db,value
estimators,dft,ber,0.0,0.009417978922526042
estimators,dft,ber,2.0,0.001809064079733456
estimators,dft,ber,4.0,0.00035130292519755746
estimators,dft,ber,6.0,0.00012094638172011548
estimators,dft,ber,8.0,4.762786485753861e-05
estimators,dft,ber,10.0,4.181729422675239e-05
estimators,dft,ber,12.0,3.404362996419271e-05
estimators,dft,ber,14.0,4.766098949251671e-05
estimators,dft,ber,16.0,3.49163279028598e-05
estimators,dft,ber,18.0,2.9988982660941108e-05
estimators,dft,ber,20.0,3.0345795379802987e-05
estimators,dft,ber_upper_confidence,0.0,0.009498436194656942
estimators,dft,ber_upper_confidence,2.0,0.0018282815570562403
estimators,dft,ber_upper_confidence,4.0,0.0003550492396174063
estimators,dft,ber_upper_confidence,6.0,0.00012220111693889553
estimators,dft,ber_upper_confidence,8.0,4.8073973593024884e-05
estimators,dft,ber_upper_confidence,10.0,4.2206196062180944e-05
estimators,dft,ber_upper_confidence,12.0,3.438757574090314e-05
estimators,dft,ber_upper_confidence,14.0,4.819868584383965e-05
estimators,dft,ber_upper_confidence,16.0,3.537780089135553e-05
estimators,dft,ber_upper_confidence,18.0,3.0481091720343335e-05
estimators,dft,ber_upper_confidence,20.0,3.090457789410059e-05
estimators,dft,latency_ms,0.0,481.0269211333302
estimators,dft,latency_ms,2.0,488.87706159803514
estimators,dft,latency_ms,4.0,479.0962228908012
estimators,dft,latency_ms,6.0,480.4359769831476
estimators,dft,latency_ms,8.0,474.5599256612351
estimators,dft,latency_ms,10.0,473.8661221708033
estimators,dft,latency_ms,12.0,473.4505672438115
estimators,dft,latency_ms,14.0,469.72476840218803
estimators,dft,latency_ms,16.0,470.3633288871101
estimators,dft,latency_ms,18.0,472.31473890607765
estimators,dft,latency_ms,20.0,475.22522683847154
estimators,dft,throughput_bits_per_batch,0.0,389512.7
estimators,dft,throughput_bits_per_batch,2.0,392504.64705882355
estimators,dft,throughput_bits_per_batch,4.0,393077.8620689655
estimators,dft,throughput_bits_per_batch,6.0,393168.44194756553
