stage,method,metric,ebno_db,value
resource_managers,static,ber,0.0,0.000107515554194621
resource_managers,static,ber,2.0,4.459381103515625e-06
resource_managers,static,ber,4.0,1.556396484375e-06
resource_managers,static,ber,6.0,0.0
resource_managers,static,ber,8.0,0.0
resource_managers,static,ber,10.0,0.0
resource_managers,static,ber,12.0,0.0
resource_managers,static,ber,14.0,0.0
resource_managers,static,ber,16.0,0.0
resource_managers,static,ber,18.0,0.0
resource_managers,static,ber,20.0,0.0
resource_managers,static,ber_upper_confidence,0.0,0.00010897081715277146
resource_managers,static,ber_upper_confidence,2.0,4.58497371706038e-06
resource_managers,static,ber_upper_confidence,4.0,1.631310774140466e-06
resource_managers,static,ber_upper_confidence,6.0,3.809270570823656e-09
resource_managers,static,ber_upper_confidence,8.0,3.809270570823656e-09
resource_managers,static,ber_upper_confidence,10.0,3.809270570823656e-09
resource_managers,static,ber_upper_confidence,12.0,3.809270570823656e-09
resource_managers,static,ber_upper_confidence,14.0,3.809270570823656e-09
resource_managers,static,ber_upper_confidence,16.0,3.809270570823656e-09
resource_managers,static,ber_upper_confidence,18.0,3.809270570823656e-09
resource_managers,static,ber_upper_confidence,20.0,3.809270570823656e-09
resource_managers,static,latency_ms,0.0,716.4905425734455
resource_managers,static,latency_ms,2.0,635.8060096088822
resource_managers,static,latency_ms,4.0,636.0540525732981
resource_managers,static,latency_ms,6.0,637.1689271223233
resource_managers,static,latency_ms,8.0,635.6592588313284
resource_managers,static,latency_ms,10.0,639.5935530943727
resource_managers,static,latency_ms,12.0,636.4248274568546
resource_managers,static,latency_ms,14.0,637.2361353213712
resource_managers,static,latency_ms,16.0,636.3012232733535
resource_managers,static,latency_ms,18.0,634.6794730903247
resource_managers,static,latency_ms,20.0,634.5912855048181
resource_managers,static,throughput_bits_per_batch,0.0,393173.7231638418
resource_managers,static,throughput_bits_per_batch,2.0,393214.2465
resource_managers,static,throughput_bits_per_batch,4.0,393215.388
resource_managers,static,throughput_bits_per_batch,6.0,393216.0
resource_managers,static,throughput_bits_per_batch,8.0,393216.0
resource_managers,static,throughput_bits_per_batch,10.0,393216.0
resource_managers,static,throughput_bits_per_batch,12.0,393216.0
resource_managers,static,throughput_bits_per_batch,14.0,393216.0
resource_managers,static,throughput_bits_per_batch,16.0,393216.0
resource_managers,static,throughput_bits_per_batch,18.0,393216.0
resource_managers,static,throughput_bits_per_batch,20.0,393216.0
resource_managers,static,energy_joules_per_batch,0.0,0.00018645099999999913
resource_managers,static,energy_joules_per_batch,2.0,0.00018645099999999409
resource_managers,static,energy_joules_per_batch,4.0,0.00018645099999999409
resource_managers,static,energy_joules_per_batch,6.0,0.00018645099999999409
resource_managers,static,energy_joules_per_batch,8.0,0.00018645099999999409
resource_managers,static,energy_joules_per_batch,10.0,0.00018645099999999409
resource_managers,static,energy_joules_per_batch,12.0,0.00018645099999999409
resource_managers,static,energy_joules_per_batch,14.0,0.00018645099999999409
resource_managers,static,energy_joules_per_batch,16.0,0.00018645099999999409
resource_managers,static,energy_joules_per_batch,18.0,0.00018645099999999409
resource_managers,static,energy_joules_per_batch,20.0,0.00018645099999999409
resource_managers,static,avg_power_w,0.0,0.00026022813829519115
resource_managers,static,avg_power_w,2.0,0.00029325139615256227
resource_managers,static,avg_power_w,4.0,0.0002931370364604472
resource_managers,static,avg_power_w,6.0,0.000292624125350983
resource_managers,static,avg_power_w,8.0,0.0002933190973144759
resource_managers,static,avg_power_w,10.0,0.00029151482077631734
resource_managers,static,avg_power_w,12.0,0.0002929662576883587
resource_managers,static,avg_power_w,14.0,0.00029259326278784087
resource_managers,static,avg_power_w,16.0,0.00029302316761364324
resource_managers,static,avg_power_w,18.0,0.00029377190834949096
resource_managers,static,avg_power_w,20.0,0.0002938127331069038
resource_managers,static,runtime_sec,0.0,278.91764017301284
resource_managers,static,runtime_sec,2.0,1405.5557213519592
resource_managers,static,runtime_sec,4.0,1406.6282461589944
resource_managers,static,runtime_sec,6.0,1422.1520403050386
resource_managers,static,runtime_sec,8.0,1419.671687268116
resource_managers,static,runtime_sec,10.0,1428.210977396059
resource_managers,static,runtime_sec,12.0,1394.5723907609997
resource_managers,static,runtime_sec,14.0,1363.6282952520107
resource_managers,static,runtime_sec,16.0,1361.0974385000345
resource_managers,static,runtime_sec,18.0,1356.589968682916
resource_managers,static,runtime_sec,20.0,1357.1644769069576
resource_managers,static,bit_errors,0.0,14966.0
resource_managers,static,bit_errors,2.0,3507.0
resource_managers,static,bit_errors,4.0,1224.0
resource_managers,static,bit_errors,6.0,0.0
resource_managers,static,bit_errors,8.0,0.0
resource_managers,static,bit_errors,10.0,0.0
resource_managers,static,bit_errors,12.0,0.0
resource_managers,static,bit_errors,14.0,0.0
resource_managers,static,bit_errors,16.0,0.0
resource_managers,static,bit_errors,18.0,0.0
resource_managers,static,bit_errors,20.0,0.0
resource_managers,static,total_bits,0.0,139198464.0
resource_managers,static,total_bits,2.0,786432000.0
resource_managers,static,total_bits,4.0,786432000.0
resource_managers,static,total_bits,6.0,786432000.0
resource_managers,static,total_bits,8.0,786432000.0
resource_managers,static,total_bits,10.0,786432000.0
resource_managers,static,total_bits,12.0,786432000.0
resource_managers,static,total_bits,14.0,786432000.0
resource_managers,static,total_bits,16.0,786432000.0
resource_managers,static,total_bits,18.0,786432000.0
resource_managers,static,total_bits,20.0,786432000.0
resource_managers,static,block_errors,0.0,100.0
resource_managers,static,block_errors,2.0,31.0
resource_managers,static,block_errors,4.0,6.0
resource_managers,static,block_errors,6.0,0.0
resource_managers,static,block_errors,8.0,0.0
resource_managers,static,block_errors,10.0,0.0
resource_managers,static,block_errors,12.0,0.0
resource_managers,static,block_errors,14.0,0.0
resource_managers,static,block_errors,16.0,0.0
resource_managers,static,block_errors,18.0,0.0
resource_managers,static,block_errors,20.0,0.0
resource_managers,static,total_blocks,0.0,90624.0
resource_managers,static,total_blocks,2.0,512000.0
resource_managers,static,total_blocks,4.0,512000.0
resource_managers,static,total_blocks,6.0,512000.0
resource_managers,static,total_blocks,8.0,512000.0
resource_managers,static,total_blocks,10.0,512000.0
resource_managers,static,total_blocks,12.0,512000.0
resource_managers,static,total_blocks,14.0,512000.0
resource_managers,static,total_blocks,16.0,512000.0
resource_managers,static,total_blocks,18.0,512000.0
resource_managers,static,total_blocks,20.0,512000.0
resource_managers,static,num_batches,0.0,354.0
resource_managers,static,num_batches,2.0,2000.0
resource_managers,static,num_batches,4.0,2000.0
resource_managers,static,num_batches,6.0,2000.0
resource_managers,static,num_batches,8.0,2000.0
resource_managers,static,num_batches,10.0,2000.0
resource_managers,static,num_batches,12.0,2000.0
resource_managers,static,num_batches,14.0,2000.0
resource_managers,static,num_batches,16.0,2000.0
resource_managers,static,num_batches,18.0,2000.0
resource_managers,static,num_batches,20.0,2000.0
resource_managers,static,stop_reason,0.0,target_block_errors
resource_managers,static,stop_reason,2.0,max_batches
resource_managers,static,stop_reason,4.0,max_batches
resource_managers,static,stop_reason,6.0,max_batches
resource_managers,static,stop_reason,8.0,max_batches
resource_managers,static,stop_reason,10.0,max_batches
resource_managers,static,stop_reason,12.0,max_batches
resource_managers,static,stop_reason,14.0,max_batches
resource_managers,static,stop_reason,16.0,max_batches
resource_managers,static,stop_reason,18.0,max_batches
resource_managers,static,stop_reason,20.0,max_batches
resource_managers,static,point_status,0.0,resolved
resource_managers,static,point_status,2.0,resolved
resource_managers,static,point_status,4.0,resolved
resource_managers,static,point_status,6.0,upper_bound_only
resource_managers,static,point_status,8.0,upper_bound_only
resource_managers,static,point_status,10.0,upper_bound_only
resource_managers,static,point_status,12.0,upper_bound_only
resource_managers,static,point_status,14.0,upper_bound_only
resource_managers,static,point_status,16.0,upper_bound_only
resource_managers,static,point_status,18.0,upper_bound_only
resource_managers,static,point_status,20.0,upper_bound_only
resource_managers,static,runtime_total_sec,,14194.188882756063
resource_managers,round_robin,ber,0.0,0.0
resource_managers,round_robin,ber,2.0,0.0
resource_managers,round_robin,ber,4.0,0.0
resource_managers,round_robin,ber,6.0,0.0
resource_managers,round_robin,ber,8.0,0.0
resource_managers,round_robin,ber,10.0,0.0
resource_managers,round_robin,ber,12.0,0.0
resource_managers,round_robin,ber,14.0,0.0
resource_managers,round_robin,ber,16.0,0.0
resource_managers,round_robin,ber,18.0,0.0
resource_managers,round_robin,ber,20.0,0.0
resource_managers,round_robin,ber_upper_confidence,0.0,7.618541141647313e-09
resource_managers,round_robin,ber_upper_confidence,2.0,7.618541141647313e-09
resource_managers,round_robin,ber_upper_confidence,4.0,7.618541141647313e-09
