stage,method,metric,ebno_db,value
resource_managers,static,ber,0.0,0.004389081682477679
resource_managers,static,ber,2.0,0.000958722047131471
resource_managers,static,ber,4.0,0.000340344311596753
resource_managers,static,ber,6.0,9.437818308084341e-05
resource_managers,static,ber,8.0,4.474131266276042e-05
resource_managers,static,ber,10.0,4.975128173828125e-05
resource_managers,static,ber,12.0,3.6204020182291664e-05
resource_managers,static,ber,14.0,4.092730497376749e-05
resource_managers,static,ber,16.0,2.7029854910714285e-05
resource_managers,static,ber,18.0,2.5002227071544926e-05
resource_managers,static,ber,20.0,2.5343746730780726e-05
resource_managers,static,ber_upper_confidence,0.0,0.004435668371676815
resource_managers,static,ber_upper_confidence,2.0,0.0009687667906711026
resource_managers,static,ber_upper_confidence,4.0,0.0003436071204375681
resource_managers,static,ber_upper_confidence,6.0,9.514369936828436e-05
resource_managers,static,ber_upper_confidence,8.0,4.513535719817232e-05
resource_managers,static,ber_upper_confidence,10.0,5.016670764323393e-05
resource_managers,static,ber_upper_confidence,12.0,3.655865702063765e-05
resource_managers,static,ber_upper_confidence,14.0,4.1362733577131794e-05
resource_managers,static,ber_upper_confidence,16.0,2.7411480135433354e-05
resource_managers,static,ber_upper_confidence,18.0,2.5426471414340015e-05
resource_managers,static,ber_upper_confidence,20.0,2.5848885351785968e-05
resource_managers,static,latency_ms,0.0,837.2680121190054
resource_managers,static,latency_ms,2.0,825.0359738484638
resource_managers,static,latency_ms,4.0,851.4579949324994
resource_managers,static,latency_ms,6.0,801.7749366976874
resource_managers,static,latency_ms,8.0,648.83619036383
resource_managers,static,latency_ms,10.0,649.5369555743375
resource_managers,static,latency_ms,12.0,649.415873842321
resource_managers,static,latency_ms,14.0,711.2188804325809
resource_managers,static,latency_ms,16.0,749.8137125533895
resource_managers,static,latency_ms,18.0,819.7899424135524
resource_managers,static,latency_ms,20.0,829.7227626791054
resource_managers,static,throughput_bits_per_batch,0.0,391490.14285714284
resource_managers,static,throughput_bits_per_batch,2.0,392839.01515151514
resource_managers,static,throughput_bits_per_batch,4.0,393082.1711711712
resource_managers,static,throughput_bits_per_batch,6.0,393178.8889883617
resource_managers,static,throughput_bits_per_batch,8.0,393198.407
resource_managers,static,throughput_bits_per_batch,10.0,393196.437
resource_managers,static,throughput_bits_per_batch,12.0,393201.764
resource_managers,static,throughput_bits_per_batch,14.0,393199.9067288474
resource_managers,static,throughput_bits_per_batch,16.0,393205.3714285714
resource_managers,static,throughput_bits_per_batch,18.0,393206.16872427985
resource_managers,static,throughput_bits_per_batch,20.0,393206.03443328553
resource_managers,static,energy_joules_per_batch,0.0,0.00018645100000000005
resource_managers,static,energy_joules_per_batch,2.0,0.0001864510000000002
resource_managers,static,energy_joules_per_batch,4.0,0.00018645099999999967
resource_managers,static,energy_joules_per_batch,6.0,0.00018645100000000254
resource_managers,static,energy_joules_per_batch,8.0,0.00018645099999999409
resource_managers,static,energy_joules_per_batch,10.0,0.00018645099999999409
resource_managers,static,energy_joules_per_batch,12.0,0.00018645099999999409
resource_managers,static,energy_joules_per_batch,14.0,0.000186451
resource_managers,static,energy_joules_per_batch,16.0,0.00018645100000000276
resource_managers,static,energy_joules_per_batch,18.0,0.00018645100000000233
resource_managers,static,energy_joules_per_batch,20.0,0.0001864510000000016
resource_managers,static,avg_power_w,0.0,0.00022268974486212517
resource_managers,static,avg_power_w,2.0,0.0002259913578438049
resource_managers,static,avg_power_w,4.0,0.00021897850640862306
resource_managers,static,avg_power_w,6.0,0.00023254780296319574
resource_managers,static,avg_power_w,8.0,0.0002873622075480147
resource_managers,static,avg_power_w,10.0,0.00028705218140379594
resource_managers,static,avg_power_w,12.0,0.0002871057014619027
resource_managers,static,avg_power_w,14.0,0.0002621569886988881
resource_managers,static,avg_power_w,16.0,0.00024866309708456656
resource_managers,static,avg_power_w,18.0,0.00022743753046185214
resource_managers,static,avg_power_w,20.0,0.00022471481847498905
resource_managers,static,runtime_sec,0.0,12.907313630998942
resource_managers,static,runtime_sec,2.0,59.946980030000304
resource_managers,static,runtime_sec,4.0,207.1439855449931
resource_managers,static,runtime_sec,6.0,993.5280469180111
resource_managers,static,runtime_sec,8.0,1447.3284984610543
resource_managers,static,runtime_sec,10.0,1449.084842631006
resource_managers,static,runtime_sec,12.0,1423.8349663360132
resource_managers,static,runtime_sec,14.0,1140.4899432689965
resource_managers,static,runtime_sec,16.0,1036.2902544539677
resource_managers,static,runtime_sec,18.0,849.2793336579806
resource_managers,static,runtime_sec,20.0,616.4320156019998
resource_managers,static,bit_errors,0.0,24162.0
resource_managers,static,bit_errors,2.0,24881.0
resource_managers,static,bit_errors,4.0,29710.0
resource_managers,static,bit_errors,6.0,41453.0
resource_managers,static,bit_errors,8.0,35186.0
resource_managers,static,bit_errors,10.0,39126.0
resource_managers,static,bit_errors,12.0,28472.0
resource_managers,static,bit_errors,14.0,24156.0
resource_managers,static,bit_errors,16.0,13764.0
resource_managers,static,bit_errors,18.0,9556.0
resource_managers,static,bit_errors,20.0,6946.0
resource_managers,static,total_bits,0.0,5505024.0
resource_managers,static,total_bits,2.0,25952256.0
resource_managers,static,total_bits,4.0,87293952.0
resource_managers,static,total_bits,6.0,439222272.0
resource_managers,static,total_bits,8.0,786432000.0
resource_managers,static,total_bits,10.0,786432000.0
resource_managers,static,total_bits,12.0,786432000.0
resource_managers,static,total_bits,14.0,590217216.0
resource_managers,static,total_bits,16.0,509214720.0
resource_managers,static,total_bits,18.0,382205952.0
resource_managers,static,total_bits,20.0,274071552.0
resource_managers,static,block_errors,0.0,105.0
resource_managers,static,block_errors,2.0,102.0
resource_managers,static,block_errors,4.0,101.0
resource_managers,static,block_errors,6.0,100.0
resource_managers,static,block_errors,8.0,92.0
resource_managers,static,block_errors,10.0,99.0
resource_managers,static,block_errors,12.0,89.0
resource_managers,static,block_errors,14.0,100.0
resource_managers,static,block_errors,16.0,100.0
resource_managers,static,block_errors,18.0,100.0
resource_managers,static,block_errors,20.0,100.0
resource_managers,static,total_blocks,0.0,3584.0
resource_managers,static,total_blocks,2.0,16896.0
resource_managers,static,total_blocks,4.0,56832.0
resource_managers,static,total_blocks,6.0,285952.0
resource_managers,static,total_blocks,8.0,512000.0
resource_managers,static,total_blocks,10.0,512000.0
resource_managers,static,total_blocks,12.0,512000.0
resource_managers,static,total_blocks,14.0,384256.0
resource_managers,static,total_blocks,16.0,331520.0
resource_managers,static,total_blocks,18.0,248832.0
resource_managers,static,total_blocks,20.0,178432.0
resource_managers,static,num_batches,0.0,14.0
resource_managers,static,num_batches,2.0,66.0
resource_managers,static,num_batches,4.0,222.0
resource_managers,static,num_batches,6.0,1117.0
resource_managers,static,num_batches,8.0,2000.0
resource_managers,static,num_batches,10.0,2000.0
resource_managers,static,num_batches,12.0,2000.0
resource_managers,static,num_batches,14.0,1501.0
resource_managers,static,num_batches,16.0,1295.0
resource_managers,static,num_batches,18.0,972.0
resource_managers,static,num_batches,20.0,697.0
resource_managers,static,stop_reason,0.0,target_block_errors
resource_managers,static,stop_reason,2.0,target_block_errors
resource_managers,static,stop_reason,4.0,target_block_errors
resource_managers,static,stop_reason,6.0,target_block_errors
resource_managers,static,stop_reason,8.0,max_batches
resource_managers,static,stop_reason,10.0,max_batches
resource_managers,static,stop_reason,12.0,max_batches
resource_managers,static,stop_reason,14.0,target_block_errors
resource_managers,static,stop_reason,16.0,target_block_errors
resource_managers,static,stop_reason,18.0,target_block_errors
resource_managers,static,stop_reason,20.0,target_block_errors
resource_managers,static,point_status,0.0,resolved
resource_managers,static,point_status,2.0,resolved
resource_managers,static,point_status,4.0,resolved
resource_managers,static,point_status,6.0,resolved
resource_managers,static,point_status,8.0,resolved
resource_managers,static,point_status,10.0,resolved
resource_managers,static,point_status,12.0,resolved
resource_managers,static,point_status,14.0,resolved
resource_managers,static,point_status,16.0,resolved
resource_managers,static,point_status,18.0,resolved
resource_managers,static,point_status,20.0,resolved
resource_managers,static,runtime_total_sec,,9236.266180535024
resource_managers,round_robin,ber,0.0,0.0010870925518644957
resource_managers,round_robin,ber,2.0,0.00030980843068074005
resource_managers,round_robin,ber,4.0,0.00012197980959927342
resource_managers,round_robin,ber,6.0,0.00016527748387170572
resource_managers,round_robin,ber,8.0,8.98590087890625e-05
resource_managers,round_robin,ber,10.0,3.80401611328125e-05
resource_managers,round_robin,ber,12.0,3.246561686197917e-05
resource_managers,round_robin,ber,14.0,6.559244791666667e-05
resource_managers,round_robin,ber,16.0,3.0352274576822918e-05
resource_managers,round_robin,ber,18.0,1.9549051920572915e-05
resource_managers,round_robin,ber,20.0,1.9805908203125e-05
resource_managers,round_robin,ber_upper_confidence,0.0,0.0010983563844440658
resource_managers,round_robin,ber_upper_confidence,2.0,0.0003126653192905904
resource_managers,round_robin,ber_upper_confidence,4.0,0.0001230776808852271
resource_managers,round_robin,ber_upper_confidence,6.0,0.00016657277428167226
resource_managers,round_robin,ber_upper_confidence,8.0,9.064872824755788e-05
resource_managers,round_robin,ber_upper_confidence,10.0,3.855520569491458e-05
resource_managers,round_robin,ber_upper_confidence,12.0,3.294169416654858e-05
resource_managers,round_robin,ber_upper_confidence,14.0,6.626767232662953e-05
resource_managers,round_robin,ber_upper_confidence,16.0,3.081271127674016e-05
resource_managers,round_robin,ber_upper_confidence,18.0,1.9919258320823547e-05
resource_managers,round_robin,ber_upper_confidence,20.0,2.0178515963593555e-05
resource_managers,round_robin,latency_ms,0.0,887.2181128123553
resource_managers,round_robin,latency_ms,2.0,818.3273457166565
resource_managers,round_robin,latency_ms,4.0,731.7286129859538
resource_managers,round_robin,latency_ms,6.0,738.3949903369906
resource_managers,round_robin,latency_ms,8.0,651.4154250038579
resource_managers,round_robin,latency_ms,10.0,653.2546874783601
resource_managers,round_robin,latency_ms,12.0,651.9630716418225
resource_managers,round_robin,latency_ms,14.0,650.3863893203477
resource_managers,round_robin,latency_ms,16.0,649.8817530363391
resource_managers,round_robin,latency_ms,18.0,650.4312072888516
resource_managers,round_robin,latency_ms,20.0,651.2357884458816
resource_managers,round_robin,throughput_bits_per_batch,0.0,196394.26890756303
resource_managers,round_robin,throughput_bits_per_batch,2.0,196547.08918406072
resource_managers,round_robin,throughput_bits_per_batch,4.0,196584.0177935943
resource_managers,round_robin,throughput_bits_per_batch,6.0,196575.50512445095
resource_managers,round_robin,throughput_bits_per_batch,8.0,196590.333
resource_managers,round_robin,throughput_bits_per_batch,10.0,196600.521
resource_managers,round_robin,throughput_bits_per_batch,12.0,196601.617
resource_managers,round_robin,throughput_bits_per_batch,14.0,196595.104
resource_managers,round_robin,throughput_bits_per_batch,16.0,196602.0325
resource_managers,round_robin,throughput_bits_per_batch,18.0,196604.1565
