stage,method,metric,ebno_db,value
resource_managers,ber_drl,ber,0.0,1.2639363606770833e-06
resource_managers,ber_drl,ber,2.0,0.0
resource_managers,ber_drl,ber,4.0,0.0
resource_managers,ber_drl,ber,6.0,0.0
resource_managers,ber_drl,ber,8.0,0.0
resource_managers,ber_drl,ber,10.0,0.0
resource_managers,ber_drl,ber,12.0,0.0
resource_managers,ber_drl,ber,14.0,0.0
resource_managers,ber_drl,ber,16.0,0.0
resource_managers,ber_drl,ber,18.0,0.0
resource_managers,ber_drl,ber,20.0,0.0
resource_managers,ber_drl,ber_upper_confidence,0.0,1.3606954649884153e-06
resource_managers,ber_drl,ber_upper_confidence,2.0,7.618541141647313e-09
resource_managers,ber_drl,ber_upper_confidence,4.0,7.618541141647313e-09
resource_managers,ber_drl,ber_upper_confidence,6.0,7.618541141647313e-09
resource_managers,ber_drl,ber_upper_confidence,8.0,7.618541141647313e-09
resource_managers,ber_drl,ber_upper_confidence,10.0,7.618541141647313e-09
resource_managers,ber_drl,ber_upper_confidence,12.0,7.618541141647313e-09
resource_managers,ber_drl,ber_upper_confidence,14.0,7.618541141647313e-09
resource_managers,ber_drl,ber_upper_confidence,16.0,7.618541141647313e-09
resource_managers,ber_drl,ber_upper_confidence,18.0,7.618541141647313e-09
resource_managers,ber_drl,ber_upper_confidence,20.0,7.618541141647313e-09
resource_managers,ber_drl,latency_ms,0.0,507.77924861781287
resource_managers,ber_drl,latency_ms,2.0,507.17548396328914
resource_managers,ber_drl,latency_ms,4.0,507.02560554726426
resource_managers,ber_drl,latency_ms,6.0,506.22736612585015
resource_managers,ber_drl,latency_ms,8.0,506.4078264217756
resource_managers,ber_drl,latency_ms,10.0,506.61065687024865
resource_managers,ber_drl,latency_ms,12.0,506.30955189073455
resource_managers,ber_drl,latency_ms,14.0,506.3378789618098
resource_managers,ber_drl,latency_ms,16.0,507.9683050208602
resource_managers,ber_drl,latency_ms,18.0,507.75978028435986
resource_managers,ber_drl,latency_ms,20.0,507.3293365023235
resource_managers,ber_drl,throughput_bits_per_batch,0.0,196607.7515
resource_managers,ber_drl,throughput_bits_per_batch,2.0,196608.0
resource_managers,ber_drl,throughput_bits_per_batch,4.0,196608.0
resource_managers,ber_drl,throughput_bits_per_batch,6.0,196608.0
resource_managers,ber_drl,throughput_bits_per_batch,8.0,196608.0
resource_managers,ber_drl,throughput_bits_per_batch,10.0,196608.0
resource_managers,ber_drl,throughput_bits_per_batch,12.0,196608.0
resource_managers,ber_drl,throughput_bits_per_batch,14.0,196608.0
resource_managers,ber_drl,throughput_bits_per_batch,16.0,196608.0
resource_managers,ber_drl,throughput_bits_per_batch,18.0,196608.0
resource_managers,ber_drl,throughput_bits_per_batch,20.0,196608.0
resource_managers,ber_drl,energy_joules_per_batch,0.0,0.00018645099999999409
resource_managers,ber_drl,energy_joules_per_batch,2.0,0.00018645099999999409
resource_managers,ber_drl,energy_joules_per_batch,4.0,0.00018645099999999409
resource_managers,ber_drl,energy_joules_per_batch,6.0,0.00018645099999999409
resource_managers,ber_drl,energy_joules_per_batch,8.0,0.00018645099999999409
resource_managers,ber_drl,energy_joules_per_batch,10.0,0.00018645099999999409
resource_managers,ber_drl,energy_joules_per_batch,12.0,0.00018645099999999409
resource_managers,ber_drl,energy_joules_per_batch,14.0,0.00018645099999999409
resource_managers,ber_drl,energy_joules_per_batch,16.0,0.00018645099999999409
resource_managers,ber_drl,energy_joules_per_batch,18.0,0.00018645099999999409
resource_managers,ber_drl,energy_joules_per_batch,20.0,0.00018645099999999409
resource_managers,ber_drl,avg_power_w,0.0,0.00036718908956503857
resource_managers,ber_drl,avg_power_w,2.0,0.0003676262080788786
resource_managers,ber_drl,avg_power_w,4.0,0.00036773487958018596
resource_managers,ber_drl,avg_power_w,6.0,0.0003683147385470299
