stage,method,metric,value
resource_managers,__stage__,stage_dir,results/20260428_144330_ber_drl_rayleigh_qpsk_s/resource_managers
resource_managers,__stage__,stage_json,results/20260428_144330_ber_drl_rayleigh_qpsk_s/resource_managers/stage_results_v2.json
resource_managers,__stage__,stage_csv,results/20260428_144330_ber_drl_rayleigh_qpsk_s/resource_managers/stage_results_v2.csv
resource_managers,ber_drl,mean_ber,1.1490330551609847e-07
resource_managers,ber_drl,mean_ber_upper_confidence,1.3062553421862624e-07
resource_managers,ber_drl,mean_latency_ms,506.9937309278481
resource_managers,ber_drl,mean_throughput_bits_per_batch,196607.97740909093
resource_managers,ber_drl,mean_energy_joules_per_batch,0.00018645099999999409
resource_managers,ber_drl,mean_avg_power_w,0.00036775855501967186
resource_managers,ber_drl,mean_runtime_sec,1144.450168470831
resource_managers,ber_drl,mean_bit_errors,45.18181818181818
resource_managers,ber_drl,mean_total_bits,393216000.0
resource_managers,ber_drl,mean_block_errors,0.18181818181818182
resource_managers,ber_drl,mean_total_blocks,256000.0
resource_managers,ber_drl,mean_num_batches,2000.0
resource_managers,ber_drl,runtime_total_sec,12588.95185317914
