stage,method,metric,ebno_db,value
resource_managers,static,ber,0.0,9.236653645833334e-05
resource_managers,static,ber,2.0,0.0
resource_managers,static,ber,4.0,0.0
resource_managers,static,ber,6.0,0.0
resource_managers,static,ber,8.0,0.0
resource_managers,static,ber,10.0,0.0
resource_managers,static,ber,12.0,0.0
resource_managers,static,ber,14.0,0.0
resource_managers,static,ber,16.0,0.0
resource_managers,static,ber,18.0,0.0
resource_managers,static,ber,20.0,0.0
resource_managers,static,ber_upper_confidence,0.0,0.00010301532506104458
resource_managers,static,ber_upper_confidence,2.0,1.21896658266357e-06
resource_managers,static,ber_upper_confidence,4.0,1.21896658266357e-06
resource_managers,static,ber_upper_confidence,6.0,1.21896658266357e-06
resource_managers,static,ber_upper_confidence,8.0,1.21896658266357e-06
resource_managers,static,ber_upper_confidence,10.0,1.21896658266357e-06
resource_managers,static,ber_upper_confidence,12.0,1.21896658266357e-06
resource_managers,static,ber_upper_confidence,14.0,1.21896658266357e-06
resource_managers,static,ber_upper_confidence,16.0,1.21896658266357e-06
resource_managers,static,ber_upper_confidence,18.0,1.21896658266357e-06
resource_managers,static,ber_upper_confidence,20.0,1.21896658266357e-06
resource_managers,static,latency_ms,0.0,281.5477606332517
resource_managers,static,latency_ms,2.0,291.767441883034
resource_managers,static,latency_ms,4.0,285.21476248311427
resource_managers,static,latency_ms,6.0,278.1121752332676
resource_managers,static,latency_ms,8.0,274.97467703329147
resource_managers,static,latency_ms,10.0,277.20145833314217
resource_managers,static,latency_ms,12.0,279.7616730832071
resource_managers,static,latency_ms,14.0,278.0788063835227
resource_managers,static,latency_ms,16.0,278.5906354834462
resource_managers,static,latency_ms,18.0,274.6647791836533
resource_managers,static,latency_ms,20.0,277.2937312834567
resource_managers,static,throughput_bits_per_batch,0.0,122868.65
resource_managers,static,throughput_bits_per_batch,2.0,122880.0
resource_managers,static,throughput_bits_per_batch,4.0,122880.0
resource_managers,static,throughput_bits_per_batch,6.0,122880.0
resource_managers,static,throughput_bits_per_batch,8.0,122880.0
resource_managers,static,throughput_bits_per_batch,10.0,122880.0
resource_managers,static,throughput_bits_per_batch,12.0,122880.0
resource_managers,static,throughput_bits_per_batch,14.0,122880.0
resource_managers,static,throughput_bits_per_batch,16.0,122880.0
resource_managers,static,throughput_bits_per_batch,18.0,122880.0
resource_managers,static,throughput_bits_per_batch,20.0,122880.0
resource_managers,static,energy_joules_per_batch,0.0,0.00018645100000000013
resource_managers,static,energy_joules_per_batch,2.0,0.00018645100000000008
resource_managers,static,energy_joules_per_batch,4.0,0.0001864510000000001
resource_managers,static,energy_joules_per_batch,6.0,0.00018645100000000008
resource_managers,static,energy_joules_per_batch,8.0,0.00018645100000000005
resource_managers,static,energy_joules_per_batch,10.0,0.00018645100000000002
resource_managers,static,energy_joules_per_batch,12.0,0.00018645100000000005
resource_managers,static,energy_joules_per_batch,14.0,0.00018645100000000002
resource_managers,static,energy_joules_per_batch,16.0,0.00018645100000000005
resource_managers,static,energy_joules_per_batch,18.0,0.00018645100000000008
resource_managers,static,energy_joules_per_batch,20.0,0.00018645100000000005
resource_managers,static,avg_power_w,0.0,0.0006622357769091758
resource_managers,static,avg_power_w,2.0,0.0006390397735835995
resource_managers,static,avg_power_w,4.0,0.0006537214216288635
resource_managers,static,avg_power_w,6.0,0.0006704165319034078
resource_managers,static,avg_power_w,8.0,0.0006780660750714373
resource_managers,static,avg_power_w,10.0,0.0006726191165124471
resource_managers,static,avg_power_w,12.0,0.0006664637008534958
resource_managers,static,avg_power_w,14.0,0.0006704969804237767
resource_managers,static,avg_power_w,16.0,0.0006692651376326643
resource_managers,static,avg_power_w,18.0,0.0006788311211730955
resource_managers,static,avg_power_w,20.0,0.0006723952941056756
resource_managers,static,runtime_sec,0.0,6.08314125600009
resource_managers,static,runtime_sec,2.0,6.2786526710006
resource_managers,static,runtime_sec,4.0,6.159629081997991
