result_type,channel,method,source_type,ebno_db,ber,ber_upper_confidence,throughput_bits_per_batch,fit_basis,anchor_stage_json,notes
synthetic_simulation_anchored_not_real_measurement,Rayleigh,static,baseline,0.000,1.24702138e-04,1.37184541e-04,122761.396117,single-positive-ber-plus-channel-slope,results/20260523_173452_static_round_robin_max_throughput_pf_wmmse_queue_aware_drl_ber_drl_rayleigh_rician_umi_qpsk_s/rayleigh/resource_managers/stage_results_v2.json,Smoothed synthetic projection learned from existing stage outputs; not a real simulation measurement.
synthetic_simulation_anchored_not_real_measurement,Rayleigh,static,baseline,2.000,4.81740829e-05,5.30036809e-05,122838.562581,single-positive-ber-plus-channel-slope,results/20260523_173452_static_round_robin_max_throughput_pf_wmmse_queue_aware_drl_ber_drl_rayleigh_rician_umi_qpsk_s/rayleigh/resource_managers/stage_results_v2.json,Smoothed synthetic projection learned from existing stage outputs; not a real simulation measurement.
synthetic_simulation_anchored_not_real_measurement,Rayleigh,static,baseline,4.000,1.86130391e-05,2.04865327e-05,122863.989808,single-positive-ber-plus-channel-slope,results/20260523_173452_static_round_robin_max_throughput_pf_wmmse_queue_aware_drl_ber_drl_rayleigh_rician_umi_qpsk_s/rayleigh/resource_managers/stage_results_v2.json,Smoothed synthetic projection learned from existing stage outputs; not a real simulation measurement.
synthetic_simulation_anchored_not_real_measurement,Rayleigh,static,baseline,6.000,7.19428151e-06,7.92589933e-06,122873.811767,single-positive-ber-plus-channel-slope,results/20260523_173452_static_round_robin_max_throughput_pf_wmmse_queue_aware_drl_ber_drl_rayleigh_rician_umi_qpsk_s/rayleigh/resource_managers/stage_results_v2.json,Smoothed synthetic projection learned from existing stage outputs; not a real simulation measurement.
synthetic_simulation_anchored_not_real_measurement,Rayleigh,static,baseline,8.000,2.78347565e-06,3.07401289e-06,122877.605766,single-positive-ber-plus-channel-slope,results/20260523_173452_static_round_robin_max_throughput_pf_wmmse_queue_aware_drl_ber_drl_rayleigh_rician_umi_qpsk_s/rayleigh/resource_managers/stage_results_v2.json,Smoothed synthetic projection learned from existing stage outputs; not a real simulation measurement.
synthetic_simulation_anchored_not_real_measurement,Rayleigh,static,baseline,10.000,1.07968186e-06,1.19983971e-06,122879.071301,single-positive-ber-plus-channel-slope,results/20260523_173452_static_round_robin_max_throughput_pf_wmmse_queue_aware_drl_ber_drl_rayleigh_rician_umi_qpsk_s/rayleigh/resource_managers/stage_results_v2.json,Smoothed synthetic projection learned from existing stage outputs; not a real simulation measurement.
synthetic_simulation_anchored_not_real_measurement,Rayleigh,static,baseline,12.000,4.21545146e-07,4.75889326e-07,122879.637404,single-positive-ber-plus-channel-slope,results/20260523_173452_static_round_robin_max_throughput_pf_wmmse_queue_aware_drl_ber_drl_rayleigh_rician_umi_qpsk_s/rayleigh/resource_managers/stage_results_v2.json,Smoothed synthetic projection learned from existing stage outputs; not a real simulation measurement.
synthetic_simulation_anchored_not_real_measurement,Rayleigh,static,baseline,14.000,1.67321929e-07,1.96243788e-07,122879.856076,single-positive-ber-plus-channel-slope,results/20260523_173452_static_round_robin_max_throughput_pf_wmmse_queue_aware_drl_ber_drl_rayleigh_rician_umi_qpsk_s/rayleigh/resource_managers/stage_results_v2.json,Smoothed synthetic projection learned from existing stage outputs; not a real simulation measurement.
synthetic_simulation_anchored_not_real_measurement,Rayleigh,static,baseline,16.000,6.91212938e-08,8.82230891e-08,122879.940545,single-positive-ber-plus-channel-slope,results/20260523_173452_static_round_robin_max_throughput_pf_wmmse_queue_aware_drl_ber_drl_rayleigh_rician_umi_qpsk_s/rayleigh/resource_managers/stage_results_v2.json,Smoothed synthetic projection learned from existing stage outputs; not a real simulation measurement.
synthetic_simulation_anchored_not_real_measurement,Rayleigh,static,baseline,18.000,3.11886261e-08,4.64971546e-08,122879.973173,single-positive-ber-plus-channel-slope,results/20260523_173452_static_round_robin_max_throughput_pf_wmmse_queue_aware_drl_ber_drl_rayleigh_rician_umi_qpsk_s/rayleigh/resource_managers/stage_results_v2.json,Smoothed synthetic projection learned from existing stage outputs; not a real simulation measurement.
synthetic_simulation_anchored_not_real_measurement,Rayleigh,static,baseline,20.000,1.65361010e-08,3.03793769e-08,122879.985776,single-positive-ber-plus-channel-slope,results/20260523_173452_static_round_robin_max_throughput_pf_wmmse_queue_aware_drl_ber_drl_rayleigh_rician_umi_qpsk_s/rayleigh/resource_managers/stage_results_v2.json,Smoothed synthetic projection learned from existing stage outputs; not a real simulation measurement.
synthetic_simulation_anchored_not_real_measurement,Rayleigh,round_robin,baseline,0.000,5.33563024e-05,5.87163120e-05,61417.052521,zero-error-censored-upper-bound-fit,results/20260523_173452_static_round_robin_max_throughput_pf_wmmse_queue_aware_drl_ber_drl_rayleigh_rician_umi_qpsk_s/rayleigh/resource_managers/stage_results_v2.json,Smoothed synthetic projection learned from existing stage outputs; not a real simulation measurement.
synthetic_simulation_anchored_not_real_measurement,Rayleigh,round_robin,baseline,2.000,1.57942268e-05,1.73980288e-05,61433.207219,zero-error-censored-upper-bound-fit,results/20260523_173452_static_round_robin_max_throughput_pf_wmmse_queue_aware_drl_ber_drl_rayleigh_rician_umi_qpsk_s/rayleigh/resource_managers/stage_results_v2.json,Smoothed synthetic projection learned from existing stage outputs; not a real simulation measurement.
synthetic_simulation_anchored_not_real_measurement,Rayleigh,round_robin,baseline,4.000,4.68256786e-06,5.17520398e-06,61437.986121,zero-error-censored-upper-bound-fit,results/20260523_173452_static_round_robin_max_throughput_pf_wmmse_queue_aware_drl_ber_drl_rayleigh_rician_umi_qpsk_s/rayleigh/resource_managers/stage_results_v2.json,Smoothed synthetic projection learned from existing stage outputs; not a real simulation measurement.
synthetic_simulation_anchored_not_real_measurement,Rayleigh,round_robin,baseline,6.000,1.39550337e-06,1.55943304e-06,61439.399822,zero-error-censored-upper-bound-fit,results/20260523_173452_static_round_robin_max_throughput_pf_wmmse_queue_aware_drl_ber_drl_rayleigh_rician_umi_qpsk_s/rayleigh/resource_managers/stage_results_v2.json,Smoothed synthetic projection learned from existing stage outputs; not a real simulation measurement.
