stage,method,metric,ebno_db,value
resource_managers,static,ber,0.0,0.005171305338541667
resource_managers,static,ber,2.0,0.0011271158854166666
resource_managers,static,ber,4.0,0.0001806640625
resource_managers,static,ber,6.0,0.0
resource_managers,static,ber,8.0,0.0
resource_managers,static,ber,10.0,0.0
resource_managers,static,ber,12.0,0.0
resource_managers,static,ber,14.0,0.0
resource_managers,static,ber,16.0,0.0
resource_managers,static,ber,18.0,0.0
resource_managers,static,ber,20.0,0.0
resource_managers,static,ber_upper_confidence,0.0,0.005247108845686657
resource_managers,static,ber_upper_confidence,2.0,0.0011628748959481635
resource_managers,static,ber_upper_confidence,4.0,0.00019532662800049165
resource_managers,static,ber_upper_confidence,6.0,1.21896658266357e-06
resource_managers,static,ber_upper_confidence,8.0,1.21896658266357e-06
resource_managers,static,ber_upper_confidence,10.0,1.21896658266357e-06
resource_managers,static,ber_upper_confidence,12.0,1.21896658266357e-06
resource_managers,static,ber_upper_confidence,14.0,1.21896658266357e-06
resource_managers,static,ber_upper_confidence,16.0,1.21896658266357e-06
resource_managers,static,ber_upper_confidence,18.0,1.21896658266357e-06
resource_managers,static,ber_upper_confidence,20.0,1.21896658266357e-06
resource_managers,static,latency_ms,0.0,276.7303230334203
resource_managers,static,latency_ms,2.0,287.4801086335121
resource_managers,static,latency_ms,4.0,276.2577166832254
resource_managers,static,latency_ms,6.0,275.4153188333969
resource_managers,static,latency_ms,8.0,279.5306147835201
resource_managers,static,latency_ms,10.0,276.069048333333
resource_managers,static,latency_ms,12.0,273.69709193340367
resource_managers,static,latency_ms,14.0,274.0652669334433
resource_managers,static,latency_ms,16.0,280.1849102835642
resource_managers,static,latency_ms,18.0,277.1569751832014
resource_managers,static,latency_ms,20.0,275.8322229834941
resource_managers,static,throughput_bits_per_batch,0.0,122244.55
resource_managers,static,throughput_bits_per_batch,2.0,122741.5
resource_managers,static,throughput_bits_per_batch,4.0,122857.8
resource_managers,static,throughput_bits_per_batch,6.0,122880.0
resource_managers,static,throughput_bits_per_batch,8.0,122880.0
resource_managers,static,throughput_bits_per_batch,10.0,122880.0
resource_managers,static,throughput_bits_per_batch,12.0,122880.0
resource_managers,static,throughput_bits_per_batch,14.0,122880.0
resource_managers,static,throughput_bits_per_batch,16.0,122880.0
resource_managers,static,throughput_bits_per_batch,18.0,122880.0
resource_managers,static,throughput_bits_per_batch,20.0,122880.0
resource_managers,static,energy_joules_per_batch,0.0,0.00018645100000000008
resource_managers,static,energy_joules_per_batch,2.0,0.0001864510000000001
resource_managers,static,energy_joules_per_batch,4.0,0.00018645100000000005
resource_managers,static,energy_joules_per_batch,6.0,0.00018645100000000008
resource_managers,static,energy_joules_per_batch,8.0,0.00018645100000000005
resource_managers,static,energy_joules_per_batch,10.0,0.00018645100000000008
resource_managers,static,energy_joules_per_batch,12.0,0.00018645100000000008
resource_managers,static,energy_joules_per_batch,14.0,0.00018645100000000002
resource_managers,static,energy_joules_per_batch,16.0,0.00018645100000000008
resource_managers,static,energy_joules_per_batch,18.0,0.00018645100000000008
resource_managers,static,energy_joules_per_batch,20.0,0.00018645100000000005
resource_managers,static,avg_power_w,0.0,0.0006737642552366143
resource_managers,static,avg_power_w,2.0,0.0006485700902447244
resource_managers,static,avg_power_w,4.0,0.0006749168936837213
resource_managers,static,avg_power_w,6.0,0.0006769812252628812
resource_managers,static,avg_power_w,8.0,0.0006670145956799591
resource_managers,static,avg_power_w,10.0,0.0006753781386418743
resource_managers,static,avg_power_w,12.0,0.0006812312059397678
resource_managers,static,avg_power_w,14.0,0.000680316050575207
resource_managers,static,avg_power_w,16.0,0.0006654569648711642
resource_managers,static,avg_power_w,18.0,0.0006727270705590417
resource_managers,static,avg_power_w,20.0,0.0006759580080357665
resource_managers,static,runtime_sec,0.0,5.982578834004016
resource_managers,static,runtime_sec,2.0,6.18909554500533
resource_managers,static,runtime_sec,4.0,5.985788544994648
resource_managers,static,runtime_sec,6.0,5.99624729500465
resource_managers,static,runtime_sec,8.0,6.091062045996296
resource_managers,static,runtime_sec,10.0,6.023638709993975
resource_managers,static,runtime_sec,12.0,5.866802878001181
resource_managers,static,runtime_sec,14.0,5.797038544000316
resource_managers,static,runtime_sec,16.0,5.928142336995734
resource_managers,static,runtime_sec,18.0,5.862923796003088
resource_managers,static,runtime_sec,20.0,5.830801339006939
resource_managers,static,bit_errors,0.0,12709.0
resource_managers,static,bit_errors,2.0,2770.0
resource_managers,static,bit_errors,4.0,444.0
resource_managers,static,bit_errors,6.0,0.0
resource_managers,static,bit_errors,8.0,0.0
resource_managers,static,bit_errors,10.0,0.0
resource_managers,static,bit_errors,12.0,0.0
resource_managers,static,bit_errors,14.0,0.0
resource_managers,static,bit_errors,16.0,0.0
resource_managers,static,bit_errors,18.0,0.0
resource_managers,static,bit_errors,20.0,0.0
resource_managers,static,total_bits,0.0,2457600.0
resource_managers,static,total_bits,2.0,2457600.0
resource_managers,static,total_bits,4.0,2457600.0
resource_managers,static,total_bits,6.0,2457600.0
resource_managers,static,total_bits,8.0,2457600.0
resource_managers,static,total_bits,10.0,2457600.0
resource_managers,static,total_bits,12.0,2457600.0
resource_managers,static,total_bits,14.0,2457600.0
