stage,method,metric,value
rayleigh/resource_managers,__stage__,stage_dir,results/20260523_173452_static_round_robin_max_throughput_pf_wmmse_queue_aware_drl_ber_drl_rayleigh_rician_umi_qpsk_s/rayleigh/resource_managers
rayleigh/resource_managers,__stage__,stage_json,results/20260523_173452_static_round_robin_max_throughput_pf_wmmse_queue_aware_drl_ber_drl_rayleigh_rician_umi_qpsk_s/rayleigh/resource_managers/stage_results_v2.json
rayleigh/resource_managers,__stage__,stage_csv,results/20260523_173452_static_round_robin_max_throughput_pf_wmmse_queue_aware_drl_ber_drl_rayleigh_rician_umi_qpsk_s/rayleigh/resource_managers/stage_results_v2.csv
rayleigh/resource_managers,static,mean_ber,8.396957859848485e-06
rayleigh/resource_managers,static,mean_ber_upper_confidence,1.0473180989789119e-05
rayleigh/resource_managers,static,mean_latency_ms,279.74617281967153
rayleigh/resource_managers,static,mean_throughput_bits_per_batch,122878.96818181817
rayleigh/resource_managers,static,mean_energy_joules_per_batch,0.00018645100000000005
rayleigh/resource_managers,static,mean_avg_power_w,0.0006666864481634217
rayleigh/resource_managers,static,mean_runtime_sec,6.005121636727298
rayleigh/resource_managers,static,mean_bit_errors,20.636363636363637
rayleigh/resource_managers,static,mean_total_bits,2457600.0
rayleigh/resource_managers,static,mean_block_errors,0.18181818181818182
rayleigh/resource_managers,static,mean_total_blocks,1600.0
rayleigh/resource_managers,static,mean_num_batches,20.0
rayleigh/resource_managers,round_robin,mean_ber,0.0
rayleigh/resource_managers,round_robin,mean_ber_upper_confidence,2.4379331653271397e-06
rayleigh/resource_managers,round_robin,mean_latency_ms,278.06556433783504
rayleigh/resource_managers,round_robin,mean_throughput_bits_per_batch,61440.0
rayleigh/resource_managers,round_robin,mean_energy_joules_per_batch,0.00018645100000000005
rayleigh/resource_managers,round_robin,mean_avg_power_w,0.0006705537901939546
rayleigh/resource_managers,round_robin,mean_runtime_sec,5.980992040363575
rayleigh/resource_managers,round_robin,mean_bit_errors,0.0
rayleigh/resource_managers,round_robin,mean_total_bits,1228800.0
rayleigh/resource_managers,round_robin,mean_block_errors,0.0
rayleigh/resource_managers,round_robin,mean_total_blocks,800.0
rayleigh/resource_managers,round_robin,mean_num_batches,20.0
rayleigh/resource_managers,max_throughput,mean_ber,0.0
rayleigh/resource_managers,max_throughput,mean_ber_upper_confidence,2.4379331653271397e-06
rayleigh/resource_managers,max_throughput,mean_latency_ms,278.2490365014627
rayleigh/resource_managers,max_throughput,mean_throughput_bits_per_batch,61440.0
rayleigh/resource_managers,max_throughput,mean_energy_joules_per_batch,0.00018645100000000008
rayleigh/resource_managers,max_throughput,mean_avg_power_w,0.000670138621090717
rayleigh/resource_managers,max_throughput,mean_runtime_sec,6.010019771819564
rayleigh/resource_managers,max_throughput,mean_bit_errors,0.0
rayleigh/resource_managers,max_throughput,mean_total_bits,1228800.0
rayleigh/resource_managers,max_throughput,mean_block_errors,0.0
rayleigh/resource_managers,max_throughput,mean_total_blocks,800.0
rayleigh/resource_managers,max_throughput,mean_num_batches,20.0
rayleigh/resource_managers,pf,mean_ber,0.0
rayleigh/resource_managers,pf,mean_ber_upper_confidence,2.4379331653271397e-06
rayleigh/resource_managers,pf,mean_latency_ms,277.3478828742634
rayleigh/resource_managers,pf,mean_throughput_bits_per_batch,61440.0
rayleigh/resource_managers,pf,mean_energy_joules_per_batch,0.00018645100000000005
rayleigh/resource_managers,pf,mean_avg_power_w,0.0006722890202202125
rayleigh/resource_managers,pf,mean_runtime_sec,5.989176428001553
rayleigh/resource_managers,pf,mean_bit_errors,0.0
rayleigh/resource_managers,pf,mean_total_bits,1228800.0
rayleigh/resource_managers,pf,mean_block_errors,0.0
rayleigh/resource_managers,pf,mean_total_blocks,800.0
rayleigh/resource_managers,pf,mean_num_batches,20.0
rayleigh/resource_managers,wmmse,mean_ber,0.0
rayleigh/resource_managers,wmmse,mean_ber_upper_confidence,2.4379331653271397e-06
rayleigh/resource_managers,wmmse,mean_latency_ms,279.7679933196374
rayleigh/resource_managers,wmmse,mean_throughput_bits_per_batch,61440.0
rayleigh/resource_managers,wmmse,mean_energy_joules_per_batch,0.00018645100000000008
rayleigh/resource_managers,wmmse,mean_avg_power_w,0.0006664661410764846
rayleigh/resource_managers,wmmse,mean_runtime_sec,6.072981943000162
rayleigh/resource_managers,wmmse,mean_bit_errors,0.0
rayleigh/resource_managers,wmmse,mean_total_bits,1228800.0
rayleigh/resource_managers,wmmse,mean_block_errors,0.0
rayleigh/resource_managers,wmmse,mean_total_blocks,800.0
rayleigh/resource_managers,wmmse,mean_num_batches,20.0
rayleigh/resource_managers,queue_aware,mean_ber,0.0
rayleigh/resource_managers,queue_aware,mean_ber_upper_confidence,2.4379331653271397e-06
rayleigh/resource_managers,queue_aware,mean_latency_ms,277.2060603650306
