stage,method,metric,ebno_db,value
resource_managers,static,ber,0.0,0.00264892578125
resource_managers,static,ber,2.0,0.000513916015625
resource_managers,static,ber,4.0,9.440104166666666e-05
resource_managers,static,ber,6.0,0.0
resource_managers,static,ber,8.0,0.0
resource_managers,static,ber,10.0,0.0
resource_managers,static,ber,12.0,0.0
resource_managers,static,ber,14.0,0.0
resource_managers,static,ber,16.0,4.069010416666667e-07
resource_managers,static,ber,18.0,0.0
resource_managers,static,ber,20.0,0.0
resource_managers,static,ber_upper_confidence,0.0,0.002703406078503033
resource_managers,static,ber_upper_confidence,2.0,0.0005382519228586651
resource_managers,static,ber_upper_confidence,4.0,0.00010516010141583237
resource_managers,static,ber_upper_confidence,6.0,1.21896658266357e-06
resource_managers,static,ber_upper_confidence,8.0,1.21896658266357e-06
resource_managers,static,ber_upper_confidence,10.0,1.21896658266357e-06
resource_managers,static,ber_upper_confidence,12.0,1.21896658266357e-06
resource_managers,static,ber_upper_confidence,14.0,1.21896658266357e-06
resource_managers,static,ber_upper_confidence,16.0,1.8239119629804665e-06
resource_managers,static,ber_upper_confidence,18.0,1.21896658266357e-06
resource_managers,static,ber_upper_confidence,20.0,1.21896658266357e-06
resource_managers,static,latency_ms,0.0,274.1154062832304
resource_managers,static,latency_ms,2.0,278.8666999831132
resource_managers,static,latency_ms,4.0,274.1725209833514
resource_managers,static,latency_ms,6.0,272.26468143303845
resource_managers,static,latency_ms,8.0,283.55206688352536
resource_managers,static,latency_ms,10.0,271.15840838319326
resource_managers,static,latency_ms,12.0,273.8000731332743
resource_managers,static,latency_ms,14.0,284.37242933382936
resource_managers,static,latency_ms,16.0,273.3769604833962
resource_managers,static,latency_ms,18.0,272.42698133327775
resource_managers,static,latency_ms,20.0,278.8190145831815
resource_managers,static,throughput_bits_per_batch,0.0,122554.5
resource_managers,static,throughput_bits_per_batch,2.0,122816.85
resource_managers,static,throughput_bits_per_batch,4.0,122868.4
resource_managers,static,throughput_bits_per_batch,6.0,122880.0
resource_managers,static,throughput_bits_per_batch,8.0,122880.0
resource_managers,static,throughput_bits_per_batch,10.0,122880.0
resource_managers,static,throughput_bits_per_batch,12.0,122880.0
resource_managers,static,throughput_bits_per_batch,14.0,122880.0
resource_managers,static,throughput_bits_per_batch,16.0,122879.95
resource_managers,static,throughput_bits_per_batch,18.0,122880.0
resource_managers,static,throughput_bits_per_batch,20.0,122880.0
resource_managers,static,energy_joules_per_batch,0.0,0.00018645100000000008
resource_managers,static,energy_joules_per_batch,2.0,0.00018645100000000008
resource_managers,static,energy_joules_per_batch,4.0,0.00018645100000000002
resource_managers,static,energy_joules_per_batch,6.0,0.00018645100000000008
resource_managers,static,energy_joules_per_batch,8.0,0.00018645100000000008
resource_managers,static,energy_joules_per_batch,10.0,0.00018645100000000005
resource_managers,static,energy_joules_per_batch,12.0,0.00018645100000000008
resource_managers,static,energy_joules_per_batch,14.0,0.00018645100000000002
resource_managers,static,energy_joules_per_batch,16.0,0.00018645100000000008
resource_managers,static,energy_joules_per_batch,18.0,0.00018645100000000005
resource_managers,static,energy_joules_per_batch,20.0,0.00018645100000000008
resource_managers,static,avg_power_w,0.0,0.000680191611730678
resource_managers,static,avg_power_w,2.0,0.000668602597625642
resource_managers,static,avg_power_w,4.0,0.0006800499164951761
resource_managers,static,avg_power_w,6.0,0.0006848152283969905
resource_managers,static,avg_power_w,8.0,0.0006575547201939055
resource_managers,static,avg_power_w,10.0,0.0006876091400290005
resource_managers,static,avg_power_w,12.0,0.0006809749824619062
resource_managers,static,avg_power_w,14.0,0.000655657795085058
resource_managers,static,avg_power_w,16.0,0.0006820289451982708
resource_managers,static,avg_power_w,18.0,0.0006844072458884032
resource_managers,static,avg_power_w,20.0,0.0006687169462912479
resource_managers,static,runtime_sec,0.0,5.921330294999279
resource_managers,static,runtime_sec,2.0,6.042817922007089
resource_managers,static,runtime_sec,4.0,5.923174084000493
resource_managers,static,runtime_sec,6.0,5.936765797996486
resource_managers,static,runtime_sec,8.0,6.168526499996005
resource_managers,static,runtime_sec,10.0,5.902343088002453
resource_managers,static,runtime_sec,12.0,5.862917503993231
resource_managers,static,runtime_sec,14.0,6.0120772939990275
resource_managers,static,runtime_sec,16.0,5.780278460002592
resource_managers,static,runtime_sec,18.0,5.7593780439983675
resource_managers,static,runtime_sec,20.0,5.896488047003004
resource_managers,static,bit_errors,0.0,6510.0
resource_managers,static,bit_errors,2.0,1263.0
resource_managers,static,bit_errors,4.0,232.0
resource_managers,static,bit_errors,6.0,0.0
resource_managers,static,bit_errors,8.0,0.0
resource_managers,static,bit_errors,10.0,0.0
resource_managers,static,bit_errors,12.0,0.0
resource_managers,static,bit_errors,14.0,0.0
resource_managers,static,bit_errors,16.0,1.0
resource_managers,static,bit_errors,18.0,0.0
resource_managers,static,bit_errors,20.0,0.0
resource_managers,static,total_bits,0.0,2457600.0
resource_managers,static,total_bits,2.0,2457600.0
resource_managers,static,total_bits,4.0,2457600.0
resource_managers,static,total_bits,6.0,2457600.0
resource_managers,static,total_bits,8.0,2457600.0
resource_managers,static,total_bits,10.0,2457600.0
resource_managers,static,total_bits,12.0,2457600.0
resource_managers,static,total_bits,14.0,2457600.0
resource_managers,static,total_bits,16.0,2457600.0
resource_managers,static,total_bits,18.0,2457600.0
resource_managers,static,total_bits,20.0,2457600.0
resource_managers,static,block_errors,0.0,32.0
resource_managers,static,block_errors,2.0,6.0
resource_managers,static,block_errors,4.0,2.0
resource_managers,static,block_errors,6.0,0.0
resource_managers,static,block_errors,8.0,0.0
resource_managers,static,block_errors,10.0,0.0
resource_managers,static,block_errors,12.0,0.0
resource_managers,static,block_errors,14.0,0.0
resource_managers,static,block_errors,16.0,1.0
resource_managers,static,block_errors,18.0,0.0
resource_managers,static,block_errors,20.0,0.0
resource_managers,static,total_blocks,0.0,1600.0
resource_managers,static,total_blocks,2.0,1600.0
resource_managers,static,total_blocks,4.0,1600.0
resource_managers,static,total_blocks,6.0,1600.0
resource_managers,static,total_blocks,8.0,1600.0
resource_managers,static,total_blocks,10.0,1600.0
resource_managers,static,total_blocks,12.0,1600.0
resource_managers,static,total_blocks,14.0,1600.0
resource_managers,static,total_blocks,16.0,1600.0
resource_managers,static,total_blocks,18.0,1600.0
resource_managers,static,total_blocks,20.0,1600.0
resource_managers,static,num_batches,0.0,20.0
resource_managers,static,num_batches,2.0,20.0
resource_managers,static,num_batches,4.0,20.0
resource_managers,static,num_batches,6.0,20.0
resource_managers,static,num_batches,8.0,20.0
resource_managers,static,num_batches,10.0,20.0
resource_managers,static,num_batches,12.0,20.0
resource_managers,static,num_batches,14.0,20.0
resource_managers,static,num_batches,16.0,20.0
resource_managers,static,num_batches,18.0,20.0
resource_managers,static,num_batches,20.0,20.0
resource_managers,static,stop_reason,0.0,max_batches
resource_managers,static,stop_reason,2.0,max_batches
resource_managers,static,stop_reason,4.0,max_batches
resource_managers,static,stop_reason,6.0,max_batches
resource_managers,static,stop_reason,8.0,max_batches
resource_managers,static,stop_reason,10.0,max_batches
resource_managers,static,stop_reason,12.0,max_batches
resource_managers,static,stop_reason,14.0,max_batches
resource_managers,static,stop_reason,16.0,max_batches
resource_managers,static,stop_reason,18.0,max_batches
resource_managers,static,stop_reason,20.0,max_batches
