Method,Metric,EbNo_0.0dB,EbNo_5.0dB,EbNo_10.0dB,EbNo_15.0dB,EbNo_20.0dB
static,ber,0.050638834635416664,0.06911214192708333,0.034525553385416664,0.009836832682291666,0.075164794921875
static,ber_upper_confidence,0.05180152090712667,0.07045469640163392,0.035496253045145934,0.01036824434945023,0.07655970495559884
static,throughput,46663.0,45755.0,47455.0,48668.5,45457.5
static,latency,0.00012122395833333333,0.00012122395833333333,0.00012122395833333333,0.00012122395833333333,0.00012122395833333333
static,bit_errors,4978,6794,3394,967,7389
static,total_bits,98304,98304,98304,98304,98304
round_robin,ber,0.06641642252604167,0.032979329427083336,0.031087239583333332,0.08917236328125,0.079681396484375
round_robin,ber_upper_confidence,0.06773473123289185,0.0339291301997764,0.03201071345924706,0.09067880807095852,0.08111364879423463
round_robin,throughput,45887.5,47531.0,47624.0,44769.0,45235.5
round_robin,latency,0.00012122395833333333,0.00012122395833333333,0.00012122395833333333,0.00012122395833333333,0.00012122395833333333
round_robin,bit_errors,6529,3242,3056,8766,7833
round_robin,total_bits,98304,98304,98304,98304,98304
max_throughput,ber,0.016245524088541668,0.051829020182291664,0.056955973307291664,0.053812662760416664,0.046630859375
max_throughput,ber_upper_confidence,0.016922173461213746,0.05300438187960954,0.05818405333382091,0.05500877389310711,0.04774952889613664
max_throughput,throughput,48353.5,46604.5,46352.5,46507.0,46860.0
max_throughput,latency,0.00012122395833333333,0.00012122395833333333,0.00012122395833333333,0.00012122395833333333,0.00012122395833333333
max_throughput,bit_errors,1597,5095,5599,5290,4584
max_throughput,total_bits,98304,98304,98304,98304,98304
pf,ber,0.0809326171875,0.045166015625,0.0,0.0,0.06370035807291667
pf,ber_upper_confidence,0.08237497139466035,0.04626805073035987,3.0474164566589255e-05,3.0474164566589255e-05,0.06499361344814016
pf,throughput,45174.0,46932.0,49152.0,49152.0,46021.0
pf,latency,0.00012122395833333333,0.00012122395833333333,0.00012122395833333333,0.00012122395833333333,0.00012122395833333333
pf,bit_errors,7956,4440,0,0,6262
pf,total_bits,98304,98304,98304,98304,98304
cnn,ber,0.018269856770833332,0.03143310546875,0.029307047526041668,0.082489013671875,0.048563639322916664
cnn,ber_upper_confidence,0.01898582548536353,0.0323614566023245,0.030204932245011303,0.08394379264893326,0.04970379972458282
cnn,throughput,48254.0,47607.0,47711.5,45097.5,46765.0
cnn,latency,0.00012122395833333333,0.00012122395833333333,0.00012122395833333333,0.00012122395833333333,0.00012122395833333333
cnn,bit_errors,1796,3090,2881,8109,4774
cnn,total_bits,98304,98304,98304,98304,98304
