Method,Metric,EbNo_-5.0dB,EbNo_-4.5dB,EbNo_-4.0dB,EbNo_-3.5dB,EbNo_-3.0dB,EbNo_-2.5dB,EbNo_-2.0dB,EbNo_-1.5dB,EbNo_-1.0dB,EbNo_-0.5dB,EbNo_0.0dB,EbNo_0.5dB,EbNo_1.0dB,EbNo_1.5dB,EbNo_2.0dB,EbNo_2.5dB,EbNo_3.0dB,EbNo_3.5dB,EbNo_4.0dB,EbNo_4.5dB,EbNo_5.0dB,EbNo_5.5dB,EbNo_6.0dB,EbNo_6.5dB,EbNo_7.0dB,EbNo_7.5dB,EbNo_8.0dB,EbNo_8.5dB,EbNo_9.0dB,EbNo_9.5dB,EbNo_10.0dB
static,ber,0.15852864583333334,0.07926432291666667,0.07991536458333333,0.014404296875,0.022786458333333332,0.0,0.0,0.0,0.0,0.013102213541666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
static,ber_upper_confidence,0.1640232506449111,0.08336617053349198,0.08403206544054821,0.016282224195653786,0.025107969134676295,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.014899920098069369,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404
static,throughput,5170.0,5657.0,5653.0,6055.5,6004.0,6144.0,6144.0,6144.0,6144.0,6063.5,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0
static,latency,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334
static,bit_errors,1948,974,982,177,280,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
static,total_bits,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288
round_robin,ber,0.09212239583333333,0.08268229166666667,0.06429036458333333,0.047770182291666664,0.042236328125,0.018473307291666668,0.0,0.014892578125,0.0,0.016438802083333332,0.021484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
round_robin,ber_upper_confidence,0.09650388970174736,0.08686125037735509,0.06802654318268837,0.05103567353992756,0.04532288059931667,0.020579962377411068,0.00024379331653271404,0.016799606857658092,0.00024379331653271404,0.018434826032437915,0.02374350399393713,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404
round_robin,throughput,5578.0,5636.0,5749.0,5850.5,5884.5,6030.5,6144.0,6052.5,6144.0,6043.0,6012.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0
round_robin,latency,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334
round_robin,bit_errors,1132,1016,790,587,519,227,0,183,0,202,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
round_robin,total_bits,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288
max_throughput,ber,0.14697265625,0.008544921875,0.08064778645833333,0.0546875,0.09285481770833333,0.009602864583333334,0.004720052083333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max_throughput,ber_upper_confidence,0.15230431999088012,0.010023002508963619,0.08478110309605133,0.05816037155775846,0.09725142884574027,0.011161754763175134,0.0058518209150897555,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404
max_throughput,throughput,5241.0,6091.5,5648.5,5808.0,5573.5,6085.0,6115.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0
max_throughput,latency,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334
max_throughput,bit_errors,1806,105,991,672,1141,118,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
max_throughput,total_bits,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288
pf,ber,0.12508138020833334,0.09244791666666667,0.0,0.07853190104166667,0.0004069010416666667,0.018961588541666668,0.0,0.019205729166666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pf,ber_upper_confidence,0.13007276796733938,0.09683613941648611,0.00024379331653271404,0.08261694349913459,0.0008356689191051822,0.021093822385944126,0.00024379331653271404,0.021350621404635787,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404
pf,throughput,5375.5,5576.0,6144.0,5661.5,6141.5,6027.5,6144.0,6026.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0
pf,latency,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334
pf,bit_errors,1537,1136,0,965,5,233,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pf,total_bits,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288
