stage,method,metric,ebno_db,value
resource_managers,static,ber,-5.0,0.15032691286321273
resource_managers,static,ber,-4.5,0.11691515373461174
resource_managers,static,ber,-4.0,0.08696565173921131
resource_managers,static,ber,-3.5,0.060880962171052634
resource_managers,static,ber,-3.0,0.04727533128526476
resource_managers,static,ber,-2.5,0.03167352094336855
resource_managers,static,ber,-2.0,0.020532720928251556
resource_managers,static,ber,-1.5,0.014738957087198893
resource_managers,static,ber,-1.0,0.008873462677001953
resource_managers,static,ber,-0.5,0.0060091813405354815
resource_managers,static,ber,0.0,0.003991762797037761
resource_managers,static,ber,0.5,0.0030682881673177085
resource_managers,static,ber,1.0,0.001559893290201823
resource_managers,static,ber,1.5,0.0021060307820638022
resource_managers,static,ber,2.0,0.0011054674784342449
resource_managers,static,ber,2.5,0.0012714068094889324
resource_managers,static,ber,3.0,0.0005009174346923828
resource_managers,static,ber,3.5,0.0005860328674316406
resource_managers,static,ber,4.0,0.00030549367268880207
resource_managers,static,ber,4.5,0.00022339820861816406
resource_managers,static,ber,5.0,0.00020305315653483072
resource_managers,static,ber,5.5,0.00038202603658040363
resource_managers,static,ber,6.0,5.7856241861979164e-05
resource_managers,static,ber,6.5,5.6425730387369794e-06
resource_managers,static,ber,7.0,8.368492126464844e-05
resource_managers,static,ber,7.5,6.111462910970052e-05
resource_managers,static,ber,8.0,2.9166539510091145e-05
resource_managers,static,ber,8.5,8.106231689453125e-05
resource_managers,static,ber,9.0,2.7179718017578125e-05
resource_managers,static,ber,9.5,0.0
resource_managers,static,ber,10.0,0.0
resource_managers,static,ber_upper_confidence,-5.0,0.1507575587014682
resource_managers,static,ber_upper_confidence,-4.5,0.11727502385896582
resource_managers,static,ber_upper_confidence,-4.0,0.08724542808516803
resource_managers,static,ber_upper_confidence,-3.5,0.06108477407241669
resource_managers,static,ber_upper_confidence,-3.0,0.04743629331187317
resource_managers,static,ber_upper_confidence,-2.5,0.031782739028736656
resource_managers,static,ber_upper_confidence,-2.0,0.020604767384485877
resource_managers,static,ber_upper_confidence,-1.5,0.014794940142960386
resource_managers,static,ber_upper_confidence,-1.0,0.008917054234129168
resource_managers,static,ber_upper_confidence,-0.5,0.006045125030126227
resource_managers,static,ber_upper_confidence,0.0,0.0040211078301592915
resource_managers,static,ber_upper_confidence,0.5,0.0030940411071273505
resource_managers,static,ber_upper_confidence,1.0,0.0015783005241969547
resource_managers,static,ber_upper_confidence,1.5,0.002127395558421373
resource_managers,static,ber_upper_confidence,2.0,0.001120983944580911
resource_managers,static,ber_upper_confidence,2.5,0.0012880379152989388
resource_managers,static,ber_upper_confidence,3.0,0.0005114009361220822
resource_managers,static,ber_upper_confidence,3.5,0.0005973627653545405
resource_managers,static,ber_upper_confidence,4.0,0.00031370530467040306
resource_managers,static,ber_upper_confidence,4.5,0.00023043641813094595
resource_managers,static,ber_upper_confidence,5.0,0.0002097683904404983
resource_managers,static,ber_upper_confidence,5.5,0.0003911956007602076
resource_managers,static,ber_upper_confidence,6.0,6.149232479356647e-05
resource_managers,static,ber_upper_confidence,6.5,6.856787906046628e-06
resource_managers,static,ber_upper_confidence,7.0,8.803549429345895e-05
resource_managers,static,ber_upper_confidence,7.5,6.484861743439304e-05
resource_managers,static,ber_upper_confidence,8.0,3.178056980043452e-05
resource_managers,static,ber_upper_confidence,8.5,8.534592304646269e-05
resource_managers,static,ber_upper_confidence,9.0,2.9707036000091043e-05
resource_managers,static,ber_upper_confidence,9.5,2.3807941067647855e-07
