stage,method,metric,ebno_db,value
estimators,dft,ber,0.0,0.08772900899251303
estimators,dft,ber,2.0,0.04128189086914062
estimators,dft,ber,4.0,0.018780517578125
estimators,dft,ber,6.0,0.00833752950032552
estimators,dft,ber,8.0,0.005567804972330729
estimators,dft,ber,10.0,0.0035246531168619793
estimators,dft,ber,12.0,0.0043303171793619795
estimators,dft,ber,14.0,0.003917694091796875
estimators,dft,ber,16.0,0.006387837727864583
estimators,dft,ber,18.0,0.006114069620768229
estimators,dft,ber,20.0,0.007775370279947917
estimators,dft,ber_upper_confidence,0.0,0.08789508288196143
estimators,dft,ber_upper_confidence,2.0,0.041398735619720066
estimators,dft,ber_upper_confidence,4.0,0.018860305371050316
estimators,dft,ber_upper_confidence,6.0,0.00839103206265613
estimators,dft,ber_upper_confidence,8.0,0.005611619567097616
estimators,dft,ber_upper_confidence,10.0,0.003559585001683944
estimators,dft,ber_upper_confidence,12.0,0.0043690016785700725
estimators,dft,ber_upper_confidence,14.0,0.003954505492896114
estimators,dft,ber_upper_confidence,16.0,0.006434736367710387
estimators,dft,ber_upper_confidence,18.0,0.006159962355917375
estimators,dft,ber_upper_confidence,20.0,0.007827058269638174
estimators,dft,latency_ms,0.0,851.5927794333335
estimators,dft,latency_ms,2.0,820.6859170333344
estimators,dft,latency_ms,4.0,815.2454046333334
estimators,dft,latency_ms,6.0,812.0540461333335
estimators,dft,latency_ms,8.0,819.3315171333337
estimators,dft,latency_ms,10.0,811.6470755333346
estimators,dft,latency_ms,12.0,819.3780669333327
estimators,dft,latency_ms,14.0,815.3313463333347
estimators,dft,latency_ms,16.0,816.5350878333333
estimators,dft,latency_ms,18.0,814.9047836333318
estimators,dft,latency_ms,20.0,816.0635419333327
estimators,dft,throughput_bits_per_batch,0.0,717439.1
estimators,dft,throughput_bits_per_batch,2.0,753966.6
estimators,dft,throughput_bits_per_batch,4.0,771662.4
estimators,dft,throughput_bits_per_batch,6.0,779875.1
estimators,dft,throughput_bits_per_batch,8.0,782053.3
estimators,dft,throughput_bits_per_batch,10.0,783660.1
estimators,dft,throughput_bits_per_batch,12.0,783026.5
estimators,dft,throughput_bits_per_batch,14.0,783351.0
estimators,dft,throughput_bits_per_batch,16.0,781408.4
estimators,dft,throughput_bits_per_batch,18.0,781623.7
estimators,dft,throughput_bits_per_batch,20.0,780317.2
