Method,Metric,EbNo_-5.0dB,EbNo_-2.5dB,EbNo_0.0dB,EbNo_2.5dB,EbNo_5.0dB,EbNo_7.5dB,EbNo_10.0dB
ls,ber,0.2867991129557292,0.170135498046875,0.028147379557291668,0.003231048583984375,0.0003534952799479167,0.0,0.0
ls,ber_upper_confidence,0.2884797656264616,0.17153392259443978,0.028584478060106437,0.003338031849411997,0.0003901232503614224,7.618541141647314e-06,7.618541141647314e-06
ls,throughput,70110.5,81579.0,95537.0,97986.375,98269.25,98304.0,98304.0
ls,latency,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334
ls,bit_errors,56387,33450,11068,2541,278,0,0
ls,total_bits,196608,196608,393216,786432,786432,393216,393216
ls,block_errors,128,117,53,10,1,0,0
ls,total_blocks,128,128,256,512,512,256,256
ls,num_batches,2,2,4,8,8,4,4
dft,ber,0.24729410807291666,0.08984883626302083,0.011102040608723959,3.6875406901041664e-05,0.0,0.0,0.0
dft,ber_upper_confidence,0.24889804339681934,0.09091530304581444,0.011298074688836406,4.9989046357407474e-05,7.618541141647314e-06,7.618541141647314e-06,7.618541141647314e-06
dft,throughput,73994.0,89471.5,97212.625,98300.375,98304.0,98304.0,98304.0
dft,latency,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334
dft,bit_errors,48620,17665,8731,29,0,0,0
dft,total_bits,196608,196608,786432,786432,393216,393216,393216
dft,block_errors,128,73,45,2,0,0,0
dft,total_blocks,128,128,512,512,256,256,256
dft,num_batches,2,2,8,8,4,4,4
lmmse,ber,0.1677703857421875,0.025883992513020832,0.005090077718098958,0.001483917236328125,0.0,0.0,0.0
lmmse,ber_upper_confidence,0.1691610917056822,0.02630378292352973,0.005223784049383861,0.001557049584364906,7.618541141647314e-06,7.618541141647314e-06,7.618541141647314e-06
lmmse,throughput,81811.5,95759.5,97803.625,98158.125,98304.0,98304.0,98304.0
lmmse,latency,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334
lmmse,bit_errors,32985,10178,4003,1167,0,0,0
lmmse,total_bits,196608,393216,786432,786432,393216,393216,393216
lmmse,block_errors,120,57,19,4,0,0,0
lmmse,total_blocks,128,256,512,512,256,256,256
lmmse,num_batches,2,4,8,8,4,4,4
pso,ber,0.2230072021484375,0.11355082194010417,0.0638156467013889,0.054906209309895836,0.0803561740451389,0.04381917317708333,0.056917826334635414
pso,ber_upper_confidence,0.22455517610564496,0.11473306858321888,0.06455998560550749,0.055506807761177904,0.08118340940877984,0.0443019299073207,0.0575286103965131
pso,throughput,76381.5,87141.5,92030.66666666667,92906.5,90404.66666666667,93996.4,92708.75
pso,latency,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334
pso,bit_errors,43845,22325,18820,21590,23698,21538,22381
pso,total_bits,196608,196608,294912,393216,294912,491520,393216
pso,block_errors,127,73,60,65,58,51,53
pso,total_blocks,128,128,192,256,192,320,256
pso,num_batches,2,2,3,4,3,5,4
perfect,ber,0.029279920789930556,0.0018450419108072917,0.0,0.0,0.0,0.0,0.0
perfect,ber_upper_confidence,0.02979489292155207,0.0019263713856700346,7.618541141647314e-06,7.618541141647314e-06,7.618541141647314e-06,7.618541141647314e-06,7.618541141647314e-06
perfect,throughput,95425.66666666667,98122.625,98304.0,98304.0,98304.0,98304.0,98304.0
perfect,latency,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334
perfect,bit_errors,8635,1451,0,0,0,0,0
perfect,total_bits,294912,786432,393216,393216,393216,393216,393216
perfect,block_errors,60,9,0,0,0,0,0
perfect,total_blocks,192,512,256,256,256,256,256
perfect,num_batches,3,8,4,4,4,4,4
