Method,Metric,EbNo_-5.0dB,EbNo_-2.5dB,EbNo_0.0dB,EbNo_2.5dB,EbNo_5.0dB,EbNo_7.5dB,EbNo_10.0dB
static,ber,0.16285196940104166,0.0288848876953125,0.005182902018229167,0.0013631184895833333,0.0,0.0003331502278645833,0.0
static,ber_upper_confidence,0.1642263036599245,0.029327461057975242,0.005317799807867753,0.0014332885791199137,7.618541141647314e-06,0.00036876166166489903,7.618541141647314e-06
static,throughput,82295.0,95464.5,97794.5,98170.0,98304.0,98271.25,98304.0
static,latency,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334
static,bit_errors,32018,11358,4076,1072,0,262,0
static,total_bits,196608,393216,786432,786432,393216,786432,393216
static,block_errors,116,54,17,3,0,1,0
static,total_blocks,128,256,512,512,256,512,256
static,num_batches,2,4,8,8,4,8,4
round_robin,ber,0.289642333984375,0.2515106201171875,0.24963887532552084,0.2504425048828125,0.250885009765625,0.2488861083984375,0.2508341471354167
round_robin,ber_upper_confidence,0.2913278790232736,0.2531235568301792,0.2512478413646193,0.25205318061401955,0.2524966237643816,0.2504934662533523,0.2524456534007675
round_robin,throughput,69831.0,73579.5,73763.5,73684.5,73641.0,73837.5,73646.0
round_robin,latency,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334
round_robin,bit_errors,56946,49449,49081,49239,49326,48933,49316
round_robin,total_bits,196608,196608,196608,196608,196608,196608,196608
round_robin,block_errors,98,65,64,64,64,64,64
round_robin,total_blocks,128,128,128,128,128,128,128
round_robin,num_batches,2,2,2,2,2,2,2
max_throughput,ber,0.2800699869791667,0.2543131510416667,0.2507375081380208,0.250213623046875,0.2511800130208333,0.24898274739583334,0.24863688151041666
max_throughput,ber_upper_confidence,0.28173873655389625,0.255931958699038,0.25234880962875733,0.2518238125914578,0.2527922512928675,0.25059031207016397,0.25024370549434
max_throughput,throughput,70772.0,73304.0,73655.5,73707.0,73612.0,73828.0,73862.0
max_throughput,latency,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334
max_throughput,bit_errors,55064,50000,49297,49194,49384,48952,48884
max_throughput,total_bits,196608,196608,196608,196608,196608,196608,196608
max_throughput,block_errors,96,66,64,64,64,64,64
max_throughput,total_blocks,128,128,128,128,128,128,128
max_throughput,num_batches,2,2,2,2,2,2,2
pf,ber,0.2800699869791667,0.2528737386067708,0.24989827473958334,0.253021240234375,0.2512969970703125,0.24962870279947916,0.2503763834635417
