Method,Metric,EbNo_-5.0dB,EbNo_-4.5dB,EbNo_-4.0dB,EbNo_-3.5dB,EbNo_-3.0dB,EbNo_-2.5dB,EbNo_-2.0dB,EbNo_-1.5dB,EbNo_-1.0dB,EbNo_-0.5dB,EbNo_0.0dB,EbNo_0.5dB,EbNo_1.0dB,EbNo_1.5dB,EbNo_2.0dB,EbNo_2.5dB,EbNo_3.0dB,EbNo_3.5dB,EbNo_4.0dB,EbNo_4.5dB,EbNo_5.0dB,EbNo_5.5dB,EbNo_6.0dB,EbNo_6.5dB,EbNo_7.0dB,EbNo_7.5dB,EbNo_8.0dB,EbNo_8.5dB,EbNo_9.0dB,EbNo_9.5dB,EbNo_10.0dB
drl,ber,0.27853597005208336,0.26767578125,0.2638125949435764,0.2562696668836806,0.2538316514756944,0.2531585693359375,0.2519414992559524,0.2533351353236607,0.2530721028645833,0.2500494094122024,0.25069463820684523,0.25068882533482145,0.2505609421502976,0.2506379627046131,0.24976021902901785,0.25028047107514884,0.24968755812872023,0.25004359654017855,0.25018310546875,0.25029790969122023,0.25056675502232145,0.24951026553199404,0.24965268089657738,0.24969482421875,0.2510652087983631,0.24990699404761904,0.2500421433221726,0.24964977446056547,0.25061616443452384,0.24987066359747023,0.24954078311011904
drl,ber_upper_confidence,0.27958891782134204,0.2687158124374916,0.264757537686151,0.25720580660084164,0.2547648680991682,0.25409097217226484,0.2528032893105213,0.2541984930024252,0.2539351655705708,0.2509090523139266,0.2515550157646335,0.2515491962854118,0.25142116769047246,0.25149827583344464,0.25061953183483027,0.25114037735491457,0.2505467879155421,0.2509032328118387,0.25104290080502817,0.25115783583535584,0.25142698717422163,0.2503692926170064,0.2505118708228201,0.25055406230892313,0.2519260071406125,0.25076647445338424,0.25090177793628454,0.2505089610647576,0.2514764527777789,0.2507301025303555,0.2503998451001237
drl,throughput,70922.8,71990.4,72370.16666666667,73111.66666666667,73351.33333333333,73417.5,73537.14285714286,73400.14285714286,73426.0,73723.14285714286,73659.71428571429,73660.28571428571,73672.85714285714,73665.28571428571,73751.57142857143,73700.42857142857,73758.71428571429,73723.71428571429,73710.0,73698.71428571429,73672.28571428571,73776.14285714286,73762.14285714286,73758.0,73623.28571428571,73737.14285714286,73723.85714285714,73762.42857142857,73667.42857142857,73740.71428571429,73773.14285714286
drl,latency,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334
drl,bit_errors,136906,131568,155603,151154,149716,149319,173368,174327,174146,172066,172510,172506,172418,172471,171867,172225,171817,172062,172158,172237,172422,171695,171793,171822,172765,171968,172061,171791,172456,171943,171716
drl,total_bits,491520,491520,589824,589824,589824,589824,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128
drl,block_errors,232,204,228,209,204,202,229,230,230,225,226,224,224,225,225,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224
drl,total_blocks,320,320,384,384,384,384,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448
drl,num_batches,5,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
wmmse,ber,0.2865549723307292,0.26846720377604166,0.2606964111328125,0.2578599717881944,0.2548556857638889,0.25281197684151785,0.25046212332589285,0.25352550688244047,0.25212896437872023,0.24993605840773808,0.2501642136346726,0.25059291294642855,0.25060599190848215,0.2500697544642857,0.24921526227678573,0.25103033156622023,0.2511509486607143,0.25002906436011907,0.2498779296875,0.25022088913690477,0.2507106236049107,0.25046357654389884,0.24989972795758927,0.24950445265997023,0.25036185128348215,0.24923996698288692,0.2507237025669643,0.2495669410342262,0.25017874581473215,0.25058710007440477,0.2501307896205357
wmmse,ber_upper_confidence,0.2877424683811898,0.26950820280776255,0.2616377608309697,0.2587979975902635,0.25579013484981034,0.25367474742367424,0.2513222364352396,0.2543890777897158,0.2529909659860022,0.25079557198600266,0.2510239874379031,0.2514531748485454,0.25146626868414446,0.25092942056960976,0.2500739516530345,0.2518910903408361,0.2520118442419607,0.2508886840557166,0.2507373769156062,0.25108072753274585,0.2515710193314326,0.2513236913070712,0.2507592000694234,0.25036347309576673,0.2512218502477748,0.25009868466060614,0.2515841131576565,0.25042603293826143,0.2510385361820387,0.25144735536572255,0.250990525321501
wmmse,throughput,70134.5,71912.6,72676.5,72955.33333333333,73250.66666666667,73451.57142857143,73682.57142857143,73381.42857142857,73518.71428571429,73734.28571428571,73711.85714285714,73669.71428571429,73668.42857142857,73721.14285714286,73805.14285714286,73626.71428571429,73614.85714285714,73725.14285714286,73740.0,73706.28571428571,73658.14285714286,73682.42857142857,73737.85714285714,73776.71428571429,73692.42857142857,73802.71428571429,73656.85714285714,73770.57142857143,73710.42857142857,73670.28571428571,73715.14285714286
wmmse,latency,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334
wmmse,bit_errors,112678,131957,153765,152092,150320,173967,172350,174458,173497,171988,172145,172440,172449,172080,171492,172741,172824,172052,171948,172184,172521,172351,171963,171691,172281,171509,172530,171734,172155,172436,172122
wmmse,total_bits,393216,491520,589824,589824,589824,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128
wmmse,block_errors,201,209,226,212,204,230,226,232,229,225,225,225,225,224,225,225,224,224,225,224,224,225,224,224,224,224,224,224,224,224,224
wmmse,total_blocks,256,320,384,384,384,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448
wmmse,num_batches,4,5,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
pf,ber,0.281146240234375,0.2733968098958333,0.2617679172092014,0.2562883165147569,0.2536417643229167,0.2550896538628472,0.2505217052641369,0.2514561244419643,0.25067574637276785,0.25023687453497023,0.25022670200892855,0.25048973446800593,0.25003487723214285,0.25065830775669645,0.24996802920386904,0.25043451218377977,0.25018891834077384,0.25043160574776785,0.2502659388950893,0.25091407412574407,0.25051443917410715,0.2505696614583333,0.24964977446056547,0.24970935639880953,0.2505827404203869,0.24955676850818453,0.25168573288690477,0.24986921037946427,0.24979654947916666,0.24984450567336308,0.2498721168154762
pf,ber_upper_confidence,0.2822021769918391,0.2744437428553619,0.26271050927912787,0.25722447844429536,0.2545747516624573,0.25602438358474094,0.25138188616978163,0.2523173657656949,0.2515361024564105,0.251096731145697,0.25108654702854477,0.2513498789978389,0.25089450355832016,0.25151864401612195,0.2508275792659244,0.2512945938679942,0.25104872030216696,0.2512916841238033,0.25112582861979676,0.25177470095482346,0.2513746118130688,0.25142989691601897,0.2505089610647576,0.25056861109471706,0.2514429907534703,0.250415848779483,0.2525472339679687,0.25072864765326663,0.25065590378237396,0.2507039147407823,0.2507315574074314
pf,throughput,70666.2,71428.0,72571.16666666667,73109.83333333333,73370.0,73227.66666666667,73676.71428571429,73584.85714285714,73661.57142857143,73704.71428571429,73705.71428571429,73679.85714285714,73724.57142857143,73663.28571428571,73731.14285714286,73685.28571428571,73709.42857142857,73685.57142857143,73701.85714285714,73638.14285714286,73677.42857142857,73672.0,73762.42857142857,73756.57142857143,73670.71428571429,73771.57142857143,73562.28571428571,73740.85714285714,73748.0,73743.28571428571,73740.57142857143
pf,latency,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334
pf,bit_errors,138189,134380,154397,151165,149604,150458,172391,173034,172497,172195,172188,172369,172056,172485,172010,172331,172162,172329,172215,172661,172386,172424,171791,171832,172433,171727,173192,171942,171892,171925,171944
pf,total_bits,491520,491520,589824,589824,589824,589824,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128
pf,block_errors,244,217,223,209,202,203,228,229,227,227,226,224,225,225,225,225,224,224,224,224,224,225,224,224,224,224,225,224,224,224,224
pf,total_blocks,320,320,384,384,384,384,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448
pf,num_batches,5,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
queue_aware,ber,0.28201700846354166,0.2694173177083333,0.2614949544270833,0.2554609510633681,0.2562204996744792,0.2528160942925347,0.2516755603608631,0.25423613048735116,0.25201416015625,0.2505100795200893,0.24977911086309523,0.25031244187127977,0.25050281343005953,0.24994913736979166,0.25030081612723215,0.2505086263020833,0.2496090843563988,0.2503327869233631,0.25031825474330355,0.25019763764880953,0.2509344191778274,0.25066702706473215,0.25020781017485116,0.24987357003348215,0.2509184337797619,0.2493039085751488,0.25172496977306547,0.2498837425595238,0.24960181826636904,0.24965413411458334,0.2497500465029762
queue_aware,ber_upper_confidence,0.28307393252444557,0.2704594730762788,0.2624372306948011,0.25639612541612933,0.25715658082100784,0.2537480819287375,0.25253704994046183,0.2551004954129707,0.2528760322332559,0.25137024719888673,0.25063844524855966,0.25117238456764024,0.2513629728416592,0.2508086658739978,0.25116074558191576,0.2513687923274669,0.2504682244464588,0.2511927527906749,0.25117820406019337,0.2510574495474887,0.25179506910330995,0.2515273732364977,0.25106763366644447,0.25073301228449446,0.25177906555828256,0.250162699486377,0.25258651521104514,0.2507431964235746,0.25046095004926866,0.250513325701832,0.2506093476880726
queue_aware,throughput,70580.6,71819.2,72598.0,73191.16666666667,73116.5,73451.16666666667,73563.28571428571,73311.57142857143,73530.0,73677.85714285714,73749.71428571429,73697.28571428571,73678.57142857143,73733.0,73698.42857142857,73678.0,73766.42857142857,73695.28571428571,73696.71428571429,73708.57142857143,73636.14285714286,73662.42857142857,73707.57142857143,73740.42857142857,73637.71428571429,73796.42857142857,73558.42857142857,73739.42857142857,73767.14285714286,73762.0,73752.57142857143
queue_aware,latency,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334
queue_aware,bit_errors,138617,132424,154236,150677,151125,149117,173185,174947,173418,172383,171880,172247,172378,171997,172239,172382,171763,172261,172251,172168,172675,172491,172175,171945,172664,171553,173219,171952,171758,171794,171860
queue_aware,total_bits,491520,491520,589824,589824,589824,589824,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128,688128
queue_aware,block_errors,246,212,230,210,209,201,229,234,227,225,224,225,225,224,225,224,224,224,224,224,224,225,224,224,224,224,225,224,224,224,224
queue_aware,total_blocks,320,320,384,384,384,384,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448
queue_aware,num_batches,5,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
