Method,Metric,EbNo_0.0dB,EbNo_5.0dB
ls,ber,0.0024139404296875,0.0013753255208333334
ls,throughput,98066.7,98168.8
ls,latency,0.8790188313802082,0.9402522088368732
dft,ber,0.002288818359375,0.0010406494140625
dft,throughput,98079.0,98201.7
dft,latency,0.886489582188924,0.8887522937138874
lmmse,ber,0.005469767252604166,0.0029378255208333333
lmmse,throughput,97766.3,98015.2
lmmse,latency,0.8773878098805744,0.873212576039632
perfect,ber,0.0,0.0
perfect,throughput,98304.0,98304.0
perfect,latency,0.9334628583272296,0.8882717133839924
