Method,Metric,EbNo_0.0dB,EbNo_5.0dB,EbNo_10.0dB,EbNo_15.0dB,EbNo_20.0dB
static,ber,0.06437174479166667,0.046101888020833336,0.06691487630208333,0.06520589192708333,0.037882486979166664
static,throughput,45988.0,46886.0,45863.0,45947.0,47290.0
static,latency,0.721827256711324,1.9706988215764363,2.002576220067342,1.8545383096059163,1.8607799887975056
round_robin,ber,0.0,0.030517578125,0.039479573567708336,0.020965576171875,0.08577473958333333
round_robin,throughput,49152.0,47652.0,47211.5,48121.5,44936.0
round_robin,latency,0.5984463572820027,1.8495200753529866,1.9180767417271931,1.947477686436971,1.956243383916219
max_throughput,ber,0.040842692057291664,0.01171875,0.053395589192708336,0.048695882161458336,0.052235921223958336
max_throughput,throughput,47144.5,48576.0,46527.5,46758.5,46584.5
max_throughput,latency,1.8038802028020222,0.6141593337376912,1.8846733451207478,1.9695552468617756,1.9458651423772175
pf,ber,0.037648518880208336,0.019327799479166668,0.043843587239583336,0.041310628255208336,0.049947102864583336
pf,throughput,47301.5,48202.0,46997.0,47121.5,46697.0
pf,latency,1.8200615525563557,1.9967039704640706,0.6494538665135701,1.9177021861394246,1.921309220822652
cnn,ber,0.032663981119791664,0.060414632161458336,0.048807779947916664,0.04486083984375,0.038899739583333336
cnn,throughput,47546.5,46182.5,46753.0,46947.0,47240.0
cnn,latency,1.9933502555211384,1.9914634108861287,1.9292973161061604,0.5631056905110676,1.8997887254079182
