Method,Metric,EbNo_0.0dB,EbNo_5.0dB,EbNo_10.0dB,EbNo_15.0dB,EbNo_20.0dB
ls,ber,0.052022298177083336,0.02520751953125,0.06293741861979167,0.074554443359375,0.06605021158854167
ls,throughput,46595.0,47913.0,46058.5,45487.5,45905.5
ls,latency,2.7269843697865803,2.4639108062108357,2.754125940831502,2.6683953881581624,2.15611468556722
dft,ber,0.023691813151041668,0.0,0.014739990234375,0.0,2.0345052083333332e-05
dft,throughput,47987.5,49152.0,48427.5,49152.0,49151.0
dft,latency,2.6964160085042317,2.562899935277303,2.75818406346639,2.723974335225423,-0.5314185738245646
lmmse,ber,0.056304931640625,0.015533447265625,0.036265055338541664,0.07578531901041667,0.08310953776041667
lmmse,throughput,46384.5,48388.5,47369.5,45427.0,45067.0
lmmse,latency,2.8698336959203083,2.452803361447652,2.6996698260625203,2.2276586175282795,2.1247912526448567
perfect,ber,0.0,0.0,0.0,0.0,0.0
perfect,throughput,49152.0,49152.0,49152.0,49152.0,49152.0
perfect,latency,1.3325903296788533,2.6732776046117146,2.4951687932332356,2.3257182717641194,2.0303916812260945
